scope,k,field_id,n,mean,median,p025,p975,min,max
all,10,11,225,0.5926744081228478,0.4679691049522927,0.08100904742695758,1.601618409259471,0.05148005148005175,1.8718764198091793
all,25,11,225,0.7772332625301638,0.6283954074488951,0.10509959853243545,2.215014965958614,0.06048906048905511,2.50795093139482
all,50,11,225,0.9228532959351254,0.7651741293532355,0.13468225196032302,2.5284087757182228,0.09234234234234417,2.985915492957747
1024,10,11,225,0.1555555555555555,0.20000000000000018,-1.140000000000001,1.4000000000000012,-1.8000000000000016,1.5000000000000013
1024,25,11,225,0.27964444444444425,0.20000000000000018,-0.7199999999999984,1.6159999999999999,-1.1999999999999955,2.679999999999999
1024,50,11,225,0.32515555555555514,0.21999999999999797,-0.6279999999999997,1.6959999999999988,-0.940000000000002,2.300000000000002
2048,10,11,180,0.2833333333333333,0.30000000000000027,-1.100000000000001,1.8000000000000003,-2.4999999999999964,2.500000000000002
2048,25,11,180,0.2897777777777777,0.24000000000000132,-0.740999999999999,1.6839999999999988,-1.0800000000000032,2.4399999999999977
2048,50,11,180,0.282666666666667,0.24000000000000132,-0.7210000000000012,1.7859999999999996,-0.8599999999999941,2.300000000000002
all,10,12,225,1.0339987573679557,0.8664459161147886,0.1140048455818865,2.384038742019511,0.02013422818791799,2.9877656149388283
all,25,12,225,1.4030682643579389,1.1324503311258283,0.14582750842407233,3.2483370325470866,0.04149377593360981,4.0901481004507385
all,50,12,225,1.7824602678313062,1.4630705394190868,0.2081498172625107,4.1573728267868635,0.13691275167785344,4.645202833226014
1024,10,12,225,0.4542222222222221,0.40000000000000036,-1.7800000000000016,2.6400000000000015,-3.599999999999998,3.200000000000003
1024,25,12,225,0.5086222222222223,0.5200000000000038,-1.7520000000000002,2.5599999999999996,-2.9200000000000004,3.3200000000000007
1024,50,12,225,0.5462222222222223,0.6000000000000005,-1.4999999999999991,2.748000000000001,-2.52,3.4400000000000013
2048,10,12,90,0.19111111111111106,0.20000000000000018,-1.155000000000001,1.3775000000000004,-1.2999999999999985,1.5000000000000013
2048,25,12,90,0.34800000000000025,0.4600000000000021,-0.8529999999999979,1.434999999999997,-1.0799999999999976,1.5200000000000047
2048,50,12,90,0.3924444444444442,0.4400000000000001,-0.7264999999999977,1.341999999999999,-1.0399999999999965,1.5399999999999996
all,10,13,225,0.40882646873509254,0.35834896810506556,0.03585536311151549,1.054837686729964,0.010235414534287557,1.2798092209856922
all,25,13,225,0.4533189947489395,0.40525328330206223,0.05357438030023198,1.1459532672289583,0.021013133208258594,1.6120826709062008
all,50,13,225,0.4842631933658519,0.4101748807631256,0.06776735459662286,1.313377388728204,0.04557885141294182,1.7702702702702688
1024,10,13,225,0.20355555555555557,0.10000000000000009,-1.100000000000001,2.0,-1.6000000000000014,2.4999999999999964
1024,25,13,225,0.24853333333333338,0.20000000000000018,-0.6560000000000055,1.408,-0.8399999999999963,2.2399999999999975
1024,50,13,225,0.2176888888888886,0.13999999999999568,-0.6680000000000008,1.3480000000000016,-0.9599999999999997,2.1399999999999975
2048,10,13,225,0.30933333333333335,0.2999999999999975,-0.9000000000000008,1.8400000000000023,-1.4999999999999987,2.300000000000002
2048,25,13,225,0.27502222222222233,0.20000000000000018,-0.4960000000000031,1.3759999999999997,-1.16,2.0799999999999983
2048,50,13,225,0.21795555555555554,0.18000000000000238,-0.5759999999999998,1.1760000000000006,-0.7599999999999996,1.8799999999999983
all,10,14,225,0.7055973544354046,0.6105263157894725,0.05483870967741944,1.6973715460989427,0.012096774193548487,2.5614877024595084
all,25,14,225,0.8808587599162728,0.7743440233236143,0.08117302052785824,2.1037900874635564,0.0299586776859484,2.872225554889021
all,50,14,225,1.0928406909673438,0.9368421052631581,0.09465609170887569,2.5415743440233243,0.05371900826446341,3.5980803839232163
1024,10,14,225,0.24044444444444452,0.2999999999999975,-1.5400000000000014,2.080000000000003,-1.9000000000000017,3.2
1024,25,14,225,0.4901333333333332,0.40000000000000036,-1.0000000000000009,2.248000000000003,-1.7600000000000005,3.2799999999999994
1024,50,14,225,0.48737777777777774,0.3999999999999948,-0.9480000000000011,1.8640000000000017,-1.7000000000000015,2.639999999999998
2048,10,14,90,0.019999999999999955,0.0,-0.8000000000000007,0.9774999999999957,-1.0000000000000009,1.4000000000000012
