scope,k,model_a,model_b,n,mean,median,p025,p975,min,max
all,10,specter,specter2,130,0.8634519017614779,0.7407944352979395,0.20076652108467805,2.2474204286325854,0.12741859367626507,2.9090909090909056
all,25,specter,specter2,130,1.062070823516116,0.8892131005824533,0.2671131141313195,3.2312438420779053,0.2117647058823502,3.631617113850616
all,50,specter,specter2,130,1.236903794428199,1.0231346330704105,0.28047856954900086,4.12847134405835,0.2306238185255216,4.997818181818181
all,10,specter,scincl,130,0.7519914675344755,0.5927904294495356,0.14838505126365586,2.1901874508120507,0.033081285444236386,3.2581818181818156
all,25,specter,scincl,130,0.879486813882637,0.6775458965776582,0.17184830932080786,3.1145285999884194,0.10969637610185323,3.7070340826685975
all,50,specter,scincl,130,0.9870062476726192,0.7496809599765147,0.19099141247166357,3.7124594105117596,0.12364322793770866,4.707759245830317
all,10,specter,scibert,130,0.7286999975770624,0.5955014861780544,0.14797434724535444,2.3468786492180427,0.14157621519584884,2.7418181818181813
all,25,specter,scibert,130,0.9424340681236163,0.7026771497431888,0.2198790531329257,2.944182736219778,0.1848826552974442,3.938909090909093
all,50,specter,scibert,130,1.1687056846543158,0.9314046401035198,0.2902418831054693,3.7609381720916626,0.2154042315814647,5.034082668600432
all,10,specter,bert,130,0.7051737226036998,0.5597922436375302,0.17616972429220204,1.8477681923228437,0.11355938956847528,2.516316171138508
all,25,specter,bert,130,0.9533460789971803,0.7622415114648229,0.22431863937365093,2.644674814303359,0.1633661393792077,3.5083636363636375
all,50,specter,bert,130,1.2031174184779758,0.9610971079328873,0.29764058255168163,3.5594982203982193,0.1931704984659527,4.888727272727275
all,10,specter,mpnet,130,0.6647291342265932,0.5502996491006079,0.15154864644932028,2.1677447070962512,0.06763285024154464,2.7490909090909064
all,25,specter,mpnet,130,0.8062260478563887,0.6399222062428767,0.15761312151326465,2.635159310778203,0.12985735366453643,3.1007976794778846
all,50,specter,mpnet,130,0.943035905855303,0.738507391987564,0.18203088100742323,3.295712679019074,0.13591316658801977,4.420594633792602
all,10,specter,minilm,130,0.6137520327286474,0.5078373922057011,0.11290831401194482,1.7349126059938387,0.07177033492822837,2.879999999999999
all,25,specter,minilm,130,0.7625003767442313,0.6294272331939466,0.16730365805484732,2.5581225093548645,0.11674641148325393,3.071791153009429
all,50,specter,minilm,130,0.9159639000912437,0.7332877744063132,0.18402785499833055,3.473005674928191,0.1538461538461544,4.272661348803481
all,10,specter,pubmedbert,130,0.7072677498391897,0.5751053035890477,0.15202786175177516,1.8829038039949728,0.11798017932987404,2.530909090909092
all,25,specter,pubmedbert,130,0.9410103880332638,0.756357424287464,0.21739444888607226,2.55539960613401,0.18245923314235135,3.5374545454545463
all,50,specter,pubmedbert,130,1.1795153970081418,0.9010229461270114,0.30705898384496627,3.4350950701281144,0.21811371877116792,4.607999999999998
all,10,specter,biobert,130,0.7318273827860523,0.5726765068228821,0.151618347027679,1.982215075537461,0.1355222565006614,2.4345709068776644
all,25,specter,biobert,130,0.9715859611300829,0.7636436781540107,0.22916811355901187,2.504557854057737,0.18620537681798277,3.4734545454545436
all,50,specter,biobert,130,1.219735565777442,0.9509225752866626,0.324252792197577,3.4457114571184446,0.25915448061521185,4.5548478414720455
all,10,specter,simcse,130,0.5737099538784045,0.46521143962832134,0.10704565810637508,1.5504824879085948,0.09363668964418037,2.152727272727273
all,25,specter,simcse,130,0.8009206587912616,0.6105407880566044,0.1662157446647304,2.4226347129368073,0.1302147667051834,3.2290909090909095
all,50,specter,simcse,130,1.024101316043497,0.7991494316724259,0.20713939508464937,3.480746763139933,0.14790612423795785,4.452363636363637
all,10,specter2,scincl,130,0.9136777884989916,0.735922699567404,0.2400407036867004,2.5676292993475753,0.16517225106182365,3.2059447983014855
all,25,specter2,scincl,130,1.0934727464272969,0.890930016440683,0.2627216967976964,3.4156160594298184,0.19712918660286793,4.351026185421092
all,50,specter2,scincl,130,1.2352713303224612,1.0082789926141145,0.2594087780524426,4.31737975727766,0.1821613968853275,4.785454545454549
all,10,specter2,scibert,130,1.0963476579040643,0.9764330027800638,0.1921933603875231,2.5499842305073623,0.14157621519584607,3.3720087019579403
all,25,specter2,scibert,130,1.4290431269258181,1.2332650665709488,0.26748803264626697,3.5361825925724806,0.23218499292119166,4.241454545454543
all,50,specter2,scibert,130,1.7187898097348187,1.4400615127649063,0.340902818334735,4.587381593340521,0.28032090608777205,5.236363636363639
all,10,specter2,bert,130,0.9525246598970762,0.8532728468766265,0.17381298302596737,2.390360657422892,0.12269938650306678,2.5743292240754165
all,25,specter2,bert,130,1.2754005120312915,1.079149543205303,0.2562461883993039,3.150246909187235,0.17563852253257434,3.7614545454545456
all,50,specter2,bert,130,1.5796280469120452,1.3487510617026175,0.3230059134792844,4.179432634252844,0.21205721799418265,4.818909090909093
all,10,specter2,mpnet,130,0.8928163835983712,0.7776310232483319,0.17682999367875527,2.360646951351317,0.06134969325153894,2.9006526468455363
all,25,specter2,mpnet,130,1.0821361057006682,0.9010108051585919,0.23439553643313654,3.0637677561501646,0.16611609249645998,3.654822335025382
all,50,specter2,mpnet,130,1.2234686762701235,0.9876830172137863,0.2890889280896536,3.989958417055216,0.14535158093439415,4.314181818181817
all,10,specter2,minilm,130,0.8766036730437567,0.7956677303799148,0.18936826285134628,2.163224333519883,0.16045304388862536,2.821818181818181
all,25,specter2,minilm,130,1.0729002446011044,0.9485930522530855,0.23539215132850344,3.201295070817715,0.1283624351109014,3.4298181818181837
all,50,specter2,minilm,130,1.2604217033374692,1.0663682081847674,0.2705319713408813,4.108054928449576,0.1585653610193527,4.481454545454549
all,10,specter2,pubmedbert,130,0.9986440562063795,0.8730027250660827,0.21045487213751798,2.393895363294265,0.16045304388862536,2.5670775924583027
all,25,specter2,pubmedbert,130,1.3372170295919792,1.1811712825928855,0.25990143964130213,3.1893288532392052,0.2151958470976878,3.6625454545454543
