source,level,group,selection,recipe,metric_a,metric_b,pairs,spearman
field_period_native,field_period_native,11,2000,mean,cka_debiased,procrustes_similarity,45,0.8525691699604742
field_period_native,field_period_native,11,2000,mean,cka_debiased,rsa_spearman,45,0.9150197628458496
field_period_native,field_period_native,11,2000,mean,procrustes_similarity,rsa_spearman,45,0.7703557312252963
field_period_native,field_period_native,11,2005,mean,cka_debiased,procrustes_similarity,45,0.8516469038208166
field_period_native,field_period_native,11,2005,mean,cka_debiased,rsa_spearman,45,0.9131752305665348
field_period_native,field_period_native,11,2005,mean,procrustes_similarity,rsa_spearman,45,0.7516469038208168
field_period_native,field_period_native,11,2010,mean,cka_debiased,procrustes_similarity,45,0.8432147562582345
field_period_native,field_period_native,11,2010,mean,cka_debiased,rsa_spearman,45,0.917786561264822
field_period_native,field_period_native,11,2010,mean,procrustes_similarity,rsa_spearman,45,0.7393939393939394
field_period_native,field_period_native,11,2015,mean,cka_debiased,procrustes_similarity,45,0.8550724637681159
field_period_native,field_period_native,11,2015,mean,cka_debiased,rsa_spearman,45,0.9064558629776021
field_period_native,field_period_native,11,2015,mean,procrustes_similarity,rsa_spearman,45,0.7318840579710144
field_period_native,field_period_native,11,2020,mean,cka_debiased,procrustes_similarity,45,0.8584980237154148
field_period_native,field_period_native,11,2020,mean,cka_debiased,rsa_spearman,45,0.9191040843214756
field_period_native,field_period_native,11,2020,mean,procrustes_similarity,rsa_spearman,45,0.7545454545454544
field_period_native,field_period_native,12,2000,mean,cka_debiased,procrustes_similarity,45,0.9603425559947298
field_period_native,field_period_native,12,2000,mean,cka_debiased,rsa_spearman,45,0.852437417654809
field_period_native,field_period_native,12,2000,mean,procrustes_similarity,rsa_spearman,45,0.7967061923583663
field_period_native,field_period_native,12,2005,mean,cka_debiased,procrustes_similarity,45,0.9523056653491436
field_period_native,field_period_native,12,2005,mean,cka_debiased,rsa_spearman,45,0.8544137022397892
field_period_native,field_period_native,12,2005,mean,procrustes_similarity,rsa_spearman,45,0.8291172595520421
field_period_native,field_period_native,12,2010,mean,cka_debiased,procrustes_similarity,45,0.9495388669301712
field_period_native,field_period_native,12,2010,mean,cka_debiased,rsa_spearman,45,0.8501976284584979
field_period_native,field_period_native,12,2010,mean,procrustes_similarity,rsa_spearman,45,0.8126482213438735
field_period_native,field_period_native,12,2015,mean,cka_debiased,procrustes_similarity,45,0.935177865612648
field_period_native,field_period_native,12,2015,mean,cka_debiased,rsa_spearman,45,0.8573122529644268
field_period_native,field_period_native,12,2015,mean,procrustes_similarity,rsa_spearman,45,0.7999999999999998
field_period_native,field_period_native,12,2020,mean,cka_debiased,procrustes_similarity,45,0.9251646903820816
field_period_native,field_period_native,12,2020,mean,cka_debiased,rsa_spearman,45,0.8412384716732542
field_period_native,field_period_native,12,2020,mean,procrustes_similarity,rsa_spearman,45,0.7779973649538866
field_period_native,field_period_native,13,2000,mean,cka_debiased,procrustes_similarity,45,0.8699604743083003
field_period_native,field_period_native,13,2000,mean,cka_debiased,rsa_spearman,45,0.9003952569169958
field_period_native,field_period_native,13,2000,mean,procrustes_similarity,rsa_spearman,45,0.7101449275362318
field_period_native,field_period_native,13,2005,mean,cka_debiased,procrustes_similarity,45,0.880368906455863
field_period_native,field_period_native,13,2005,mean,cka_debiased,rsa_spearman,45,0.8841897233201581
field_period_native,field_period_native,13,2005,mean,procrustes_similarity,rsa_spearman,45,0.7243741765480894
field_period_native,field_period_native,13,2010,mean,cka_debiased,procrustes_similarity,45,0.8828722002635047
field_period_native,field_period_native,13,2010,mean,cka_debiased,rsa_spearman,45,0.8968379446640315
field_period_native,field_period_native,13,2010,mean,procrustes_similarity,rsa_spearman,45,0.7436100131752305
field_period_native,field_period_native,13,2015,mean,cka_debiased,procrustes_similarity,45,0.876284584980237
field_period_native,field_period_native,13,2015,mean,cka_debiased,rsa_spearman,45,0.915151515151515
field_period_native,field_period_native,13,2015,mean,procrustes_similarity,rsa_spearman,45,0.7388669301712778
field_period_native,field_period_native,13,2020,mean,cka_debiased,procrustes_similarity,45,0.8760210803689065
field_period_native,field_period_native,13,2020,mean,cka_debiased,rsa_spearman,45,0.915151515151515
field_period_native,field_period_native,13,2020,mean,procrustes_similarity,rsa_spearman,45,0.7538866930171279
field_period_native,field_period_native,14,2000,mean,cka_debiased,procrustes_similarity,45,0.9529644268774704
field_period_native,field_period_native,14,2000,mean,cka_debiased,rsa_spearman,45,0.8911725955204215
field_period_native,field_period_native,14,2000,mean,procrustes_similarity,rsa_spearman,45,0.8592885375494069
field_period_native,field_period_native,14,2005,mean,cka_debiased,procrustes_similarity,45,0.9548089591567852
field_period_native,field_period_native,14,2005,mean,cka_debiased,rsa_spearman,45,0.8823451910408432
field_period_native,field_period_native,14,2005,mean,procrustes_similarity,rsa_spearman,45,0.8523056653491435
field_period_native,field_period_native,14,2010,mean,cka_debiased,procrustes_similarity,45,0.9440052700922265
field_period_native,field_period_native,14,2010,mean,cka_debiased,rsa_spearman,45,0.884584980237154
field_period_native,field_period_native,14,2010,mean,procrustes_similarity,rsa_spearman,45,0.855862977602108
field_period_native,field_period_native,14,2015,mean,cka_debiased,procrustes_similarity,45,0.9330698287220026
field_period_native,field_period_native,14,2015,mean,cka_debiased,rsa_spearman,45,0.923056653491436
field_period_native,field_period_native,14,2015,mean,procrustes_similarity,rsa_spearman,45,0.8652173913043477
field_period_native,field_period_native,14,2020,mean,cka_debiased,procrustes_similarity,45,0.9277997364953887
field_period_native,field_period_native,14,2020,mean,cka_debiased,rsa_spearman,45,0.9627140974967061
field_period_native,field_period_native,14,2020,mean,procrustes_similarity,rsa_spearman,45,0.8927536231884058
field_period_native,field_period_native,15,2000,mean,cka_debiased,procrustes_similarity,45,0.8731225296442687
field_period_native,field_period_native,15,2000,mean,cka_debiased,rsa_spearman,45,0.8934123847167326
field_period_native,field_period_native,15,2000,mean,procrustes_similarity,rsa_spearman,45,0.7698287220026351
field_period_native,field_period_native,15,2005,mean,cka_debiased,procrustes_similarity,45,0.8693017127799736
field_period_native,field_period_native,15,2005,mean,cka_debiased,rsa_spearman,45,0.9014492753623187
field_period_native,field_period_native,15,2005,mean,procrustes_similarity,rsa_spearman,45,0.7795783926218708
field_period_native,field_period_native,15,2010,mean,cka_debiased,procrustes_similarity,45,0.8752305665349142
field_period_native,field_period_native,15,2010,mean,cka_debiased,rsa_spearman,45,0.9118577075098815
field_period_native,field_period_native,15,2010,mean,procrustes_similarity,rsa_spearman,45,0.7870882740447958
field_period_native,field_period_native,15,2015,mean,cka_debiased,procrustes_similarity,45,0.8794466403162055
field_period_native,field_period_native,15,2015,mean,cka_debiased,rsa_spearman,45,0.8898550724637679
field_period_native,field_period_native,15,2015,mean,procrustes_similarity,rsa_spearman,45,0.7586297760210804
field_period_native,field_period_native,15,2020,mean,cka_debiased,procrustes_similarity,45,0.8957839262187088
field_period_native,field_period_native,15,2020,mean,cka_debiased,rsa_spearman,45,0.8687747035573122
field_period_native,field_period_native,15,2020,mean,procrustes_similarity,rsa_spearman,45,0.775098814229249
field_period_native,field_period_native,16,2000,mean,cka_debiased,procrustes_similarity,45,0.8642951251646903
field_period_native,field_period_native,16,2000,mean,cka_debiased,rsa_spearman,45,0.833596837944664
field_period_native,field_period_native,16,2000,mean,procrustes_similarity,rsa_spearman,45,0.6555994729907773
field_period_native,field_period_native,16,2005,mean,cka_debiased,procrustes_similarity,45,0.8744400527009222
field_period_native,field_period_native,16,2005,mean,cka_debiased,rsa_spearman,45,0.863768115942029
field_period_native,field_period_native,16,2005,mean,procrustes_similarity,rsa_spearman,45,0.6718050065876153
field_period_native,field_period_native,16,2010,mean,cka_debiased,procrustes_similarity,45,0.8862977602108036
field_period_native,field_period_native,16,2010,mean,cka_debiased,rsa_spearman,45,0.8691699604743083
field_period_native,field_period_native,16,2010,mean,procrustes_similarity,rsa_spearman,45,0.6852437417654809
field_period_native,field_period_native,16,2015,mean,cka_debiased,procrustes_similarity,45,0.9220026350461132
field_period_native,field_period_native,16,2015,mean,cka_debiased,rsa_spearman,45,0.8247694334650856
field_period_native,field_period_native,16,2015,mean,procrustes_similarity,rsa_spearman,45,0.6910408432147561
field_period_native,field_period_native,16,2020,mean,cka_debiased,procrustes_similarity,45,0.9328063241106718
field_period_native,field_period_native,16,2020,mean,cka_debiased,rsa_spearman,45,0.7768115942028985
field_period_native,field_period_native,16,2020,mean,procrustes_similarity,rsa_spearman,45,0.6487483530961792
field_period_native,field_period_native,17,2000,mean,cka_debiased,procrustes_similarity,45,0.9104084321475626
field_period_native,field_period_native,17,2000,mean,cka_debiased,rsa_spearman,45,0.8380764163372857
field_period_native,field_period_native,17,2000,mean,procrustes_similarity,rsa_spearman,45,0.7276679841897232
field_period_native,field_period_native,17,2005,mean,cka_debiased,procrustes_similarity,45,0.8716732542819499
field_period_native,field_period_native,17,2005,mean,cka_debiased,rsa_spearman,45,0.826482213438735
field_period_native,field_period_native,17,2005,mean,procrustes_similarity,rsa_spearman,45,0.7163372859025032
field_period_native,field_period_native,17,2010,mean,cka_debiased,procrustes_similarity,45,0.870223978919631
field_period_native,field_period_native,17,2010,mean,cka_debiased,rsa_spearman,45,0.8156785243741765
field_period_native,field_period_native,17,2010,mean,procrustes_similarity,rsa_spearman,45,0.6939393939393937
field_period_native,field_period_native,17,2015,mean,cka_debiased,procrustes_similarity,45,0.8870882740447957
field_period_native,field_period_native,17,2015,mean,cka_debiased,rsa_spearman,45,0.8366271409749669
field_period_native,field_period_native,17,2015,mean,procrustes_similarity,rsa_spearman,45,0.7079051383399209
field_period_native,field_period_native,17,2020,mean,cka_debiased,procrustes_similarity,45,0.8007905138339919
