source,level,selection,recipe,metric_a,metric_b,n,mean,median,min,max,p025,p975
field_period_native,field_period_native,all,mean,cka_debiased,procrustes_similarity,130,0.8911371237458194,0.8844532279314887,0.7930171277997365,0.9603425559947298,0.8113208168642951,0.9528162055335969
field_period_native,field_period_native,all,mean,cka_debiased,rsa_spearman,130,0.8806952467822031,0.8812252964426877,0.7768115942028985,0.9627140974967061,0.8251548089591567,0.9481587615283267
field_period_native,field_period_native,all,mean,procrustes_similarity,rsa_spearman,130,0.7888871997567649,0.7952569169960473,0.6487483530961792,0.8927536231884058,0.6865480895915678,0.8603096179183135
subfield_native,subfield_native,all,mean,cka_debiased,procrustes_similarity,251,0.9057136408253676,0.9118577075098815,0.7729907773386033,0.9819499341238472,0.7993741765480895,0.97131093544137
subfield_native,subfield_native,all,mean,cka_debiased,rsa_spearman,251,0.8904093769848143,0.8947299077733859,0.7588932806324109,0.9752305665349141,0.8121870882740447,0.9538866930171277
subfield_native,subfield_native,all,mean,procrustes_similarity,rsa_spearman,251,0.8461962426971953,0.8495388669301712,0.625691699604743,0.9741765480895915,0.7343544137022397,0.9463768115942028
matched,field,128,mean,cka_debiased,procrustes_similarity,26,0.9073882639100029,0.90566534914361,0.7986824769433465,0.9848484848484849,0.8121870882740447,0.9717555994729907
matched,field,128,mean,cka_debiased,rsa_spearman,26,0.8811442181007398,0.8822793148880105,0.7357048748353096,0.9669301712779973,0.7826416337285902,0.9581192358366271
matched,field,128,mean,procrustes_similarity,rsa_spearman,26,0.8587260565521435,0.8660079051383398,0.6774703557312253,0.9702239789196311,0.7430171277997364,0.9569664031620553
matched,field,128,cls,cka_debiased,rsa_spearman,26,0.8921810073983987,0.8888010540184452,0.7936758893280632,0.9578392621870881,0.8189558629776021,0.9559453227931488
matched,field,128,sep,cka_debiased,rsa_spearman,26,0.8635400831053003,0.8657444005270092,0.7144927536231884,0.9480895915678524,0.727832674571805,0.9478425559947298
matched,field,256,mean,cka_debiased,procrustes_similarity,26,0.9153846153846155,0.926482213438735,0.8181818181818182,0.9831357048748353,0.8227931488801054,0.9699604743083003
matched,field,256,mean,cka_debiased,rsa_spearman,26,0.8784534306273437,0.8856389986824769,0.7787878787878787,0.9524374176548089,0.8030797101449275,0.9370388669301712
matched,field,256,mean,procrustes_similarity,rsa_spearman,26,0.8714806932198236,0.8673254281949934,0.6967061923583663,0.9470355731225295,0.7626646903820816,0.9439064558629775
matched,field,256,cls,cka_debiased,rsa_spearman,26,0.8874277896017027,0.8914361001317521,0.7707509881422925,0.9553359683794467,0.7942193675889327,0.9510540184453228
matched,field,256,sep,cka_debiased,rsa_spearman,26,0.8719874328569979,0.868577075098814,0.6582345191040843,0.9503293807641633,0.7052536231884058,0.9484354413702238
matched,field,512,mean,cka_debiased,procrustes_similarity,26,0.9170771257727779,0.9214756258234519,0.8172595520421605,0.9773386034255599,0.8273880105401843,0.9719861660079051
matched,field,512,mean,cka_debiased,rsa_spearman,26,0.8801662106009933,0.8869565217391303,0.8159420289855072,0.9457180500658762,0.8196475625823452,0.9313076416337285
matched,field,512,mean,procrustes_similarity,rsa_spearman,26,0.8528732137427788,0.8610013175230566,0.7216073781291172,0.9227931488801053,0.7576745718050065,0.9191699604743082
matched,field,512,cls,cka_debiased,rsa_spearman,26,0.8905594405594404,0.8953886693017126,0.7961791831357048,0.9611330698287219,0.8145421607378128,0.9524868247694334
matched,field,512,sep,cka_debiased,rsa_spearman,26,0.8668085537650754,0.8817523056653491,0.6665349143610012,0.9499341238471674,0.707625164690382,0.9375823451910409
matched,subfield,128,mean,cka_debiased,procrustes_similarity,232,0.9149993185225568,0.9204216073781291,0.72266139657444,0.9841897233201581,0.8209354413702239,0.9787450592885375
matched,subfield,128,mean,cka_debiased,rsa_spearman,232,0.8822980555176956,0.8870882740447956,0.7553359683794466,0.9617918313570486,0.7850230566534914,0.9523814229249011
matched,subfield,128,mean,procrustes_similarity,rsa_spearman,232,0.8817557130525645,0.8883399209486165,0.7438735177865612,0.965349143610013,0.7923418972332016,0.9550658761528327
matched,subfield,128,cls,cka_debiased,rsa_spearman,232,0.905950433873972,0.9116600790513834,0.7546772068511198,0.970619235836627,0.8137285902503293,0.961294466403162
matched,subfield,128,sep,cka_debiased,rsa_spearman,232,0.8931307073735858,0.900790513833992,0.7119894598155467,0.9882740447957837,0.7832674571805006,0.9641205533596838
matched,subfield,256,mean,cka_debiased,procrustes_similarity,217,0.9220141709622776,0.9277997364953887,0.7936758893280632,0.993544137022398,0.8383662714097496,0.9796310935441368
matched,subfield,256,mean,cka_debiased,rsa_spearman,217,0.8874404230645464,0.8916996047430829,0.7354413702239789,0.9704874835309616,0.7937812911725954,0.9572859025032937
matched,subfield,256,mean,procrustes_similarity,rsa_spearman,217,0.8913128479748395,0.8956521739130434,0.7125164690382081,0.9650856389986824,0.7935177865612648,0.9509617918313569
matched,subfield,256,cls,cka_debiased,rsa_spearman,217,0.9114958440344133,0.9158102766798417,0.6888010540184453,0.9739130434782607,0.8426350461133069,0.9651910408432146
matched,subfield,256,sep,cka_debiased,rsa_spearman,217,0.8958312841903304,0.903425559947299,0.7441370223978919,0.9786561264822133,0.7945454545454544,0.9690382081686428
matched,subfield,512,mean,cka_debiased,procrustes_similarity,183,0.9186101931647191,0.9229249011857708,0.7870882740447958,0.984584980237154,0.8197233201581026,0.9776086956521738
matched,subfield,512,mean,cka_debiased,rsa_spearman,183,0.8873647378993066,0.8923583662714096,0.7233201581027667,0.9753623188405796,0.8112384716732542,0.9522924901185771
matched,subfield,512,mean,procrustes_similarity,rsa_spearman,183,0.8715580610092372,0.875494071146245,0.6559947299077733,0.9517786561264822,0.7759881422924901,0.9413438735177865
matched,subfield,512,cls,cka_debiased,rsa_spearman,183,0.911280301230408,0.9164690382081685,0.7295125164690381,0.9839262187088272,0.8385375494071146,0.959117259552042
matched,subfield,512,sep,cka_debiased,rsa_spearman,183,0.8966262770254215,0.9023715415019762,0.734387351778656,0.9791831357048747,0.7840777338603425,0.9627536231884056
matched,subfield_period,2000,mean,cka_debiased,rsa_spearman,125,0.872754677206851,0.8733860342555994,0.7338603425559946,0.9546772068511198,0.8003293807641633,0.93965744400527
matched,subfield_period,2005,mean,cka_debiased,rsa_spearman,125,0.8718071146245059,0.8727272727272727,0.7488801054018445,0.9515151515151515,0.787812911725955,0.9399472990777338
matched,subfield_period,2010,mean,cka_debiased,rsa_spearman,125,0.8727009222661395,0.8768115942028983,0.7272727272727272,0.9752305665349141,0.7920158102766799,0.9508959156785243
matched,subfield_period,2015,mean,cka_debiased,rsa_spearman,125,0.8779931488801054,0.8848484848484849,0.7284584980237153,0.9816864295125164,0.7682740447957839,0.9581949934123846
matched,subfield_period,2020,mean,cka_debiased,rsa_spearman,125,0.8862524374176547,0.8913043478260868,0.7520421607378127,0.9722002635046112,0.7756126482213438,0.960250329380764
