outcome,model_a,model_b,intercept,same_architecture,same_lineage,same_final_corpus_group,same_objective,same_domain,same_pooling
cka_primary,specter,specter2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cka_primary,specter,scincl,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cka_primary,specter,scibert,1.0,1.0,1.0,0.0,0.0,1.0,0.0
cka_primary,specter,bert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_primary,specter,mpnet,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_primary,specter,minilm,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_primary,specter,pubmedbert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_primary,specter,biobert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_primary,specter,simcse,1.0,1.0,0.0,0.0,0.0,0.0,1.0
cka_primary,specter2,scincl,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cka_primary,specter2,scibert,1.0,1.0,1.0,0.0,0.0,1.0,0.0
cka_primary,specter2,bert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_primary,specter2,mpnet,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_primary,specter2,minilm,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_primary,specter2,pubmedbert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_primary,specter2,biobert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_primary,specter2,simcse,1.0,1.0,0.0,0.0,0.0,0.0,1.0
cka_primary,scincl,scibert,1.0,1.0,1.0,0.0,0.0,1.0,0.0
cka_primary,scincl,bert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_primary,scincl,mpnet,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_primary,scincl,minilm,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cka_primary,scincl,pubmedbert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_primary,scincl,biobert,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cka_primary,scincl,simcse,1.0,1.0,0.0,0.0,0.0,0.0,1.0
cka_primary,scibert,bert,1.0,1.0,0.0,0.0,1.0,0.0,1.0
cka_primary,scibert,mpnet,1.0,0.0,0.0,0.0,0.0,0.0,1.0
cka_primary,scibert,minilm,1.0,0.0,0.0,0.0,0.0,0.0,1.0
cka_primary,scibert,pubmedbert,1.0,1.0,0.0,0.0,1.0,0.0,1.0
cka_primary,scibert,biobert,1.0,1.0,0.0,0.0,1.0,0.0,1.0
cka_primary,scibert,simcse,1.0,1.0,0.0,0.0,0.0,0.0,0.0
