outcome,omitted_model,feature,rank,columns,identified,coefficient,r_squared
cka_primary,specter,intercept,7,7,True,0.6691365288330826,0.7395029004588761
cka_primary,specter,same_architecture,7,7,True,-0.0937586848684379,0.7395029004588761
cka_primary,specter,same_lineage,7,7,True,0.05813214194277783,0.7395029004588761
cka_primary,specter,same_final_corpus_group,7,7,True,-0.035958678568378796,0.7395029004588761
cka_primary,specter,same_objective,7,7,True,0.3344598824659215,0.7395029004588761
cka_primary,specter,same_domain,7,7,True,-0.012964710404950612,0.7395029004588761
cka_primary,specter,same_pooling,7,7,True,-0.11665629282928734,0.7395029004588761
cka_primary,specter2,intercept,7,7,True,0.6718403862987707,0.7226179439697136
cka_primary,specter2,same_architecture,7,7,True,-0.08791719485368864,0.7226179439697136
cka_primary,specter2,same_lineage,7,7,True,0.05050750269788819,0.7226179439697136
cka_primary,specter2,same_final_corpus_group,7,7,True,-0.02727744440412135,0.7226179439697136
cka_primary,specter2,same_objective,7,7,True,0.32701232472401087,0.7226179439697136
cka_primary,specter2,same_domain,7,7,True,-0.016960318617131306,0.7226179439697136
cka_primary,specter2,same_pooling,7,7,True,-0.11581737465830225,0.7226179439697136
cka_primary,scincl,intercept,7,7,True,0.6670822954781508,0.7330225557183061
cka_primary,scincl,same_architecture,7,7,True,-0.08581290415731897,0.7330225557183061
cka_primary,scincl,same_lineage,7,7,True,0.0471891412281259,0.7330225557183061
cka_primary,scincl,same_final_corpus_group,7,7,True,-0.06095052802290155,0.7330225557183061
cka_primary,scincl,same_objective,7,7,True,0.3282197787253296,0.7330225557183061
cka_primary,scincl,same_domain,7,7,True,-0.009511711062020315,0.7330225557183061
cka_primary,scincl,same_pooling,7,7,True,-0.11505940288292903,0.7330225557183061
cka_primary,scibert,intercept,7,7,True,0.6793237939420333,0.7208708650159402
cka_primary,scibert,same_architecture,7,7,True,-0.1094364305710714,0.7208708650159402
cka_primary,scibert,same_lineage,7,7,True,0.09229915982947383,0.7208708650159402
cka_primary,scibert,same_final_corpus_group,7,7,True,-0.05730310989496556,0.7208708650159402
cka_primary,scibert,same_objective,7,7,True,0.3068478858520157,0.7208708650159402
cka_primary,scibert,same_domain,7,7,True,-0.00518065981539763,0.7208708650159402
cka_primary,scibert,same_pooling,7,7,True,-0.11193650814990183,0.7208708650159402
cka_primary,bert,intercept,7,7,True,0.6948905081995741,0.82912062220482
cka_primary,bert,same_architecture,7,7,True,-0.1155290851006761,0.82912062220482
cka_primary,bert,same_lineage,7,7,True,0.07587085472883251,0.82912062220482
cka_primary,bert,same_final_corpus_group,7,7,True,-0.07266869371941057,0.82912062220482
cka_primary,bert,same_objective,7,7,True,0.4290774570763248,0.82912062220482
