outcome,feature,same_pairs,different_pairs,same_mean,different_mean,difference
cka_primary,same_architecture,28,17,0.6401471798393578,0.6304940632851407,0.009653116554217078
cka_primary,same_lineage,9,36,0.6969943738155743,0.6213769651947012,0.07561740862087307
cka_primary,same_final_corpus_group,4,41,0.7988984488775857,0.6206567394107089,0.17824170946687679
cka_primary,same_objective,10,35,0.7999849828655841,0.5897905795055306,0.21019440336005346
cka_primary,same_domain,13,32,0.6767487648950286,0.6201495677410637,0.056599197153964886
cka_primary,same_pooling,21,24,0.6598152874441502,0.6160999614592607,0.043715325984889475
cka_equal2048,same_architecture,28,17,0.6401586996248697,0.630514591836951,0.009644107787918688
cka_equal2048,same_lineage,9,36,0.6969895415895602,0.6213968271227355,0.0755927144668247
cka_equal2048,same_final_corpus_group,4,41,0.798893090076937,0.6206736412296774,0.1782194488472596
cka_equal2048,same_objective,10,35,0.7999699978088122,0.5898140477896112,0.21015595001920095
cka_equal2048,same_domain,13,32,0.6767468340337093,0.6201713377589468,0.05657549627476244
cka_equal2048,same_pooling,21,24,0.6598303349907306,0.6161147756632991,0.04371555932743154
cka_quality,same_architecture,28,17,0.6576998271181024,0.6465096576867722,0.011190169431330221
cka_quality,same_lineage,9,36,0.710762519456361,0.6391499073576317,0.07161261209872938
cka_quality,same_final_corpus_group,4,41,0.8034752132554754,0.6388380118770753,0.1646372013784001
cka_quality,same_objective,10,35,0.809535184696679,0.6088830712290059,0.2006521134676731
cka_quality,same_domain,13,32,0.6895325979687793,0.6388229864496207,0.05070961151915865
cka_quality,same_pooling,21,24,0.6756256108339689,0.6340883963528602,0.0415372144811087
cka_cls,same_architecture,28,17,0.5277638298986315,0.5634182084214538,-0.03565437852282238
cka_cls,same_lineage,9,36,0.5880938836874517,0.5295181063094259,0.058575777378025884
cka_cls,same_final_corpus_group,4,41,0.7988984488775857,0.5160951947516109,0.28280325412597473
cka_cls,same_objective,10,35,0.7036092469774072,0.4948401231586378,0.20876912381876944
cka_cls,same_domain,13,32,0.5808787777915264,0.5251272709073922,0.055751506884134217
cka_cls,same_pooling,29,16,0.5382881060509115,0.5465713565531227,-0.008283250502211237
cka_sep,same_architecture,28,17,0.5219898571190539,0.5970514990578958,-0.0750616419388419
cka_sep,same_lineage,9,36,0.5462629670694931,0.5513673549914527,-0.005104387921959663
cka_sep,same_final_corpus_group,4,41,0.7988984488775857,0.5260975045806683,0.27280094429691737
cka_sep,same_objective,10,35,0.6067222162766606,0.5342391234443181,0.07248309283234244
cka_sep,same_domain,13,32,0.5446137990184786,0.5526753780024225,-0.008061578983943885
cka_sep,same_pooling,13,32,0.5880481101009853,0.5350301891251541,0.053017920975831245
neighbors_2048_mean_k25,same_architecture,28,17,0.3118360501802885,0.3297296821973982,-0.017893632017109695
neighbors_2048_mean_k25,same_lineage,9,36,0.3523275741185897,0.31016293987045945,0.04216463424813027
neighbors_2048_mean_k25,same_final_corpus_group,4,41,0.4723332707331731,0.30359709559685744,0.16873617513631567
neighbors_2048_mean_k25,same_objective,10,35,0.47062295673076926,0.27515955528846153,0.19546340144230773
neighbors_2048_mean_k25,same_domain,13,32,0.34859190088757397,0.30640997783954327,0.0421819230480307
neighbors_2048_mean_k25,same_pooling,21,24,0.34487157308836996,0.2956046236478365,0.04926694944053345
neighbors_2048_cls_k25,same_architecture,28,17,0.21281350339114008,0.2815739447822399,-0.06876044139109982
neighbors_2048_cls_k25,same_lineage,9,36,0.25993626469017095,0.23350302150106841,0.026433243189102534
neighbors_2048_cls_k25,same_final_corpus_group,4,41,0.4723332707331731,0.21600492861749535,0.2563283421156778
neighbors_2048_cls_k25,same_objective,10,35,0.35201457331730773,0.20643969780219779,0.14557487551510995
neighbors_2048_cls_k25,same_domain,13,32,0.2756674718010355,0.22380806321364183,0.051859408587393685
neighbors_2048_cls_k25,same_pooling,29,16,0.22529351272380635,0.263251455453726,-0.037957942729919675
neighbors_2048_sep_k25,same_architecture,28,17,0.24998910220638734,0.3194939108455883,-0.06950480863920097
neighbors_2048_sep_k25,same_lineage,9,36,0.2770470085470086,0.27604634081196583,0.0010006677350427595
neighbors_2048_sep_k25,same_final_corpus_group,4,41,0.4723332707331731,0.257116055200516,0.2152172155326571
neighbors_2048_sep_k25,same_objective,10,35,0.345662920673077,0.25641320398351647,0.08924971668956055
neighbors_2048_sep_k25,same_domain,13,32,0.28878731740014796,0.2711517568734977,0.017635560526650274
neighbors_2048_sep_k25,same_pooling,13,32,0.31343714173446746,0.2611377657376803,0.052299375996787134
