metric,input_condition,field_id,measure,n,mean,median,min,max,p025,p975,positive_count,negative_count
cka,title,11,model_change_at_full,10,0.38335686905747907,0.37411844513160303,0.3605000108783904,0.44098317024823985,0.36109829546552297,0.43367392123946136,10,0
cka,title,11,input_change_from_full,10,0.36141409255295665,0.3240630345856664,0.16581897287837788,0.6689789830793051,0.16763052306965734,0.6423434614216619,10,0
cka,title,11,model_minus_input,10,0.021942776504522404,0.05005541054593665,-0.2852495415856701,0.21415826869441917,-0.2624333018473269,0.21037417637531025,5,5
cka,abstract,11,model_change_at_full,10,0.38335686905747907,0.37411844513160303,0.3605000108783904,0.44098317024823985,0.36109829546552297,0.43367392123946136,10,0
cka,abstract,11,input_change_from_full,10,0.028844432846074818,0.028221960834542703,0.01305166436091132,0.04926263267780151,0.013736434405246026,0.048106778933351156,10,0
cka,abstract,11,model_minus_input,10,0.35451243621140427,0.34992490605790794,0.3163745059537016,0.4106105119091187,0.32003711293139575,0.40614094425653763,10,0
rsa,title,11,model_change_at_full,10,0.4630916320686955,0.4450131010321988,0.4160869962400509,0.5962441222647771,0.4184501607471211,0.5758741228666147,10,0
rsa,title,11,input_change_from_full,10,0.38304909728327285,0.3227344811450861,0.17867128542868294,0.6792271503555678,0.1827132988624113,0.6665523270596561,10,0
rsa,title,11,model_minus_input,10,0.0800425347854227,0.1183231870579759,-0.23547676221085895,0.3560245929082292,-0.2233441763751778,0.3381970295300982,7,3
rsa,abstract,11,model_change_at_full,10,0.4630916320686955,0.4450131010321988,0.4160869962400509,0.5962441222647771,0.4184501607471211,0.5758741228666147,10,0
rsa,abstract,11,input_change_from_full,10,0.02956186611310253,0.02533534616283728,0.010665218335154103,0.0657577782728902,0.011520091626180196,0.06206019043587285,10,0
rsa,abstract,11,model_minus_input,10,0.43352976595559306,0.42382907008932635,0.3911769215392785,0.5304863439918869,0.39322354975504437,0.5203496274962809,10,0
neighbors25,title,11,model_change_at_full,10,0.6744026666666667,0.6625911111111111,0.6488977777777777,0.7419133333333333,0.6503057777777776,0.7329468333333333,10,0
neighbors25,title,11,input_change_from_full,10,0.687188,0.69085,0.49716000000000005,0.83984,0.5085270000000001,0.837941,10,0
neighbors25,title,11,model_minus_input,10,-0.012785333333333338,-0.0038088888888888617,-0.17624444444444454,0.15173777777777764,-0.1724159444444445,0.14452527777777766,5,5
neighbors25,abstract,11,model_change_at_full,10,0.6744026666666667,0.6625911111111111,0.6488977777777777,0.7419133333333333,0.6503057777777776,0.7329468333333333,10,0
neighbors25,abstract,11,input_change_from_full,10,0.22216999999999998,0.21065999999999996,0.15367999999999993,0.31401999999999997,0.15387799999999996,0.31375899999999995,10,0
neighbors25,abstract,11,model_minus_input,10,0.4522326666666666,0.4684444444444445,0.34546888888888894,0.5105977777777777,0.35504788888888894,0.5099282777777777,10,0
cka,title,12,model_change_at_full,10,0.4292742026309823,0.4404132178582193,0.37764984689277237,0.4574100706252435,0.38112865578583816,0.45586731896090604,10,0
cka,title,12,input_change_from_full,10,0.49938937665666006,0.49492125979281937,0.28344697864288093,0.7323399270377262,0.2903049516141679,0.7216178968313087,10,0
cka,title,12,model_minus_input,10,-0.07011517402567766,-0.08520741685419997,-0.2966418672267519,0.1616813972625833,-0.29146948647732235,0.15497473517701416,5,5
cka,abstract,12,model_change_at_full,10,0.4292742026309823,0.4404132178582193,0.37764984689277237,0.4574100706252435,0.38112865578583816,0.45586731896090604,10,0
cka,abstract,12,input_change_from_full,10,0.04092655303211688,0.03376508755303009,0.016803450657210672,0.10021750499552085,0.017548597875143426,0.09301264086536397,10,0
cka,abstract,12,model_minus_input,10,0.3883476495988654,0.3922986167421041,0.34558336373535603,0.42158891893268735,0.3490175460479023,0.41943063741494707,10,0
rsa,title,12,model_change_at_full,10,0.463889870440158,0.4493894432348068,0.42200030887050105,0.5316836633473758,0.4222988105798221,0.5294827994075236,10,0
rsa,title,12,input_change_from_full,10,0.478062854865109,0.45911788882229493,0.26977591106044385,0.7344563159176409,0.27270354050303847,0.7269310351387526,10,0
rsa,title,12,model_minus_input,10,-0.014172984424951046,0.02523653261917405,-0.2817671161255845,0.2359622827290685,-0.28084833409472504,0.23030792567665764,5,5
rsa,abstract,12,model_change_at_full,10,0.463889870440158,0.4493894432348068,0.42200030887050105,0.5316836633473758,0.4222988105798221,0.5294827994075236,10,0
rsa,abstract,12,input_change_from_full,10,0.0339302722269742,0.027274605875939828,0.011842317550102122,0.09363931947009219,0.012101404018112197,0.08349822719532968,10,0
rsa,abstract,12,model_minus_input,10,0.42995959821318375,0.4301513230594618,0.3988570119814821,0.5051163837804564,0.39915684126681905,0.4933869035212316,10,0
neighbors25,title,12,model_change_at_full,10,0.7494528888888888,0.7451522222222222,0.7152866666666666,0.7911688888888888,0.7175956666666666,0.7904378888888888,10,0
neighbors25,title,12,input_change_from_full,10,0.805438,0.8155600000000001,0.63478,0.90288,0.6481495,0.902241,10,0
neighbors25,title,12,model_minus_input,10,-0.05598511111111111,-0.0638966666666666,-0.17325777777777762,0.10940444444444442,-0.17302227777777765,0.09647044444444444,3,7
neighbors25,abstract,12,model_change_at_full,10,0.7494528888888888,0.7451522222222222,0.7152866666666666,0.7911688888888888,0.7175956666666666,0.7904378888888888,10,0
neighbors25,abstract,12,input_change_from_full,10,0.265982,0.22613,0.16067999999999993,0.46843999999999997,0.16687199999999994,0.455084,10,0
neighbors25,abstract,12,model_minus_input,10,0.4834708888888889,0.5158866666666666,0.32272888888888884,0.5546066666666667,0.33535388888888884,0.5510011666666668,10,0
cka,title,13,model_change_at_full,10,0.3927931952852405,0.38570848425535853,0.3609963976160675,0.45915992086589635,0.36293750644639083,0.45115026796179536,10,0
cka,title,13,input_change_from_full,10,0.3411253987304965,0.2993555412413263,0.1642671029814312,0.6110460572758925,0.16688218673603766,0.5909761512438828,10,0
cka,title,13,model_minus_input,10,0.05166779655474394,0.09464639730600546,-0.25004965965982495,0.22936744821388633,-0.22803864479749192,0.22423671986468058,6,4
cka,abstract,13,model_change_at_full,10,0.3927931952852405,0.38570848425535853,0.3609963976160675,0.45915992086589635,0.36293750644639083,0.45115026796179536,10,0
cka,abstract,13,input_change_from_full,10,0.024122514949462947,0.02262555228326546,0.009916757064484583,0.04064575280217542,0.010319450827965707,0.040461144289918254,10,0
cka,abstract,13,model_minus_input,10,0.36867068033577755,0.36129907297579045,0.3400076976704399,0.42743967286174095,0.34111605858897964,0.4177884484579722,10,0
rsa,title,13,model_change_at_full,10,0.47575468354628675,0.45267249192609815,0.4254356315254227,0.5602162636633734,0.42707417619526883,0.5554523674407388,10,0
rsa,title,13,input_change_from_full,10,0.3695658047870147,0.2899607808836505,0.19406349733415795,0.6534178411710465,0.19601605540348935,0.6367130488586089,10,0
rsa,title,13,model_minus_input,10,0.10618887875927205,0.14691903319171554,-0.2063413229645213,0.3316527517454625,-0.1928671854854855,0.32724539170189487,7,3
rsa,abstract,13,model_change_at_full,10,0.47575468354628675,0.45267249192609815,0.4254356315254227,0.5602162636633734,0.42707417619526883,0.5554523674407388,10,0
rsa,abstract,13,input_change_from_full,10,0.02511178305547873,0.02188816972497043,0.00782893188007161,0.051307596566269265,0.008462476421179166,0.05094704163121777,10,0
rsa,abstract,13,model_minus_input,10,0.450642900490808,0.4386483100390379,0.41435631763389147,0.5151718576695956,0.4150876535864699,0.5141231947258366,10,0
neighbors25,title,13,model_change_at_full,10,0.6743408888888889,0.6568333333333334,0.6430066666666667,0.7727311111111111,0.6433566666666667,0.7580366111111112,10,0
neighbors25,title,13,input_change_from_full,10,0.6668499999999999,0.67104,0.49283999999999994,0.84632,0.49634999999999996,0.8393809999999999,10,0
neighbors25,title,13,model_minus_input,10,0.0074908888888889245,0.008453333333333368,-0.15179555555555546,0.15631111111111118,-0.14703055555555547,0.15350911111111118,5,5
neighbors25,abstract,13,model_change_at_full,10,0.6743408888888889,0.6568333333333334,0.6430066666666667,0.7727311111111111,0.6433566666666667,0.7580366111111112,10,0
neighbors25,abstract,13,input_change_from_full,10,0.19671,0.18406000000000006,0.12982000000000005,0.28615999999999997,0.13073350000000003,0.2819345,10,0
neighbors25,abstract,13,model_minus_input,10,0.4776308888888888,0.48746888888888895,0.3848377777777777,0.5394622222222221,0.39503027777777777,0.538876722222222,10,0
cka,title,14,model_change_at_full,10,0.42554518040772216,0.4209543091750342,0.3980286464921341,0.46104481929878793,0.39958232792507314,0.45781705147500923,10,0
cka,title,14,input_change_from_full,10,0.44686946031537833,0.4232665655586012,0.22704443665076013,0.72226101959117,0.22996491305242567,0.7116757024090662,10,0
cka,title,14,model_minus_input,10,-0.021324279907656125,0.006281810971522278,-0.2878875272731002,0.17098420984137397,-0.27130116152033484,0.17060320557628464,5,5
cka,abstract,14,model_change_at_full,10,0.42554518040772216,0.4209543091750342,0.3980286464921341,0.46104481929878793,0.39958232792507314,0.45781705147500923,10,0
cka,abstract,14,input_change_from_full,10,0.03583974623126174,0.031675329509436356,0.01590688381069061,0.0660120054437714,0.01694526028064987,0.06350798952486933,10,0
cka,abstract,14,model_minus_input,10,0.3897054341764604,0.38880792603350744,0.338921891861425,0.4311156542418665,0.34657671014533276,0.4273535882387917,10,0
rsa,title,14,model_change_at_full,10,0.45828132634487045,0.4561905613183103,0.4126884520152221,0.5121967156794924,0.41371823218212134,0.5086611173158033,10,0
rsa,title,14,input_change_from_full,10,0.4425313528025291,0.3973913873314801,0.21960559908901855,0.7019204478373016,0.2314203894681416,0.6959609021565524,10,0
rsa,title,14,model_minus_input,10,0.01574997354234134,0.0597361927106736,-0.2528195398172149,0.2175505339368745,-0.24713227807655894,0.21652212974742882,5,5
rsa,abstract,14,model_change_at_full,10,0.45828132634487045,0.4561905613183103,0.4126884520152221,0.5121967156794924,0.41371823218212134,0.5086611173158033,10,0
rsa,abstract,14,input_change_from_full,10,0.03296006669029913,0.02563240221033114,0.013749604636371204,0.0761484270853735,0.014159140287408112,0.0728368041571814,10,0
rsa,abstract,14,model_minus_input,10,0.4253212596545713,0.42672828345623653,0.3893084759306052,0.47540149139900345,0.3894170139403408,0.46783612086911563,10,0
neighbors25,title,14,model_change_at_full,10,0.7194840000000001,0.7234166666666666,0.6811244444444444,0.7512733333333332,0.6827844444444444,0.7483723333333333,10,0
neighbors25,title,14,input_change_from_full,10,0.74145,0.75197,0.5393399999999999,0.89114,0.554469,0.8897630000000001,10,0
neighbors25,title,14,model_minus_input,10,-0.021966000000000006,-0.014140000000000097,-0.1546333333333333,0.1417844444444445,-0.1542118333333333,0.13098344444444449,5,5
neighbors25,abstract,14,model_change_at_full,10,0.7194840000000001,0.7234166666666666,0.6811244444444444,0.7512733333333332,0.6827844444444444,0.7483723333333333,10,0
neighbors25,abstract,14,input_change_from_full,10,0.241682,0.22647,0.1739400000000001,0.34843999999999997,0.17702250000000005,0.34407499999999996,10,0
neighbors25,abstract,14,model_minus_input,10,0.47780199999999995,0.4877633333333332,0.36704000000000003,0.5360400000000001,0.373409,0.5357625,10,0
cka,title,15,model_change_at_full,10,0.29893573154368763,0.2975566656677893,0.26415595694444083,0.33767810934305703,0.26733712466767107,0.33436803672894067,10,0
cka,title,15,input_change_from_full,10,0.28850862796663773,0.23455439831116504,0.12790785883972156,0.5681785937546249,0.12886029924604758,0.5404484616445255,10,0
cka,title,15,model_minus_input,10,0.010427103577049878,0.07153864417569683,-0.2828125948071485,0.15038662131907593,-0.2525204570985019,0.14985032025202932,6,4
cka,abstract,15,model_change_at_full,10,0.29893573154368763,0.2975566656677893,0.26415595694444083,0.33767810934305703,0.26733712466767107,0.33436803672894067,10,0
cka,abstract,15,input_change_from_full,10,0.02525430288685764,0.02524361812415682,0.013848810293104363,0.041572261300409585,0.014507680248551008,0.04077210507621816,10,0
cka,abstract,15,model_minus_input,10,0.27368142865682993,0.27097521698786575,0.22258369564403124,0.31006266341140315,0.2303766257266783,0.30868526750392145,10,0
rsa,title,15,model_change_at_full,10,0.39871100669047765,0.3926884942064711,0.3658518765014629,0.4677836021981265,0.36620377625979283,0.45847710517618495,10,0
rsa,title,15,input_change_from_full,10,0.3418041933748115,0.3097514563511299,0.16248933762422768,0.5789019538722575,0.16272174674183196,0.5716122171688329,10,0
rsa,title,15,model_minus_input,10,0.05690681331566614,0.08566607960274705,-0.18410574361826731,0.26035816705505754,-0.17776447913622634,0.24978366046925962,7,3
rsa,abstract,15,model_change_at_full,10,0.39871100669047765,0.3926884942064711,0.3658518765014629,0.4677836021981265,0.36620377625979283,0.45847710517618495,10,0
rsa,abstract,15,input_change_from_full,10,0.029825297256614647,0.02757073059817916,0.014026869053076485,0.057738952219849815,0.015026098524858585,0.056640957897004365,10,0
rsa,abstract,15,model_minus_input,10,0.368885709433863,0.3696040455232584,0.3194884985338857,0.4149246247464787,0.32530402263602365,0.4112925398505723,10,0
neighbors25,title,15,model_change_at_full,10,0.6749564444444444,0.666541111111111,0.6463533333333333,0.7334577777777778,0.6485213333333334,0.7244062777777778,10,0
neighbors25,title,15,input_change_from_full,10,0.7043579999999999,0.7185900000000001,0.51796,0.84686,0.5291965,0.845807,10,0
neighbors25,title,15,model_minus_input,10,-0.02940155555555555,-0.015655555555555534,-0.18339111111111106,0.12839333333333336,-0.17899011111111104,0.12072583333333335,5,5
neighbors25,abstract,15,model_change_at_full,10,0.6749564444444444,0.666541111111111,0.6463533333333333,0.7334577777777778,0.6485213333333334,0.7244062777777778,10,0
neighbors25,abstract,15,input_change_from_full,10,0.24593600000000002,0.22448,0.17242000000000002,0.37324,0.172996,0.35884900000000003,10,0
neighbors25,abstract,15,model_minus_input,10,0.4290204444444444,0.44426111111111116,0.2941311111111111,0.49104888888888887,0.31210411111111114,0.49097738888888887,10,0
cka,title,16,model_change_at_full,10,0.3297180661265407,0.33066186616037685,0.29186992019659935,0.3841943493163591,0.292623010568749,0.37772138063788396,10,0
cka,title,16,input_change_from_full,10,0.29850412816730415,0.2881737795643423,0.13770328201462478,0.45361212213007496,0.14609850679741998,0.4523355118944229,10,0
cka,title,16,model_minus_input,10,0.03121393795923653,0.05039007780282684,-0.15237305286058273,0.17432654002423703,-0.15038319704865866,0.17161251650768927,5,5
cka,abstract,16,model_change_at_full,10,0.3297180661265407,0.33066186616037685,0.29186992019659935,0.3841943493163591,0.292623010568749,0.37772138063788396,10,0
cka,abstract,16,input_change_from_full,10,0.036550747321724995,0.03520038063853875,0.018737883647086395,0.05739114883615071,0.019498174229072303,0.05707585610701891,10,0
cka,abstract,16,model_minus_input,10,0.29316731880481567,0.30079901491049554,0.23782583968111376,0.34524800896102115,0.24496854339317609,0.3369889917848121,10,0
rsa,title,16,model_change_at_full,10,0.4280070900113177,0.41487807984911207,0.36272244551947325,0.515040047090267,0.37013719987981,0.505316832552909,10,0
rsa,title,16,input_change_from_full,10,0.3143372553703422,0.2956813774017028,0.13312397503930973,0.5165671503809178,0.13782992115917325,0.5160106614862767,10,0
rsa,title,16,model_minus_input,10,0.11366983464097555,0.11726657116466535,-0.11360331411450769,0.33870178521825517,-0.10203020862568761,0.32505616271356574,7,3
rsa,abstract,16,model_change_at_full,10,0.4280070900113177,0.41487807984911207,0.36272244551947325,0.515040047090267,0.37013719987981,0.505316832552909,10,0
rsa,abstract,16,input_change_from_full,10,0.03382999810962554,0.030758094098647826,0.020693471111235873,0.06187509166818672,0.021219794294950186,0.06000024384851255,10,0
rsa,abstract,16,model_minus_input,10,0.39417709190169226,0.391357398616311,0.3420289744082374,0.45316495542208024,0.3429715677443314,0.4503544867878034,10,0
neighbors25,title,16,model_change_at_full,10,0.7044839999999999,0.7030144444444445,0.6610355555555556,0.7749111111111111,0.6622210555555555,0.7678186111111112,10,0
neighbors25,title,16,input_change_from_full,10,0.7058639999999999,0.70573,0.53796,0.85424,0.5466495,0.852881,10,0
neighbors25,title,16,model_minus_input,10,-0.0013799999999999923,0.010586666666666633,-0.1674955555555555,0.15354,-0.1597890555555555,0.1480025,5,5
neighbors25,abstract,16,model_change_at_full,10,0.7044839999999999,0.7030144444444445,0.6610355555555556,0.7749111111111111,0.6622210555555555,0.7678186111111112,10,0
neighbors25,abstract,16,input_change_from_full,10,0.279742,0.26525,0.19342000000000004,0.40691999999999995,0.19441000000000003,0.39237599999999995,10,0
neighbors25,abstract,16,model_minus_input,10,0.42474200000000006,0.4435033333333334,0.2936000000000001,0.4801066666666667,0.3092665000000001,0.4794621666666667,10,0
cka,title,17,model_change_at_full,10,0.38129876425222176,0.3792544101480647,0.3671052399905723,0.4034474376286873,0.36720430539997106,0.4007373090871515,10,0
cka,title,17,input_change_from_full,10,0.3883793799132963,0.36632521215946595,0.21027914095242084,0.6695527307106061,0.21108079047082667,0.6527771531480971,10,0
cka,title,17,model_minus_input,10,-0.007080615661074463,0.02070332909772593,-0.28898141360408464,0.15856801088984707,-0.27068389697614514,0.15827514613261429,5,5
cka,abstract,17,model_change_at_full,10,0.38129876425222176,0.3792544101480647,0.3671052399905723,0.4034474376286873,0.36720430539997106,0.4007373090871515,10,0
cka,abstract,17,input_change_from_full,10,0.023486221462636615,0.02323829721214149,0.01105541694398482,0.04433683531657284,0.011257075721104218,0.04226755178505387,10,0
cka,abstract,17,model_minus_input,10,0.3578125427895852,0.3565674002875382,0.33240551107807814,0.38052890417455953,0.3349123863651044,0.38028631807068647,10,0
rsa,title,17,model_change_at_full,10,0.5125845990984952,0.4886249669362294,0.4615871928274684,0.6260152982202057,0.4627401200083633,0.6121282482680004,10,0
rsa,title,17,input_change_from_full,10,0.41717561270503933,0.3633526069411323,0.27607104281117756,0.6254623266996556,0.27694974831679986,0.624332126804405,10,0
rsa,title,17,model_minus_input,10,0.09540898639345582,0.13830385130117553,-0.15875101306821,0.3460388976062623,-0.155549875356982,0.3306409433585428,6,4
rsa,abstract,17,model_change_at_full,10,0.5125845990984952,0.4886249669362294,0.4615871928274684,0.6260152982202057,0.4627401200083633,0.6121282482680004,10,0
rsa,abstract,17,input_change_from_full,10,0.027865275830915148,0.023533192597832875,0.00882123866055673,0.06037582383543727,0.00934701347123339,0.060178657221220955,10,0
rsa,abstract,17,model_minus_input,10,0.48471932326758005,0.46633772750234465,0.4494932176372303,0.592303388033426,0.4502295833564086,0.572614124124489,10,0
neighbors25,title,17,model_change_at_full,10,0.6843448888888888,0.6816600000000002,0.6354711111111111,0.7407466666666667,0.6377936111111111,0.7340006666666667,10,0
neighbors25,title,17,input_change_from_full,10,0.7150420000000001,0.7202900000000001,0.53078,0.8826,0.5373680000000001,0.880638,10,0
neighbors25,title,17,model_minus_input,10,-0.03069711111111112,-0.010160000000000002,-0.17183555555555552,0.10469111111111107,-0.17039605555555554,0.10336961111111105,5,5
neighbors25,abstract,17,model_change_at_full,10,0.6843448888888888,0.6816600000000002,0.6354711111111111,0.7407466666666667,0.6377936111111111,0.7340006666666667,10,0
neighbors25,abstract,17,input_change_from_full,10,0.20176000000000002,0.18656000000000006,0.15189999999999992,0.27603999999999995,0.15431649999999994,0.27355149999999995,10,0
neighbors25,abstract,17,model_minus_input,10,0.48258488888888895,0.48947888888888885,0.4065933333333335,0.5336022222222222,0.4067748333333334,0.5331637222222222,10,0
cka,title,18,model_change_at_full,10,0.37998524315389554,0.3764246408601058,0.35768152492052174,0.4091914131631988,0.3596094514358599,0.4061588479915278,10,0
cka,title,18,input_change_from_full,10,0.4085610642229495,0.3760996435461068,0.22703016229867123,0.6842370801542987,0.22970757154980212,0.6660445525641387,10,0
cka,title,18,model_minus_input,10,-0.028575821069053958,0.009769054066495725,-0.30979251213023784,0.1306513626218505,-0.2868145095554428,0.1305434319857152,5,5
cka,abstract,18,model_change_at_full,10,0.37998524315389554,0.3764246408601058,0.35768152492052174,0.4091914131631988,0.3596094514358599,0.4061588479915278,10,0
cka,abstract,18,input_change_from_full,10,0.02724917167185692,0.025942692218952068,0.011790977296766036,0.04966810197113525,0.012169918992115563,0.04943275620826397,10,0
cka,abstract,18,model_minus_input,10,0.35273607148203856,0.34958642673435103,0.3204793090732391,0.3836213877850014,0.32370761252946767,0.38229162506928954,10,0
rsa,title,18,model_change_at_full,10,0.49081798747007815,0.4676088780441056,0.4432467375777833,0.5623850782277958,0.4437179695597365,0.5616467304198248,10,0
rsa,title,18,input_change_from_full,10,0.43389889518669833,0.38397005708542575,0.25332684394831695,0.6859287975138233,0.25792531764757554,0.6791630740857212,10,0
rsa,title,18,model_minus_input,10,0.05691909228337995,0.10092744453256752,-0.21998628061529973,0.28533902758068064,-0.21293019697997176,0.2785683600318157,6,4
rsa,abstract,18,model_change_at_full,10,0.49081798747007815,0.4676088780441056,0.4432467375777833,0.5623850782277958,0.4437179695597365,0.5616467304198248,10,0
rsa,abstract,18,input_change_from_full,10,0.030805190933012937,0.024433663096832314,0.012103861338257693,0.06684189162809617,0.012553673435471138,0.06636819678545144,10,0
rsa,abstract,18,model_minus_input,10,0.4600127965370652,0.45272903189340524,0.4205951481706581,0.5246512714154546,0.4229683869861533,0.5181019523319098,10,0
neighbors25,title,18,model_change_at_full,10,0.680932,0.6826766666666666,0.6351511111111111,0.73184,0.6373856111111111,0.7246680000000001,10,0
neighbors25,title,18,input_change_from_full,10,0.7267720000000001,0.73577,0.53574,0.87142,0.5475885,0.870979,10,0
neighbors25,title,18,model_minus_input,10,-0.04583999999999999,-0.028622222222222216,-0.17572222222222222,0.09941111111111112,-0.1755642222222222,0.09017411111111112,5,5
neighbors25,abstract,18,model_change_at_full,10,0.680932,0.6826766666666666,0.6351511111111111,0.73184,0.6373856111111111,0.7246680000000001,10,0
neighbors25,abstract,18,input_change_from_full,10,0.212508,0.19669999999999999,0.16508,0.30000000000000004,0.1652375,0.29957700000000004,10,0
neighbors25,abstract,18,model_minus_input,10,0.468424,0.47957555555555553,0.377828888888889,0.5269644444444446,0.37886988888888895,0.5268919444444445,10,0
cka,title,19,model_change_at_full,10,0.3256193738185402,0.32073673382675977,0.28824595395214136,0.3752942942502948,0.2930559313673655,0.3686274785461095,10,0
cka,title,19,input_change_from_full,10,0.338876825297992,0.30108367427397503,0.17816792173776963,0.6216240870939898,0.1815688280181781,0.5872457612562928,10,0
cka,title,19,model_minus_input,10,-0.013257451479451805,0.007537631724321314,-0.2825452379582849,0.14406206698398094,-0.2509452664515092,0.1389900922439804,5,5
cka,abstract,19,model_change_at_full,10,0.3256193738185402,0.32073673382675977,0.28824595395214136,0.3752942942502948,0.2930559313673655,0.3686274785461095,10,0
cka,abstract,19,input_change_from_full,10,0.026336279672341055,0.026887224967023338,0.010500173108037969,0.04706890665944308,0.01092471608387569,0.04673596867299029,10,0
cka,abstract,19,model_minus_input,10,0.29928309414619914,0.30019206159013406,0.2640344490779292,0.34864880110833596,0.2671194987253184,0.34002116878972155,10,0
rsa,title,19,model_change_at_full,10,0.422505317194297,0.4010679740839205,0.3805610854572359,0.543731621539829,0.38104199564040075,0.5288459119105648,10,0
rsa,title,19,input_change_from_full,10,0.37803837698679726,0.35531263485178266,0.18330928046627237,0.612758841132397,0.1836139940386474,0.6112783235522584,10,0
