metric,input_condition,model,measure,n,mean,median,min,max,p025,p975,positive_count,negative_count
cka,title,specter,model_change_at_full,26,0.3624479175282843,0.3595300255326302,0.20093445712397465,0.4574100706252435,0.240447894511766,0.4477986735324573,26,0
cka,title,specter,input_change_from_full,26,0.20775347228574706,0.19801112802014775,0.11930563397312344,0.3717343794089413,0.12732769231009733,0.3280068353305179,26,0
cka,title,specter,model_minus_input,26,0.15469444524253728,0.15804085869624337,0.08162882315085121,0.2628289679942601,0.08415811569175811,0.22602540721632758,26,0
cka,abstract,specter,model_change_at_full,26,0.3624479175282843,0.3595300255326302,0.20093445712397465,0.4574100706252435,0.240447894511766,0.4477986735324573,26,0
cka,abstract,specter,input_change_from_full,26,0.04445980547085593,0.044231170120630825,0.028860893264289755,0.06819588663926801,0.02971738535771623,0.061442925512319696,26,0
cka,abstract,specter,model_minus_input,26,0.31798811205742844,0.31837611671757937,0.17070317651020253,0.39620339720442804,0.20312850096884547,0.39183513894289523,26,0
cka,title,specter2,model_change_at_full,26,0.37463352676993544,0.37488949922138964,0.2278371899870112,0.45033639062759623,0.27766650881905847,0.44750168944214663,26,0
cka,title,specter2,input_change_from_full,26,0.20305727630888024,0.1946289275135517,0.11698142139332146,0.3139268585152676,0.133405592044107,0.2903969680450711,26,0
cka,title,specter2,model_minus_input,26,0.17157625046105524,0.16446426989926846,0.11085576859368973,0.27608937620286267,0.11585120889684859,0.24688817120975246,26,0
cka,abstract,specter2,model_change_at_full,26,0.37463352676993544,0.37488949922138964,0.2278371899870112,0.45033639062759623,0.27766650881905847,0.44750168944214663,26,0
cka,abstract,specter2,input_change_from_full,26,0.048103139423527716,0.04309789778023476,0.029951932353154076,0.10021750499552085,0.029984886967421867,0.09188106498864008,26,0
cka,abstract,specter2,model_minus_input,26,0.3265303873464077,0.3315469467473987,0.19788525763385711,0.40932578116255514,0.24267452705217923,0.39281948713105874,26,0
cka,title,scincl,model_change_at_full,26,0.36020252987273454,0.3631565972131485,0.22525646790483714,0.4404996176439133,0.26221693730930085,0.4349319924927196,26,0
cka,title,scincl,input_change_from_full,26,0.20520277627729294,0.18782003694647004,0.114509665291051,0.4082837491469222,0.12818497319094915,0.3665581859619177,26,0
cka,title,scincl,model_minus_input,26,0.15499975359544166,0.16080256205806992,0.010677774532674766,0.26969773916848566,0.04049646319054924,0.2302392841296229,26,0
cka,abstract,scincl,model_change_at_full,26,0.36020252987273454,0.3631565972131485,0.22525646790483714,0.4404996176439133,0.26221693730930085,0.4349319924927196,26,0
cka,abstract,scincl,input_change_from_full,26,0.028375060060207645,0.025068612230198406,0.01918140458210771,0.047179654180087294,0.01949495018749224,0.043200974907336986,26,0
cka,abstract,scincl,model_minus_input,26,0.3318274698125269,0.3336174717400697,0.2047547904127718,0.4096689811400272,0.2391982203236082,0.4068019353540925,26,0
cka,title,scibert,model_change_at_full,26,0.35683023689591664,0.36759010497645306,0.22168728511181313,0.4358898274199656,0.2655514320398045,0.4262399341074489,26,0
cka,title,scibert,input_change_from_full,26,0.5320233883221733,0.5260966947358989,0.30559909787720274,0.666764728091241,0.3838111471025212,0.6418834838073529,26,0
cka,title,scibert,model_minus_input,26,-0.17519315142625655,-0.17564222408314314,-0.2736535083403984,-0.08391181276538962,-0.2608567274589453,-0.09496669318980733,0,26
cka,abstract,scibert,model_change_at_full,26,0.35683023689591664,0.36759010497645306,0.22168728511181313,0.4358898274199656,0.2655514320398045,0.4262399341074489,26,0
cka,abstract,scibert,input_change_from_full,26,0.01373286487651009,0.01307362379869359,0.008994503470288517,0.02229873068409749,0.009627161643432136,0.020934034050439768,26,0
cka,abstract,scibert,model_minus_input,26,0.34309737201940654,0.35381652173088296,0.2126927816415246,0.425033368972908,0.24824178656088539,0.41232824915202515,26,0
cka,title,bert,model_change_at_full,26,0.35887142025925356,0.37250162060716224,0.21344457967024724,0.4353211505974715,0.2601954385964311,0.4220165202090096,26,0
cka,title,bert,input_change_from_full,26,0.4178367006383167,0.4123569772423257,0.20560383895636625,0.5887346411649046,0.2612741265185601,0.5842497219610371,26,0
cka,title,bert,model_minus_input,26,-0.05896528037906314,-0.05715287662059826,-0.20390892354594414,0.045154137377360015,-0.19096966488321127,0.040009374996477096,9,17
cka,abstract,bert,model_change_at_full,26,0.35887142025925356,0.37250162060716224,0.21344457967024724,0.4353211505974715,0.2601954385964311,0.4220165202090096,26,0
cka,abstract,bert,input_change_from_full,26,0.012551255563139293,0.011732622104610624,0.007393204830709266,0.020521890343842886,0.0074962427292683265,0.019561825576530134,26,0
cka,abstract,bert,model_minus_input,26,0.3463201646961143,0.3583700940331498,0.20584729133532978,0.42414126724284845,0.25078384727831327,0.40520258336438536,26,0
cka,title,mpnet,model_change_at_full,26,0.3572841543113592,0.3619500561077405,0.21146359864919143,0.4451283759054642,0.25323289959269524,0.4366164399445997,26,0
cka,title,mpnet,input_change_from_full,26,0.18864858646401794,0.1886430399753648,0.10451727767167973,0.28344697864288093,0.11064239192353217,0.2631861062740551,26,0
cka,title,mpnet,model_minus_input,26,0.1686355678473412,0.16908910177856287,0.10184410992078652,0.26598159173551417,0.10503299183123975,0.24526009432803234,26,0
cka,abstract,mpnet,model_change_at_full,26,0.3572841543113592,0.3619500561077405,0.21146359864919143,0.4451283759054642,0.25323289959269524,0.4366164399445997,26,0
cka,abstract,mpnet,input_change_from_full,26,0.022197122282277208,0.020987102536154323,0.014019943453607242,0.038565697477226046,0.01439803398931365,0.03558058715029741,26,0
cka,abstract,mpnet,model_minus_input,26,0.3350870320290821,0.3379248910992084,0.19683871033845393,0.4122645810915684,0.23709024628732164,0.408700891926987,26,0
cka,title,minilm,model_change_at_full,26,0.37149109317224427,0.3781711084428793,0.23025644070328807,0.44612883050512053,0.2728215657881103,0.4443709356421037,26,0
cka,title,minilm,input_change_from_full,26,0.2463958664561749,0.24433480118768292,0.14553339326016634,0.3477594737427707,0.160128431172099,0.32779969381211227,26,0
cka,title,minilm,model_minus_input,26,0.12509522671606946,0.1224411615796473,0.06375082950853589,0.2188204901428185,0.07685846571765204,0.19446360328138929,26,0
cka,abstract,minilm,model_change_at_full,26,0.37149109317224427,0.3781711084428793,0.23025644070328807,0.44612883050512053,0.2728215657881103,0.4443709356421037,26,0
cka,abstract,minilm,input_change_from_full,26,0.030749780951628995,0.030312568498302328,0.019623439227411388,0.04497124198064484,0.02221480655869884,0.044072585795323124,26,0
cka,abstract,minilm,model_minus_input,26,0.3407413122206154,0.3462322111398507,0.21063300147587669,0.4129059430523137,0.24923884134880317,0.40556322147241497,26,0
cka,title,pubmedbert,model_change_at_full,26,0.3856043891557974,0.3864820625301438,0.2294990643519619,0.47121673858092006,0.2790124645660284,0.4648592890295875,26,0
cka,title,pubmedbert,input_change_from_full,26,0.5255892240349846,0.5179991545285632,0.30135201286895075,0.6846864594536485,0.3519172744623909,0.6810669850479738,26,0
cka,title,pubmedbert,model_minus_input,26,-0.13998483487918706,-0.12131513812596939,-0.234133062892127,-0.06663325684194144,-0.22596498823715683,-0.06989556413884607,0,26
cka,abstract,pubmedbert,model_change_at_full,26,0.3856043891557974,0.3864820625301438,0.2294990643519619,0.47121673858092006,0.2790124645660284,0.4648592890295875,26,0
cka,abstract,pubmedbert,input_change_from_full,26,0.017097405628804775,0.015886382711173153,0.008875411444500214,0.031044813546410754,0.009391132345000788,0.030347533240479937,26,0
cka,abstract,pubmedbert,model_minus_input,26,0.3685069835269928,0.3731445574233647,0.2184158102626599,0.4599021469037312,0.261033148719817,0.44342841634203867,26,0
cka,title,biobert,model_change_at_full,26,0.3621997981082466,0.363163958011398,0.21530577133899276,0.43964595369080567,0.25909341359429505,0.43717852001591107,26,0
cka,title,biobert,input_change_from_full,26,0.6357623809028421,0.6448474622467149,0.45361212213007496,0.7376145326740982,0.4779398284166003,0.7343179041513657,26,0
cka,title,biobert,model_minus_input,26,-0.27356258279459544,-0.28403106819640933,-0.30979251213023784,-0.15237305286058273,-0.3087268446715034,-0.1985062558944865,0,26
cka,abstract,biobert,model_change_at_full,26,0.3621997981082466,0.363163958011398,0.21530577133899276,0.43964595369080567,0.25909341359429505,0.43717852001591107,26,0
cka,abstract,biobert,input_change_from_full,26,0.02363962561418067,0.022697834565412967,0.012506154558395766,0.04390642972363368,0.013577172631372827,0.0437436830315852,26,0
cka,abstract,biobert,model_minus_input,26,0.338560172494066,0.3465314775808187,0.1930889001127054,0.4119965566316194,0.23317017532713702,0.4107413830196083,26,0
cka,title,simcse,model_change_at_full,26,0.41054523841456325,0.4155089616694091,0.2775021947123015,0.4925742829222634,0.3151121413565237,0.471690306637034,26,0
cka,title,simcse,input_change_from_full,26,0.4958478800151344,0.4901457751249555,0.33203390523754495,0.6033924420884849,0.37371061971742875,0.5846773468488596,26,0
cka,title,simcse,model_minus_input,26,-0.08530264160057133,-0.07720749373648975,-0.1810926082410747,-0.0188321675813658,-0.16667667425893018,-0.024125194545744202,0,26
cka,abstract,simcse,model_change_at_full,26,0.41054523841456325,0.4155089616694091,0.2775021947123015,0.4925742829222634,0.3151121413565237,0.471690306637034,26,0
cka,abstract,simcse,input_change_from_full,26,0.02814405096996617,0.026781138745568145,0.018994136192687527,0.03894634035533795,0.02144688448108767,0.037717587167723665,26,0
cka,abstract,simcse,model_minus_input,26,0.3824011874445969,0.388896585140433,0.25850805851961395,0.46046955152718244,0.29072968657698217,0.43982587736128154,26,0
rsa,title,specter,model_change_at_full,26,0.46509373871476645,0.47821129006027785,0.3212930031722331,0.5632109241628611,0.3562520329106721,0.5626947704534453,26,0
rsa,title,specter,input_change_from_full,26,0.23957666210755277,0.23149524505623653,0.15642614318356263,0.3071379064198483,0.16467720367700484,0.3060382321920976,26,0
rsa,title,specter,model_minus_input,26,0.22551707660721362,0.22619184958874908,0.1516651631991629,0.2949033333245926,0.15646634289324712,0.2927241624498754,26,0
rsa,abstract,specter,model_change_at_full,26,0.46509373871476645,0.47821129006027785,0.3212930031722331,0.5632109241628611,0.3562520329106721,0.5626947704534453,26,0
rsa,abstract,specter,input_change_from_full,26,0.05166908297053951,0.05101298234178292,0.04097744634944234,0.06684189162809617,0.041149604720185126,0.06460540416719927,26,0
rsa,abstract,specter,model_minus_input,26,0.4134246557442269,0.4202808460236171,0.28031555682279075,0.5028351003274238,0.3047986453922251,0.49827765424759624,26,0
rsa,title,specter2,model_change_at_full,26,0.5348488105249845,0.5441260461348151,0.38345718044347493,0.6072806641373683,0.42081637031083236,0.6003828254669987,26,0
rsa,title,specter2,input_change_from_full,26,0.25393928526198867,0.2521091805512735,0.1675186655462968,0.3121195538538015,0.18979893571137135,0.30798005977938925,26,0
rsa,title,specter2,model_minus_input,26,0.2809095252629958,0.2801163149225407,0.21336036000706665,0.36234158057152577,0.21497170681338634,0.3583934632819654,26,0
rsa,abstract,specter2,model_change_at_full,26,0.5348488105249845,0.5441260461348151,0.38345718044347493,0.6072806641373683,0.42081637031083236,0.6003828254669987,26,0
rsa,abstract,specter2,input_change_from_full,26,0.061890075201515564,0.05644536803111172,0.04286356700316463,0.1086129015765348,0.044322711285559174,0.09925441276000817,26,0
rsa,abstract,specter2,model_minus_input,26,0.4729587353234689,0.4755357511506734,0.33825898258847903,0.5502078345186845,0.37212061460115753,0.5451758670593352,26,0
rsa,title,scincl,model_change_at_full,26,0.4934902243342326,0.4787724437327636,0.3837098780327756,0.6260152982202057,0.4027375965974274,0.5998460640268656,26,0
rsa,title,scincl,input_change_from_full,26,0.214175206665971,0.19785874734039732,0.13312397503930973,0.29921686702904327,0.1460407167562892,0.2966846130295898,26,0
