metric,input_condition,measure,n,mean,median,min,max,p025,p975,positive_count,negative_count
cka,title,model_change_at_full,260,0.3700110304488336,0.3713156825159949,0.20093445712397465,0.4925742829222634,0.2286265803103628,0.452222366400384,260,0
cka,title,input_change_from_full,260,0.36581175517055636,0.31549553214976084,0.10451727767167973,0.7376145326740982,0.13349337699098263,0.6816997347731771,260,0
cka,title,model_minus_input,260,0.004199275278277127,0.04103832747265368,-0.30979251213023784,0.27608937620286267,-0.2961049474236879,0.22495002097184488,139,121
cka,abstract,model_change_at_full,260,0.3700110304488336,0.3713156825159949,0.20093445712397465,0.4925742829222634,0.2286265803103628,0.452222366400384,260,0
cka,abstract,input_change_from_full,260,0.026905011084109847,0.024795739996621435,0.007393204830709266,0.10021750499552085,0.009803256170413272,0.05699565114801958,260,0
cka,abstract,model_minus_input,260,0.3431060193647237,0.3461900407077763,0.17070317651020253,0.46046955152718244,0.21161139705455945,0.4246096206511297,260,0
rsa,title,model_change_at_full,260,0.4592264466394127,0.4521172244950432,0.31433150908299645,0.6260152982202057,0.34129036738340485,0.577950775461102,260,0
rsa,title,input_change_from_full,260,0.3910893068286032,0.32155731941314364,0.13125085896112243,0.7519130329592811,0.16297997909472559,0.7014882813089206,260,0
rsa,title,model_minus_input,260,0.06813713981080943,0.10779518131649066,-0.2817671161255845,0.38506281840865375,-0.23627299530356197,0.3359795186838639,160,100
rsa,abstract,model_change_at_full,260,0.4592264466394127,0.4521172244950432,0.31433150908299645,0.6260152982202057,0.34129036738340485,0.577950775461102,260,0
rsa,abstract,input_change_from_full,260,0.02825906601174337,0.023852698412630713,0.007468598568667439,0.1086129015765348,0.00900486696755337,0.06632693778437335,260,0
rsa,abstract,model_minus_input,260,0.43096738062766926,0.4300725200491002,0.28031555682279075,0.592303388033426,0.32129938070788105,0.5378408054847112,260,0
neighbors25,title,model_change_at_full,260,0.6875885128205128,0.6823566666666667,0.6169066666666666,0.7975377777777778,0.6351347777777778,0.7724271111111112,260,0
neighbors25,title,input_change_from_full,260,0.7067224615384615,0.77348,0.44084,0.90288,0.49318199999999995,0.8838705,260,0
neighbors25,title,model_minus_input,260,-0.01913394871794872,-0.042121111111111054,-0.18937333333333328,0.21465333333333325,-0.1771777777777778,0.17251961111111122,128,132
neighbors25,abstract,model_change_at_full,260,0.6875885128205128,0.6823566666666667,0.6169066666666666,0.7975377777777778,0.6351347777777778,0.7724271111111112,260,0
neighbors25,abstract,input_change_from_full,260,0.22117515384615385,0.20618999999999998,0.12012,0.46843999999999997,0.13178149999999994,0.360333,260,0
neighbors25,abstract,model_minus_input,260,0.4664133589743589,0.4762844444444444,0.2936000000000001,0.587811111111111,0.3445705555555555,0.5535775000000001,260,0
