repeats,field_id,model,input_condition,original_31_alert,alert26k,alert52k,transition,width26k,width52k,full_effect26k,full_effect52k,crosses_zero26k,crosses_zero52k
20,11,biobert,title,True,True,False,resolved,0.04548002819645336,0.019053877056914303,-0.28049506926780277,-0.2852495415856701,False,False
20,11,biobert,abstract,True,True,False,resolved,0.05411498300758755,0.03701235119045959,0.3650122753834091,0.36019108157116214,False,False
20,12,specter,title,True,True,False,resolved,0.04987437752806535,0.024493382372728842,0.10226814942308948,0.08567569121630225,False,False
20,12,bert,title,True,True,True,persists,0.04298226458559165,0.04311093203910829,-0.20584460937233806,-0.20390892354594414,False,False
20,12,pubmedbert,title,True,True,False,resolved,0.06489742853302694,0.035798973600629724,-0.22206988194191168,-0.234133062892127,False,False
20,12,biobert,title,True,True,False,resolved,0.045899070585664836,0.024682504163559826,-0.2990691097478488,-0.2966418672267519,False,False
20,13,bert,title,True,True,False,resolved,0.04552023909313131,0.023732929564075224,0.04554258932430827,0.045154137377360015,False,False
20,13,biobert,title,True,True,False,resolved,0.04695358290955795,0.019735299705104403,-0.23898067099608733,-0.25004965965982495,False,False
20,14,pubmedbert,title,True,True,False,resolved,0.04399904098962176,0.03412251239284464,-0.22303749553946106,-0.21417034614969865,False,False
20,14,biobert,title,True,True,False,resolved,0.040014811737014155,0.029034602851943536,-0.2996145378228917,-0.2878875272731002,False,False
20,16,bert,title,True,True,False,resolved,0.048497892154822295,0.03251209049715851,-0.005419744586792619,-0.005199209606234545,True,True
20,16,pubmedbert,title,True,True,False,resolved,0.049246095862370526,0.025291613637524954,-0.08111420978727935,-0.07353592672398673,False,False
20,16,biobert,title,True,True,False,resolved,0.04397991314188408,0.024512917222703157,-0.14201632698467603,-0.15237305286058273,False,False
20,17,pubmedbert,title,True,True,False,resolved,0.04870388123124214,0.02604698958541829,-0.20238299631016332,-0.20765911747990906,False,False
20,18,biobert,abstract,True,True,False,resolved,0.06154923984932881,0.030097024968113728,0.3542255842049819,0.3481292089643542,False,False
20,19,biobert,abstract,True,True,True,persists,0.05098701150410123,0.04376506158392446,0.30156991209722733,0.3103037685811608,False,False
20,20,pubmedbert,title,True,True,False,resolved,0.04433569075975749,0.029325988849027262,-0.22844524415754336,-0.22106414344417474,False,False
20,20,biobert,abstract,True,True,False,resolved,0.06638340925952824,0.03325653846277338,0.4030308977111697,0.39599991867444956,False,False
20,23,pubmedbert,title,True,True,False,resolved,0.04062816272784146,0.025436833277268367,-0.11974477923473714,-0.11977450730824923,False,False
