recipe,metric,input_condition,measure,n,mean,median,min,max,p025,p975,positive_count,negative_count
mean,cka,title,model_change_at_full,260,0.3700110304488323,0.37131568251598834,0.20093445712396266,0.4925742829222567,0.22862658031035998,0.4522223664003847,260,0
mean,cka,title,input_change_from_full,260,0.36581175517055636,0.31549553214976084,0.10451727767167973,0.7376145326740982,0.13349337699098263,0.6816997347731771,260,0
mean,cka,title,model_minus_input,260,0.004199275278275898,0.041038327472656455,-0.30979251213023584,0.2760893762028537,-0.29610494742369053,0.22495002097184305,139,121
mean,cka,abstract,model_change_at_full,260,0.3700110304488323,0.37131568251598834,0.20093445712396266,0.4925742829222567,0.22862658031035998,0.4522223664003847,260,0
mean,cka,abstract,input_change_from_full,260,0.026905011084109847,0.024795739996621435,0.007393204830709266,0.10021750499552085,0.009803256170413272,0.05699565114801958,260,0
mean,cka,abstract,model_minus_input,260,0.34310601936472246,0.34619004070777437,0.17070317651019054,0.4604695515271757,0.21161139705456508,0.4246096206511244,260,0
mean,neighbors10,title,model_change_at_full,260,0.7320513247863247,0.7266583333333333,0.664588888888889,0.8326333333333333,0.6785129166666667,0.8119881944444444,260,0
mean,neighbors10,title,input_change_from_full,260,0.7540117307692308,0.81855,0.48575,0.93555,0.54091375,0.91643125,260,0
mean,neighbors10,title,model_minus_input,260,-0.02196040598290598,-0.04374444444444442,-0.19167222222222224,0.2139333333333332,-0.1748429166666667,0.1607508333333334,128,132
mean,neighbors10,abstract,model_change_at_full,260,0.7320513247863247,0.7266583333333333,0.664588888888889,0.8326333333333333,0.6785129166666667,0.8119881944444444,260,0
mean,neighbors10,abstract,input_change_from_full,260,0.25818096153846154,0.241425,0.14305,0.5176999999999999,0.15694750000000005,0.41317750000000003,260,0
mean,neighbors10,abstract,model_minus_input,260,0.47387036324786325,0.48517499999999997,0.28337777777777773,0.5969722222222222,0.33899166666666675,0.5640966666666667,260,0
mean,neighbors25,title,model_change_at_full,260,0.6875885128205128,0.6823566666666667,0.6169066666666666,0.7975377777777778,0.6351347777777778,0.7724271111111112,260,0
mean,neighbors25,title,input_change_from_full,260,0.7067224615384615,0.77348,0.44084,0.90288,0.49318199999999995,0.8838705,260,0
mean,neighbors25,title,model_minus_input,260,-0.01913394871794872,-0.042121111111111054,-0.18937333333333328,0.21465333333333325,-0.1771777777777778,0.17251961111111122,128,132
