recipe,metric,input_condition,scope,cases,sign_changes,mean_effect_change,max_absolute_effect_change
cls,cka,title,all_ten,260,15,0.0321087637984423,0.22183121652604293
cls,cka,title,four_word_berts,104,9,-0.014755590256670994,0.22183121652604293
cls,cka,abstract,all_ten,260,0,0.08688251269557057,0.22430603032461405
cls,cka,abstract,four_word_berts,104,0,0.12217878198614968,0.22430603032461405
cls,neighbors10,title,all_ten,260,1,0.05035241452991453,0.12055555555555564
cls,neighbors10,title,four_word_berts,104,0,0.06520902777777779,0.12055555555555564
cls,neighbors10,abstract,all_ten,260,0,0.014570299145299146,0.2310833333333332
cls,neighbors10,abstract,four_word_berts,104,0,-0.02424626068376068,0.2310833333333332
cls,neighbors25,title,all_ten,260,1,0.049505769230769235,0.12291999999999992
cls,neighbors25,title,four_word_berts,104,0,0.058202756410256434,0.12291999999999992
cls,neighbors25,abstract,all_ten,260,0,0.025053230769230776,0.20512888888888892
cls,neighbors25,abstract,four_word_berts,104,0,-0.0029285897435897138,0.20512888888888892
cls,neighbors50,title,all_ten,260,1,0.047092384615384626,0.12280555555555561
cls,neighbors50,title,four_word_berts,104,0,0.05029892094017094,0.12280555555555561
cls,neighbors50,abstract,all_ten,260,0,0.03127111538461539,0.17683000000000004
cls,neighbors50,abstract,four_word_berts,104,0,0.010745747863247864,0.17683000000000004
sep,cka,title,all_ten,260,20,0.05847765030412673,0.2733725008680262
sep,cka,title,four_word_berts,104,13,0.09047270388841834,0.2733725008680262
sep,cka,abstract,all_ten,260,0,0.06408045454437106,0.3198587416904422
sep,cka,abstract,four_word_berts,104,0,0.10447971448902912,0.3198587416904422
sep,neighbors10,title,all_ten,260,1,0.035282585470085476,0.1204333333333335
sep,neighbors10,title,four_word_berts,104,0,0.07219722222222222,0.1204333333333335
sep,neighbors10,abstract,all_ten,260,0,-0.002840491452991451,0.21353888888888883
sep,neighbors10,abstract,four_word_berts,104,0,-0.023110470085470087,0.21353888888888883
sep,neighbors25,title,all_ten,260,1,0.03623639316239317,0.1207422222222222
sep,neighbors25,title,four_word_berts,104,0,0.07271747863247865,0.1207422222222222
sep,neighbors25,abstract,all_ten,260,0,0.0028163162393162406,0.1886377777777778
sep,neighbors25,abstract,four_word_berts,104,0,-0.010832713675213674,0.1886377777777778
sep,neighbors50,title,all_ten,260,0,0.03568623504273504,0.12666222222222223
sep,neighbors50,title,four_word_berts,104,0,0.07052001068376068,0.12666222222222223
sep,neighbors50,abstract,all_ten,260,0,0.006165696581196584,0.1650977777777778
sep,neighbors50,abstract,four_word_berts,104,0,-0.0032813354700854647,0.1650977777777778
