field_id,repeat,condition,represented_subfields,effective_subfields_entropy,largest_subfield_share
11,0,observed_eligible_composition,9,6.280776767674583,0.412109375
11,0,equal_subfield_composition,9,8.999901441328934,0.1123046875
11,1,observed_eligible_composition,9,6.4700437308615895,0.4013671875
11,1,equal_subfield_composition,9,8.999882082330638,0.1123046875
11,2,observed_eligible_composition,9,6.51941467128334,0.39013671875
11,2,equal_subfield_composition,9,8.999901441328934,0.1123046875
11,3,observed_eligible_composition,9,6.520536444080652,0.39306640625
11,3,equal_subfield_composition,9,8.999901272253455,0.11181640625
11,4,observed_eligible_composition,9,6.412596354289628,0.39990234375
11,4,equal_subfield_composition,9,8.999939990374243,0.11181640625
11,5,observed_eligible_composition,9,6.329269060160328,0.40869140625
11,5,equal_subfield_composition,9,8.999881827595772,0.11181640625
11,6,observed_eligible_composition,9,6.475875475228058,0.39453125
11,6,equal_subfield_composition,9,8.999939905465354,0.11181640625
11,7,observed_eligible_composition,9,6.2731722210913015,0.416015625
11,7,equal_subfield_composition,9,8.999785201553554,0.1123046875
11,8,observed_eligible_composition,9,6.509262820066461,0.3974609375
11,8,equal_subfield_composition,9,8.999824004834197,0.1123046875
11,9,observed_eligible_composition,9,6.354805653679061,0.40234375
11,9,equal_subfield_composition,9,8.999843363707567,0.1123046875
12,0,observed_eligible_composition,12,9.7357156413311,0.1845703125
12,0,equal_subfield_composition,12,11.999851597242651,0.08447265625
12,1,observed_eligible_composition,12,9.520979383678428,0.19921875
12,1,equal_subfield_composition,12,11.99988566319535,0.083984375
12,2,observed_eligible_composition,12,9.462685633566037,0.20556640625
12,2,equal_subfield_composition,12,11.999954193830435,0.08349609375
12,3,observed_eligible_composition,12,9.890754518342382,0.18017578125
12,3,equal_subfield_composition,12,11.99988566319535,0.083984375
12,4,observed_eligible_composition,12,9.714190984823464,0.1767578125
12,4,equal_subfield_composition,12,11.999817332169144,0.08447265625
12,5,observed_eligible_composition,12,9.787343507941344,0.18359375
12,5,equal_subfield_composition,12,11.999851398024568,0.083984375
12,6,observed_eligible_composition,12,9.612311955988744,0.19287109375
12,6,equal_subfield_composition,12,11.999817332169144,0.08447265625
12,7,observed_eligible_composition,12,9.522613877711185,0.1904296875
12,7,equal_subfield_composition,12,11.999919928463974,0.083984375
12,8,observed_eligible_composition,12,9.79583269194235,0.18212890625
12,8,equal_subfield_composition,12,11.999919928463974,0.083984375
12,9,observed_eligible_composition,12,9.606133152858527,0.1953125
12,9,equal_subfield_composition,12,11.99988566319535,0.083984375
13,0,observed_eligible_composition,5,2.9376210066547803,0.6494140625
13,0,equal_subfield_composition,5,4.999990453932972,0.2001953125
13,1,observed_eligible_composition,5,3.128621080559974,0.62158203125
13,1,equal_subfield_composition,5,4.999996423139522,0.2001953125
13,2,observed_eligible_composition,5,3.084780966934455,0.6220703125
13,2,equal_subfield_composition,5,4.999996423139522,0.2001953125
13,3,observed_eligible_composition,5,3.0402053508636455,0.630859375
13,3,equal_subfield_composition,5,4.999996423139521,0.2001953125
13,4,observed_eligible_composition,5,3.0218582352193026,0.63427734375
13,4,equal_subfield_composition,5,4.999996423139521,0.2001953125
13,5,observed_eligible_composition,5,3.0500203344012635,0.62646484375
13,5,equal_subfield_composition,5,4.999990453932972,0.2001953125
13,6,observed_eligible_composition,5,2.9559018019996515,0.64794921875
13,6,equal_subfield_composition,5,4.999996423139521,0.2001953125
13,7,observed_eligible_composition,5,2.9213609941964336,0.6484375
13,7,equal_subfield_composition,5,4.999996423139521,0.2001953125
13,8,observed_eligible_composition,5,3.1590366375799563,0.609375
13,8,equal_subfield_composition,5,4.999990453932972,0.2001953125
13,9,observed_eligible_composition,5,3.0583708449761957,0.62890625
13,9,equal_subfield_composition,5,4.999996423139521,0.2001953125
14,0,observed_eligible_composition,6,5.656884006973454,0.27978515625
14,0,equal_subfield_composition,6,5.9999599643052255,0.16748046875
14,1,observed_eligible_composition,6,5.565719979822112,0.30859375
14,1,equal_subfield_composition,6,5.999951422993222,0.16796875
14,2,observed_eligible_composition,6,5.594547850474936,0.30029296875
14,2,equal_subfield_composition,6,5.999977122036453,0.16748046875
14,3,observed_eligible_composition,6,5.600800246138479,0.30126953125
14,3,equal_subfield_composition,6,5.999977122036453,0.16748046875
14,4,observed_eligible_composition,6,5.676147967655391,0.27392578125
14,4,equal_subfield_composition,6,5.999977122036453,0.16748046875
14,5,observed_eligible_composition,6,5.658138185081633,0.27001953125
14,5,equal_subfield_composition,6,5.999994279816747,0.1669921875
14,6,observed_eligible_composition,6,5.6186040432183075,0.29443359375
14,6,equal_subfield_composition,6,5.999942831597674,0.16796875
14,7,observed_eligible_composition,6,5.7918456096169395,0.2548828125
14,7,equal_subfield_composition,6,5.999942831597672,0.16796875
14,8,observed_eligible_composition,6,5.6587511704761715,0.28125
14,8,equal_subfield_composition,6,5.9999599643052255,0.16748046875
14,9,observed_eligible_composition,6,5.699920650830994,0.2724609375
14,9,equal_subfield_composition,6,5.999977122036453,0.16748046875
15,0,observed_eligible_composition,4,3.6404700156647594,0.39208984375
15,0,equal_subfield_composition,4,3.9999961853021286,0.25048828125
15,1,observed_eligible_composition,4,3.6322288965504423,0.39697265625
15,1,equal_subfield_composition,4,3.9999961853021286,0.25048828125
15,2,observed_eligible_composition,4,3.6510518398065948,0.40234375
15,2,equal_subfield_composition,4,3.9999923706078953,0.25048828125
15,3,observed_eligible_composition,4,3.621221658712428,0.396484375
15,3,equal_subfield_composition,4,3.999988548452145,0.25048828125
15,4,observed_eligible_composition,4,3.6051218327879444,0.4013671875
15,4,equal_subfield_composition,4,3.999984741201236,0.2509765625
15,5,observed_eligible_composition,4,3.682577510250284,0.37255859375
15,5,equal_subfield_composition,4,4.0,0.25
15,6,observed_eligible_composition,4,3.624668710816083,0.3984375
15,6,equal_subfield_composition,4,3.9999961853021286,0.25048828125
15,7,observed_eligible_composition,4,3.665678942858208,0.39453125
15,7,equal_subfield_composition,4,3.9999961853021286,0.25048828125
15,8,observed_eligible_composition,4,3.6190525543257084,0.400390625
15,8,equal_subfield_composition,4,3.9999885484521442,0.25048828125
15,9,observed_eligible_composition,4,3.6012435797790348,0.4013671875
15,9,equal_subfield_composition,4,3.9999923706078944,0.25048828125
16,0,observed_eligible_composition,5,4.035593293164568,0.4765625
16,0,equal_subfield_composition,5,4.999996423139521,0.2001953125
16,1,observed_eligible_composition,5,4.022370117120422,0.478515625
16,1,equal_subfield_composition,5,4.999996423139522,0.2001953125
16,2,observed_eligible_composition,5,3.995331263354547,0.4794921875
16,2,equal_subfield_composition,5,4.999996423139522,0.2001953125
16,3,observed_eligible_composition,5,3.961538428753346,0.4921875
16,3,equal_subfield_composition,5,4.999996423139521,0.2001953125
16,4,observed_eligible_composition,5,3.9914656301220415,0.48291015625
16,4,equal_subfield_composition,5,4.999996423139521,0.2001953125
16,5,observed_eligible_composition,5,4.053953719888711,0.46826171875
16,5,equal_subfield_composition,5,4.999996423139522,0.2001953125
16,6,observed_eligible_composition,5,3.9913855765798787,0.48095703125
16,6,equal_subfield_composition,5,4.999996423139521,0.2001953125
16,7,observed_eligible_composition,5,4.008530690122666,0.4775390625
16,7,equal_subfield_composition,5,4.999996423139521,0.2001953125
16,8,observed_eligible_composition,5,4.047213541378147,0.46533203125
16,8,equal_subfield_composition,5,4.999996423139521,0.2001953125
16,9,observed_eligible_composition,5,4.044360832857708,0.4658203125
16,9,equal_subfield_composition,5,4.999990453932972,0.2001953125
17,0,observed_eligible_composition,11,7.454002022748861,0.24169921875
17,0,equal_subfield_composition,11,10.999774902835087,0.09228515625
17,1,observed_eligible_composition,11,7.137888333660089,0.25244140625
17,1,equal_subfield_composition,11,10.9998323485791,0.091796875
17,2,observed_eligible_composition,11,7.2332314928245305,0.23583984375
17,2,equal_subfield_composition,11,10.9998323485791,0.091796875
17,3,observed_eligible_composition,11,7.428408041120526,0.2275390625
17,3,equal_subfield_composition,11,10.999889947402622,0.091796875
17,4,observed_eligible_composition,11,7.10608730068354,0.24755859375
17,4,equal_subfield_composition,11,10.999889947402627,0.091796875
17,5,observed_eligible_composition,11,7.34850454778216,0.259765625
17,5,equal_subfield_composition,11,10.99991866971613,0.09130859375
17,6,observed_eligible_composition,11,7.459529292615646,0.23779296875
17,6,equal_subfield_composition,11,10.9998037792693,0.09228515625
17,7,observed_eligible_composition,11,7.450234790053143,0.23828125
17,7,equal_subfield_composition,11,10.999918669716125,0.09130859375
17,8,observed_eligible_composition,11,7.4136943701495035,0.2236328125
17,8,equal_subfield_composition,11,10.999861070742204,0.091796875
17,9,observed_eligible_composition,11,7.430425001205565,0.22021484375
17,9,equal_subfield_composition,11,10.999947546527762,0.09130859375
18,0,observed_eligible_composition,3,2.671226506929283,0.56787109375
18,0,equal_subfield_composition,3,2.9999992846278474,0.33349609375
18,1,observed_eligible_composition,3,2.6488394763879337,0.57373046875
18,1,equal_subfield_composition,3,2.9999885484576083,0.333984375
18,2,observed_eligible_composition,3,2.703159750341165,0.55419921875
18,2,equal_subfield_composition,3,2.9999949920456848,0.333984375
18,3,observed_eligible_composition,3,2.6718639476326977,0.5673828125
18,3,equal_subfield_composition,3,2.999997139908374,0.333984375
18,4,observed_eligible_composition,3,2.6981813648250434,0.55712890625
18,4,equal_subfield_composition,3,2.999997139908374,0.333984375
18,5,observed_eligible_composition,3,2.6910307884243436,0.560546875
18,5,equal_subfield_composition,3,2.9999949920456848,0.333984375
18,6,observed_eligible_composition,3,2.697818351971309,0.55615234375
18,6,equal_subfield_composition,3,2.9999992846278474,0.33349609375
18,7,observed_eligible_composition,3,2.6668992766960207,0.568359375
18,7,equal_subfield_composition,3,2.9999992846278474,0.33349609375
18,8,observed_eligible_composition,3,2.7076815495108923,0.55126953125
18,8,equal_subfield_composition,3,2.999997139908374,0.333984375
18,9,observed_eligible_composition,3,2.6824522318443575,0.5625
18,9,equal_subfield_composition,3,2.9999949920456848,0.333984375
19,0,observed_eligible_composition,7,5.619862227485824,0.31591796875
19,0,equal_subfield_composition,7,6.999954908694291,0.1435546875
19,1,observed_eligible_composition,7,5.575695594927507,0.32861328125
19,1,equal_subfield_composition,7,6.9999666140239905,0.1435546875
19,2,observed_eligible_composition,7,5.580733078961265,0.3173828125
19,2,equal_subfield_composition,7,6.9999666140239905,0.1435546875
19,3,observed_eligible_composition,7,5.6073395403491775,0.32763671875
19,3,equal_subfield_composition,7,6.9999666140239905,0.1435546875
19,4,observed_eligible_composition,7,5.527012777778318,0.32275390625
19,4,equal_subfield_composition,7,6.999943243334158,0.1435546875
19,5,observed_eligible_composition,7,5.5419950445110375,0.32958984375
19,5,equal_subfield_composition,7,6.99997831937326,0.1435546875
19,6,observed_eligible_composition,7,5.503903123017342,0.3359375
19,6,equal_subfield_composition,7,6.9999199523502815,0.14404296875
19,7,observed_eligible_composition,7,5.637908751268024,0.3076171875
