scope,field_id,n,mean,median,min,max,p025,p975
subfield,11,450,0.4658000987654321,0.4595111111111111,0.2612444444444445,0.7327999999999999,0.32095333333333337,0.6467955555555555
field,11,450,0.4875207901234568,0.4832888888888889,0.26808888888888893,0.7073777777777779,0.33791111111111105,0.6471288888888889
subfield,12,600,0.4027056296296296,0.39297777777777776,0.2032888888888889,0.6901333333333334,0.2697377777777778,0.5947777777777777
field,12,600,0.4178834074074074,0.4059111111111111,0.18977777777777777,0.6993777777777778,0.30103777777777774,0.6124888888888889
subfield,13,500,0.4769328,0.4701777777777778,0.2016,0.7068444444444444,0.33642,0.6504355555555555
field,13,500,0.4867816888888889,0.47746666666666665,0.17377777777777778,0.8400000000000001,0.3420311111111111,0.6854133333333332
subfield,14,350,0.4302062222222222,0.4191555555555555,0.2528,0.7561777777777777,0.31194666666666665,0.5916955555555549
field,14,350,0.4273790476190476,0.41546666666666665,0.22879999999999998,0.6140444444444444,0.30796222222222225,0.5605333333333332
subfield,15,300,0.4430311111111111,0.43800000000000006,0.2512,0.7170666666666666,0.2963933333333334,0.6196066666666665
field,15,300,0.5000438518518519,0.5105333333333334,0.28302222222222223,0.7277333333333333,0.3293111111111111,0.6612622222222221
subfield,16,300,0.45205688888888895,0.45311111111111113,0.23946666666666666,0.7417777777777779,0.28497777777777783,0.6474688888888888
field,16,300,0.4720047407407408,0.4668444444444444,0.284,0.6959111111111111,0.32172222222222224,0.6632333333333332
subfield,17,550,0.45145519191919187,0.4476888888888889,0.2496888888888889,0.7368888888888889,0.31275111111111115,0.6153199999999999
field,17,550,0.4730883232323233,0.46542222222222224,0.23733333333333334,0.6958222222222221,0.3341266666666667,0.6328955555555555
subfield,18,200,0.47046622222222223,0.4635555555555555,0.2768888888888889,0.7734222222222222,0.30681555555555556,0.6590088888888891
field,18,200,0.4850582222222222,0.47111111111111115,0.27902222222222217,0.7439111111111112,0.32996888888888887,0.7041177777777777
subfield,19,350,0.4823674920634921,0.47884444444444446,0.20924444444444443,0.7404444444444443,0.30473999999999996,0.6452999999999999
field,19,350,0.49557155555555554,0.4913777777777778,0.22924444444444442,0.7269333333333333,0.32678444444444443,0.6910066666666668
subfield,20,150,0.43558814814814817,0.4279555555555556,0.2699555555555556,0.7303111111111111,0.2984444444444445,0.5871111111111111
field,20,150,0.4304894814814815,0.4359111111111111,0.2726222222222222,0.6392888888888888,0.3036088888888889,0.5671622222222222
subfield,21,150,0.4617967407407407,0.46146666666666664,0.2592,0.7553777777777777,0.30027333333333334,0.6723400000000002
field,21,150,0.5182601481481481,0.5184444444444445,0.2806222222222222,0.7422222222222222,0.3464555555555555,0.6686666666666666
subfield,22,750,0.47035354074074076,0.4622222222222222,0.2544888888888889,0.7649777777777776,0.30988888888888894,0.6568044444444444
field,22,750,0.47688663703703704,0.47115555555555555,0.2503111111111111,0.7027555555555556,0.3313444444444445,0.6413577777777778
subfield,23,550,0.4886686060606061,0.4857333333333333,0.2512,0.7183111111111111,0.33213777777777787,0.66138
field,23,550,0.48516848484848485,0.4874666666666666,0.24373333333333336,0.7088000000000001,0.34741555555555553,0.6172822222222221
subfield,24,250,0.44577351111111113,0.43702222222222226,0.26364444444444446,0.6846222222222222,0.3204,0.6097844444444445
field,24,250,0.46400284444444445,0.4620888888888889,0.2986666666666667,0.6644444444444444,0.3308,0.6324755555555556
subfield,25,300,0.4582903703703704,0.45893333333333336,0.23217777777777782,0.718488888888889,0.29050666666666664,0.6483555555555551
field,25,300,0.4526068148148148,0.4528888888888889,0.28044444444444444,0.5969777777777778,0.3182511111111111,0.5720933333333333
subfield,26,400,0.4205657777777778,0.40324444444444446,0.23608888888888888,0.8430222222222221,0.2826,0.6592555555555555
field,26,400,0.46301733333333334,0.4500444444444444,0.28008888888888883,0.8533333333333333,0.31626000000000004,0.7100622222222223
subfield,27,1850,0.45309501501501503,0.44853333333333334,0.22204444444444443,0.8027555555555554,0.3164355555555556,0.6183111111111111
field,27,1850,0.45372920120120125,0.44537777777777776,0.21831111111111112,0.8271111111111111,0.32921555555555554,0.622177777777777
subfield,28,350,0.46953828571428574,0.4655111111111112,0.2831111111111111,0.7414222222222222,0.3301733333333333,0.6278422222222222
field,28,350,0.48114158730158724,0.4769777777777778,0.2939555555555556,0.6704888888888889,0.3487022222222222,0.6156977777777777
subfield,29,200,0.43499822222222223,0.4275555555555556,0.25271111111111105,0.7208000000000001,0.28532,0.6424711111111111
field,29,200,0.5354048888888889,0.5494666666666667,0.3223111111111111,0.6832,0.36770222222222215,0.6577222222222222
subfield,30,150,0.4608900740740741,0.4422222222222222,0.27226666666666666,0.7521777777777777,0.29462444444444447,0.6853422222222223
field,30,150,0.4886174814814815,0.4814222222222222,0.2812444444444444,0.837511111111111,0.3014511111111111,0.7679800000000002
subfield,31,300,0.47485274074074074,0.47613333333333335,0.2144,0.7169777777777777,0.3052466666666667,0.6382533333333331
field,31,300,0.5062728888888889,0.5064888888888889,0.26364444444444446,0.7906666666666667,0.3347222222222222,0.7163222222222221
subfield,32,250,0.4517137777777778,0.4440444444444445,0.2770666666666667,0.6752888888888888,0.3237177777777778,0.6270666666666667
field,32,250,0.44137671111111115,0.4374666666666667,0.30720000000000003,0.6816000000000001,0.3350822222222222,0.57808
subfield,33,900,0.43102656790123456,0.42506666666666665,0.18666666666666668,0.782488888888889,0.2908177777777778,0.6073999999999999
field,33,900,0.4521684938271605,0.4488,0.20453333333333332,0.6859555555555555,0.3084222222222222,0.6147088888888887
subfield,34,100,0.4547635555555556,0.4537333333333334,0.2727111111111111,0.6937777777777777,0.31553777777777775,0.6092488888888888
field,34,100,0.4628657777777779,0.4570222222222223,0.2750222222222222,0.6883555555555556,0.3276155555555556,0.6119088888888887
subfield,35,200,0.4474071111111111,0.44204444444444446,0.2464,0.6962666666666667,0.3083177777777778,0.6431244444444444
field,35,200,0.4570742222222222,0.45773333333333327,0.2733333333333334,0.6230222222222223,0.31981333333333334,0.5905955555555557
subfield,36,400,0.4739102222222222,0.4643111111111111,0.26417777777777773,0.7489777777777777,0.32593777777777777,0.67966
field,36,400,0.4550193333333333,0.4457777777777777,0.26355555555555554,0.6473777777777778,0.3350933333333334,0.6077044444444443
