scope,period_start,n,mean,median,min,max,p025,p975
subfield,2015,2371,0.45742503397535034,0.45111111111111113,0.2032888888888889,0.8409777777777778,0.30931111111111115,0.6460222222222223
subfield,2020,2960,0.4574816816816817,0.45119999999999993,0.22160000000000002,0.8430222222222221,0.3095088888888889,0.6381333333333332
subfield,2010,2169,0.45502488602018343,0.44906666666666667,0.21484444444444445,0.7926222222222222,0.29806222222222223,0.6456711111111106
subfield,2000,1540,0.43974152958152957,0.4362666666666667,0.18666666666666668,0.7843555555555555,0.28932444444444444,0.6306599999999998
subfield,2005,1810,0.4513778759975445,0.4464,0.2016,0.7653333333333333,0.2941466666666667,0.625702222222222
field,2015,2371,0.4690673414874174,0.46373333333333333,0.18977777777777777,0.791911111111111,0.3301777777777778,0.6461111111111111
field,2020,2960,0.4703159759759759,0.46199999999999997,0.21671111111111113,0.8533333333333333,0.32656888888888885,0.6538933333333334
field,2010,2169,0.4700521899492854,0.46515555555555554,0.21831111111111112,0.837511111111111,0.32250666666666666,0.645493333333333
field,2000,1540,0.4576510245310245,0.4497333333333333,0.20453333333333332,0.7992888888888889,0.3143733333333334,0.6398955555555553
field,2005,1810,0.4627689625537139,0.4575111111111111,0.17377777777777778,0.8400000000000001,0.31924,0.6336288888888888
