outcome,feature,omissions,identified,positive,negative,minimum,maximum
cka_cls,intercept,10,8,8,0,0.5236318219522614,0.6077260879339081
cka_cls,same_architecture,10,8,0,8,-0.1761159217314434,-0.05245550034571892
cka_cls,same_domain,10,8,0,8,-0.1269932684660961,-0.028423094177716286
cka_cls,same_final_corpus_group,10,8,8,0,0.10058684995062621,0.24191142671166307
cka_cls,same_lineage,10,8,8,0,0.007029647762829476,0.130690069148554
cka_cls,same_objective,10,8,8,0,0.11860185173305013,0.26854053943507084
cka_cls,same_pooling,10,8,3,5,-0.07959678070344402,0.05422386184421527
cka_equal2048,intercept,10,10,10,0,0.6511282686131733,0.7329612416919558
cka_equal2048,same_architecture,10,10,0,10,-0.1961445074650383,-0.08385741349823754
cka_equal2048,same_domain,10,10,2,8,-0.0911147970470717,0.03005851830173269
cka_equal2048,same_final_corpus_group,10,10,1,9,-0.08914727564412178,0.014538923329385727
cka_equal2048,same_lineage,10,10,10,0,0.02274434966850268,0.11910229558577996
cka_equal2048,same_objective,10,10,10,0,0.28120130029117923,0.46064706492630086
cka_equal2048,same_pooling,10,10,0,10,-0.20557634085152918,-0.0865093867052421
cka_primary,intercept,10,10,10,0,0.651107359712676,0.7329661461867878
cka_primary,same_architecture,10,10,0,10,-0.19617310310672562,-0.08386164042861277
cka_primary,same_domain,10,10,2,8,-0.09110509989606615,0.030087670786409053
cka_primary,same_final_corpus_group,10,10,1,9,-0.08920563969015102,0.014498172868301991
cka_primary,same_lineage,10,10,10,0,0.022762997048225306,0.11911795295345415
cka_primary,same_objective,10,10,10,0,0.28128058912537257,0.460737422631166
cka_primary,same_pooling,10,10,0,10,-0.20562957149275127,-0.08654831656324795
cka_quality,intercept,10,10,10,0,0.6678417033175506,0.7416382003623303
cka_quality,same_architecture,10,10,0,10,-0.17767132085582582,-0.0790561008669718
cka_quality,same_domain,10,10,2,8,-0.09129313576122451,0.0265900594690377
cka_quality,same_final_corpus_group,10,10,1,9,-0.08790093673905212,0.009931275369558014
cka_quality,same_lineage,10,10,10,0,0.019242464969529537,0.12066515637711493
cka_quality,same_objective,10,10,10,0,0.2685093779733278,0.43005425974055017
cka_quality,same_pooling,10,10,0,10,-0.18808472766266854,-0.08617180970920187
cka_sep,intercept,10,9,9,0,0.5838319219930104,0.6643635976763936
cka_sep,same_architecture,10,9,0,9,-0.2046239680342547,-0.021065565859279527
cka_sep,same_domain,10,9,0,9,-0.288828982136259,-0.049121815051093545
cka_sep,same_final_corpus_group,10,9,9,0,0.18799419249376828,0.5280852961849968
cka_sep,same_lineage,10,9,2,7,-0.06185262434881323,0.21965644802302633
cka_sep,same_objective,10,9,1,8,-0.18726610518992523,0.19893082976056362
cka_sep,same_pooling,10,9,5,4,-0.10243199341743245,0.08510738453738509
neighbors_2048_cls_k25,intercept,10,8,8,0,0.23913671280393883,0.3141314903846153
neighbors_2048_cls_k25,same_architecture,10,8,0,8,-0.26295851475997983,-0.0995158450112038
neighbors_2048_cls_k25,same_domain,10,8,0,8,-0.13030175030048075,-0.02163853838349718
neighbors_2048_cls_k25,same_final_corpus_group,10,8,8,0,0.11742647385488428,0.2576384127182603
neighbors_2048_cls_k25,same_lineage,10,8,8,0,0.002636633020577789,0.1264245103529285
neighbors_2048_cls_k25,same_objective,10,8,8,0,0.053297744587542516,0.18739813011222375
neighbors_2048_cls_k25,same_pooling,10,8,8,0,0.012854674426691241,0.11748939006899842
neighbors_2048_mean_k25,intercept,10,10,10,0,0.3467818872580374,0.4315132932170336
neighbors_2048_mean_k25,same_architecture,10,10,0,10,-0.20446019792382086,-0.09875085758183674
neighbors_2048_mean_k25,same_domain,10,10,2,8,-0.0927590848204358,0.026489811249018808
neighbors_2048_mean_k25,same_final_corpus_group,10,10,3,7,-0.07176189179023568,0.03430436260468583
neighbors_2048_mean_k25,same_lineage,10,10,10,0,0.0014928757914993336,0.10908238932762161
neighbors_2048_mean_k25,same_objective,10,10,10,0,0.27108844253554204,0.4361491379921428
neighbors_2048_mean_k25,same_pooling,10,10,0,10,-0.19838326706294226,-0.0795437079499512
neighbors_2048_sep_k25,intercept,10,9,9,0,0.29686397473660947,0.3566305288461541
neighbors_2048_sep_k25,same_architecture,10,9,0,9,-0.14821625506402258,-0.061373956468533226
neighbors_2048_sep_k25,same_domain,10,9,0,9,-0.15371235010107093,-0.033095585196987715
neighbors_2048_sep_k25,same_final_corpus_group,10,9,9,0,0.20927510337150773,0.32797370337995335
neighbors_2048_sep_k25,same_lineage,10,9,2,7,-0.05937800503598085,0.08406578505005795
neighbors_2048_sep_k25,same_objective,10,9,7,2,-0.017557735641685987,0.1322021559844339
neighbors_2048_sep_k25,same_pooling,10,9,1,8,-0.06714516977163452,0.011048150393584352
