population,measure,k,level,selection,recipe,n,mean,median,min,max,p025,p975
all_eligible,shape,,field,128,mean,1170,0.6317651649921479,0.6080772041842029,0.3150663804894388,0.9070734509816845,0.4004586805289428,0.8613063548359977
all_eligible,shape,,field,128,cls,1170,0.527219496498127,0.5010461095967687,0.20050314534911653,0.8868009975513661,0.27837654636582637,0.8315968617848335
all_eligible,shape,,field,128,sep,1170,0.5471869789192091,0.5879466170776377,0.0780208417776223,0.8868009975513661,0.13538506090904603,0.8387173078634342
all_eligible,shape,,field,256,mean,1170,0.629413879384789,0.5981289243821095,0.34753083311982796,0.8982315040009765,0.40829599291960433,0.8622386147430461
all_eligible,shape,,field,256,cls,1170,0.5297546963843099,0.5054801243710743,0.21757003442486889,0.8975020775771899,0.2789810448262226,0.8306057885531963
all_eligible,shape,,field,256,sep,1170,0.544018717681398,0.5871967607601409,0.08618092487098317,0.8975020775771899,0.12731581025326758,0.8351277678850556
all_eligible,shape,,field,512,mean,1170,0.629608191959234,0.5957087345861987,0.3380130293172533,0.9066702018892849,0.4015929429664037,0.8587646090886901
all_eligible,shape,,field,512,cls,1170,0.5322593408953272,0.5087428596767399,0.21345589548513547,0.9011867961136623,0.2741908582719628,0.832849621033367
all_eligible,shape,,field,512,sep,1170,0.5439608673292508,0.5891305942942624,0.0930828532292204,0.9014009131934188,0.12126723229014034,0.8368429108943479
all_eligible,shape,,subfield,128,mean,10440,0.6341437047330313,0.6145139088226543,0.08667609254053193,0.9520990461802805,0.3750634256792864,0.8821244624084543
all_eligible,shape,,subfield,128,cls,10440,0.5332496588252462,0.5103628892506872,0.09925438755955271,0.9520990461802805,0.23196383051267683,0.8678372111944634
all_eligible,shape,,subfield,128,sep,10440,0.5448415822027053,0.5878953606757719,0.0038662842987463196,0.9520990461802805,0.10529486671016695,0.8714952997863817
all_eligible,shape,,subfield,256,mean,9765,0.6334242837360682,0.6121856605488686,0.08135853525620285,0.9451832050645538,0.37693224276652165,0.8796926879530969
all_eligible,shape,,subfield,256,cls,9765,0.5331394415537608,0.5082520641269949,0.09082104733939811,0.9451832050645538,0.23644927926156253,0.8659528887346637
all_eligible,shape,,subfield,256,sep,9765,0.5447558147704541,0.5876827698949624,0.008531048650177332,0.9451832050645538,0.11091157998394365,0.8691503223508293
all_eligible,shape,,subfield,512,mean,8235,0.6364481179807572,0.6097562174995906,0.15982068841848404,0.950188490309861,0.39135704570926894,0.8760905963181235
all_eligible,shape,,subfield,512,cls,8235,0.5352575181089384,0.5116550070630609,0.13775689276748745,0.950188490309861,0.2401731545396309,0.8633090981152258
all_eligible,shape,,subfield,512,sep,8235,0.5477266278265215,0.5916028129388607,0.02294407536335895,0.950188490309861,0.11696938767826977,0.8665420287863295
same_183_subfields,shape,,field,128,mean,1170,0.6317651649921479,0.6080772041842029,0.3150663804894388,0.9070734509816845,0.4004586805289428,0.8613063548359977
same_183_subfields,shape,,field,128,cls,1170,0.527219496498127,0.5010461095967687,0.20050314534911653,0.8868009975513661,0.27837654636582637,0.8315968617848335
same_183_subfields,shape,,field,128,sep,1170,0.5471869789192091,0.5879466170776377,0.0780208417776223,0.8868009975513661,0.13538506090904603,0.8387173078634342
same_183_subfields,shape,,field,256,mean,1170,0.629413879384789,0.5981289243821095,0.34753083311982796,0.8982315040009765,0.40829599291960433,0.8622386147430461
same_183_subfields,shape,,field,256,cls,1170,0.5297546963843099,0.5054801243710743,0.21757003442486889,0.8975020775771899,0.2789810448262226,0.8306057885531963
same_183_subfields,shape,,field,256,sep,1170,0.544018717681398,0.5871967607601409,0.08618092487098317,0.8975020775771899,0.12731581025326758,0.8351277678850556
same_183_subfields,shape,,field,512,mean,1170,0.629608191959234,0.5957087345861987,0.3380130293172533,0.9066702018892849,0.4015929429664037,0.8587646090886901
same_183_subfields,shape,,field,512,cls,1170,0.5322593408953272,0.5087428596767399,0.21345589548513547,0.9011867961136623,0.2741908582719628,0.832849621033367
same_183_subfields,shape,,field,512,sep,1170,0.5439608673292508,0.5891305942942624,0.0930828532292204,0.9014009131934188,0.12126723229014034,0.8368429108943479
same_183_subfields,shape,,subfield,128,mean,8235,0.635995296202003,0.6134074125554835,0.1312369337636541,0.9520990461802805,0.3825073843201966,0.8784781244110482
same_183_subfields,shape,,subfield,128,cls,8235,0.5348942602157036,0.5113290722235805,0.10529559471932887,0.9520990461802805,0.23808271090325522,0.8644511145636928
same_183_subfields,shape,,subfield,128,sep,8235,0.5469956155209469,0.5913198655502533,0.0038662842987463196,0.9520990461802805,0.10823279686993631,0.8686097162347198
same_183_subfields,shape,,subfield,256,mean,8235,0.6357738520944918,0.6122305766440266,0.15461359725543555,0.9451832050645538,0.38751353953676004,0.8768561399544397
same_183_subfields,shape,,subfield,256,cls,8235,0.5347778554377757,0.5098881003178302,0.11318178200792525,0.9451832050645538,0.239980825569145,0.8634893158633008
same_183_subfields,shape,,subfield,256,sep,8235,0.5470930434165838,0.5921127017593129,0.008531048650177332,0.9451832050645538,0.11404146981365207,0.8670799274816997
same_183_subfields,shape,,subfield,512,mean,8235,0.6364481179807572,0.6097562174995906,0.15982068841848404,0.950188490309861,0.39135704570926894,0.8760905963181235
same_183_subfields,shape,,subfield,512,cls,8235,0.5352575181089384,0.5116550070630609,0.13775689276748745,0.950188490309861,0.2401731545396309,0.8633090981152258
same_183_subfields,shape,,subfield,512,sep,8235,0.5477266278265215,0.5916028129388607,0.02294407536335895,0.950188490309861,0.11696938767826977,0.8665420287863295
all_eligible,neighbors,10,field,128,mean,1170,0.42980435363247865,0.40078125,0.2078125,0.72421875,0.25703125,0.6539843749999996
all_eligible,neighbors,25,field,128,mean,1170,0.5345090811965812,0.51078125,0.324375,0.7825,0.383265625,0.7243046875
all_eligible,neighbors,50,field,128,mean,1170,0.6466634615384615,0.63015625,0.48578125,0.8240625,0.53,0.79551953125
all_eligible,neighbors,10,field,128,cls,1170,0.35404447115384613,0.315625,0.165625,0.72421875,0.196875,0.6224804687499998
all_eligible,neighbors,25,field,128,cls,1170,0.4681813568376068,0.4421875,0.3,0.7825,0.322328125,0.69625
all_eligible,neighbors,50,field,128,cls,1170,0.5996282051282051,0.5821093749999999,0.46109375,0.8209375,0.48578125,0.7561249999999998
all_eligible,neighbors,10,field,128,sep,1170,0.391282719017094,0.3765625,0.15234375,0.72421875,0.21302734375,0.625
all_eligible,neighbors,25,field,128,sep,1170,0.49944017094017096,0.4934375,0.2728125,0.7825,0.333578125,0.6968046875
all_eligible,neighbors,50,field,128,sep,1170,0.6214217414529914,0.6221875,0.42796875,0.8209375,0.495296875,0.76145703125
all_eligible,neighbors,10,field,256,mean,1170,0.3739646768162393,0.335546875,0.180859375,0.667578125,0.20985351562500001,0.6160937499999996
all_eligible,neighbors,25,field,256,mean,1170,0.4548899572649573,0.42359375,0.2496875,0.7296875,0.29274609375,0.6775117187499997
all_eligible,neighbors,50,field,256,mean,1170,0.5345980902777778,0.5086328124999999,0.346953125,0.7875,0.385677734375,0.7283828124999999
all_eligible,neighbors,10,field,256,cls,1170,0.2971564503205128,0.2529296875,0.125,0.667578125,0.14548828125000002,0.5762011718749993
all_eligible,neighbors,25,field,256,cls,1170,0.3811936431623931,0.344921875,0.2003125,0.7296875,0.22953125,0.6412968749999998
all_eligible,neighbors,50,field,256,cls,1170,0.46945352564102566,0.4421875,0.295390625,0.7875,0.32390625,0.6964121093749999
all_eligible,neighbors,10,field,256,sep,1170,0.33374632745726496,0.3125,0.11796875,0.667578125,0.15447265625,0.5791601562499997
all_eligible,neighbors,25,field,256,sep,1170,0.4159632745726496,0.40523437500000004,0.1859375,0.7296875,0.23529687500000002,0.6433671875
all_eligible,neighbors,50,field,256,sep,1170,0.4992969417735042,0.49328125,0.273359375,0.7875,0.331302734375,0.6973515625
all_eligible,neighbors,10,field,512,mean,1170,0.33424278846153843,0.286328125,0.1466796875,0.6283203125,0.1799267578125,0.5817919921875
all_eligible,neighbors,25,field,512,mean,1170,0.39697883279914525,0.356171875,0.1928125,0.683125,0.237361328125,0.6319648437499997
all_eligible,neighbors,50,field,512,mean,1170,0.45715918803418804,0.42162109375,0.2475390625,0.7367578125,0.2995673828125,0.6806054687499999
all_eligible,neighbors,10,field,512,cls,1170,0.2565471420940171,0.21005859375,0.0869140625,0.6283203125,0.112197265625,0.5509326171875
all_eligible,neighbors,25,field,512,cls,1170,0.31956183226495727,0.27937500000000004,0.143046875,0.683125,0.166658203125,0.5954472656249998
all_eligible,neighbors,50,field,512,cls,1170,0.3838048878205128,0.34855468749999996,0.2015234375,0.7367578125,0.2290185546875,0.6426425781249998
all_eligible,neighbors,10,field,512,sep,1170,0.2933525307158119,0.2689453125,0.0919921875,0.6283203125,0.1207470703125,0.5522314453124998
all_eligible,neighbors,25,field,512,sep,1170,0.35587640224358974,0.33882812500000004,0.137734375,0.683125,0.17549609375,0.6023242187499999
all_eligible,neighbors,50,field,512,sep,1170,0.4178881543803418,0.40638671875,0.1915625,0.7367578125,0.2354638671875,0.6462802734374997
all_eligible,neighbors,10,subfield,128,mean,10440,0.42724437260536396,0.39453125,0.1609375,0.75390625,0.25703125,0.66328125
all_eligible,neighbors,25,subfield,128,mean,10440,0.5360258620689655,0.51046875,0.2928125,0.8084375,0.3809296875,0.7359375
all_eligible,neighbors,50,subfield,128,mean,10440,0.6553620988984674,0.638125,0.4684375,0.88953125,0.53171875,0.80890625
all_eligible,neighbors,10,subfield,128,cls,10440,0.35177240481321836,0.3125,0.1265625,0.75390625,0.1859375,0.6398632812499998
