subfield_id,field_id,k,n,mean,median,min,max,p025,p975
1100,11,10,10,-0.032044444444444445,-0.03126666666666669,-0.05311111111111105,-0.014533333333333343,-0.05182111111111106,-0.014653333333333341
1100,11,25,10,-0.04381511111111112,-0.043831111111111126,-0.05480888888888891,-0.02949333333333337,-0.0547488888888889,-0.03066133333333334
1100,11,50,10,-0.03651111111111109,-0.038004444444444396,-0.046666666666666634,-0.0262133333333332,-0.04654066666666666,-0.026883333333333242
1102,11,10,10,-0.0202622222222222,-0.020733333333333298,-0.042311111111110966,0.0019111111111110857,-0.04193111111111101,0.00030111111111111983
1102,11,25,10,-0.009082666666666694,-0.010595555555555608,-0.035111111111111204,0.00784000000000007,-0.031035111111111204,0.006984000000000083
1102,11,50,10,0.004104888888888903,0.0019466666666667076,-0.010791111111111085,0.023004444444444383,-0.009561111111111095,0.022346444444444395
1103,11,10,10,-0.04034222222222221,-0.04200000000000004,-0.06382222222222222,-0.024311111111111117,-0.06119222222222222,-0.024391111111111127
1103,11,25,10,-0.05237333333333336,-0.053431111111111124,-0.06481777777777792,-0.03528888888888898,-0.06418177777777789,-0.037332888888888964
1103,11,50,10,-0.04451466666666672,-0.04452888888888901,-0.0557333333333333,-0.028808888888888884,-0.05533733333333331,-0.0302988888888889
1104,11,10,10,-0.026488888888888906,-0.024666666666666726,-0.046977777777777896,-0.011066666666666558,-0.046207777777777875,-0.011716666666666582
1104,11,25,10,-0.018951111111111106,-0.017342222222222148,-0.03311999999999998,-0.005706666666666749,-0.033075999999999994,-0.006110666666666747
1104,11,50,10,0.000772444444444409,0.0014755555555555078,-0.016044444444444528,0.013759999999999883,-0.013788444444444511,0.01226599999999989
1105,11,10,10,-0.02573333333333333,-0.028000000000000025,-0.04613333333333319,-0.0057333333333332015,-0.043983333333333235,-0.006723333333333241
1105,11,25,10,-0.018113777777777805,-0.01572444444444454,-0.037688888888888716,-0.0008177777777778061,-0.036116888888888775,-0.0021257777777778175
1105,11,50,10,0.004431111111111141,0.002088888888888918,-0.010524444444444336,0.019120000000000026,-0.010154444444444336,0.018950000000000012
1106,11,10,10,0.007613333333333328,0.005066666666666636,-0.005511111111111244,0.025688888888888983,-0.004921111111111214,0.02440888888888897
1106,11,25,10,0.011912888888888862,0.015831111111111074,-0.008373333333333288,0.025226666666666675,-0.00782933333333331,0.024622666666666678
1106,11,50,10,0.007272888888888896,0.006879999999999997,-0.011386666666666656,0.019386666666666663,-0.009912666666666667,0.018974666666666664
1109,11,10,10,-0.003555555555555562,-0.0038444444444444004,-0.02311111111111125,0.012533333333333396,-0.021201111111111212,0.012273333333333367
1109,11,25,10,-0.018979555555555527,-0.01768888888888881,-0.03423999999999999,-0.00496000000000002,-0.033736000000000016,-0.005668000000000011
1109,11,50,10,-0.01633955555555553,-0.01499111111111101,-0.03408,0.0003377777777777702,-0.031678,-0.0018122222222222476
1110,11,10,10,-0.0015066666666666729,0.00019999999999997797,-0.019466666666666577,0.012711111111111173,-0.0188566666666666,0.012431111111111162
1110,11,25,10,-0.006170666666666691,-0.00744000000000003,-0.01616000000000012,0.00563555555555556,-0.015956000000000106,0.005179555555555559
1110,11,50,10,-0.004231999999999991,-0.005417777777777799,-0.017164444444444427,0.009075555555555503,-0.015806444444444397,0.008115555555555485
1111,11,10,10,-0.041577777777777776,-0.04264444444444451,-0.05004444444444445,-0.03191111111111122,-0.05004444444444443,-0.03220111111111117
1111,11,25,10,-0.0399128888888889,-0.041786666666666694,-0.04696888888888889,-0.02940444444444451,-0.04688488888888888,-0.030296444444444494
1111,11,50,10,-0.03178577777777777,-0.032813333333333305,-0.03712000000000004,-0.019875555555555535,-0.037084000000000034,-0.021455555555555568
1202,12,10,10,0.008813333333333312,0.008466666666666678,-0.013111111111111129,0.02453333333333335,-0.010731111111111125,0.024143333333333346
1202,12,25,10,-0.003628444444444423,-0.005946666666666656,-0.01676444444444447,0.010204444444444516,-0.015972444444444452,0.009468444444444517
1202,12,50,10,-0.014013333333333355,-0.011893333333333367,-0.032346666666666746,-0.007111111111111013,-0.029504666666666724,-0.007363111111111015
1203,12,10,10,-0.07332444444444446,-0.07446666666666668,-0.08160000000000006,-0.05977777777777771,-0.08160000000000005,-0.06134777777777774
1203,12,25,10,-0.041338666666666676,-0.039439999999999975,-0.05800888888888889,-0.03239111111111115,-0.05648888888888889,-0.03240711111111113
1203,12,50,10,-0.010600888888888892,-0.011808888888888869,-0.020373333333333465,0.0038311111111112295,-0.020351333333333447,0.0031611111111112125
1204,12,10,10,-0.01225777777777779,-0.01568888888888889,-0.0354666666666667,0.012755555555555576,-0.03252666666666671,0.011815555555555564
1204,12,25,10,-0.011783111111111123,-0.014720000000000066,-0.024213333333333198,0.0017244444444444174,-0.023109333333333235,0.0017204444444444162
1204,12,50,10,-0.009448888888888918,-0.009995555555555646,-0.021466666666666745,0.00030222222222231476,-0.02044466666666672,0.00026022222222231445
1205,12,10,10,-0.07489777777777777,-0.07502222222222221,-0.08448888888888884,-0.0636888888888889,-0.08421888888888886,-0.06393888888888889
1205,12,25,10,-0.10180266666666667,-0.10232888888888891,-0.11079111111111106,-0.0910399999999999,-0.11008311111111106,-0.09173199999999991
1205,12,50,10,-0.11953155555555553,-0.11992444444444447,-0.12742222222222216,-0.10897777777777773,-0.12722622222222216,-0.10974177777777774
1206,12,10,10,0.007871111111111152,0.008844444444444516,-0.013911111111111152,0.022933333333333472,-0.010311111111111161,0.02121333333333345
1206,12,25,10,0.02582222222222223,0.02663111111111116,0.015395555555555607,0.036782222222222216,0.015887555555555606,0.03514222222222223
1206,12,50,10,0.05054755555555555,0.04946666666666666,0.042604444444444445,0.06274666666666673,0.04262644444444444,0.06126466666666672
1207,12,10,10,0.008800000000000007,0.008666666666666711,-0.00022222222222229027,0.01928888888888891,-0.0001922222222222561,0.018388888888888913
1207,12,25,10,0.004782222222222199,0.004071111111111053,-0.01760000000000006,0.019377777777777827,-0.01483600000000005,0.01910977777777782
1207,12,50,10,0.014134222222222225,0.012404444444444301,-0.0002844444444444205,0.030364444444444583,0.0013595555555556084,0.02943644444444455
1208,12,10,10,-0.011102222222222225,-0.012577777777777799,-0.026977777777777767,0.002622222222222248,-0.02486777777777776,0.0023322222222222347
1208,12,25,10,-0.019898666666666655,-0.016871111111111115,-0.04250666666666675,-0.003182222222222253,-0.040918666666666735,-0.005466222222222225
1208,12,50,10,-0.02079022222222223,-0.018871111111111172,-0.03758222222222213,-0.010337777777777779,-0.03663022222222216,-0.01120777777777777
1209,12,10,10,-0.013586666666666686,-0.01028888888888893,-0.03124444444444452,0.000844444444444481,-0.03074444444444449,0.0002644444444444791
1209,12,25,10,-0.01290666666666666,-0.00895111111111116,-0.033884444444444495,0.0010311111111110938,-0.03166044444444446,-4.488888888889682e-05
1209,12,50,10,-0.0023306666666666753,-0.0008977777777778306,-0.011715555555555479,0.0047199999999999465,-0.011143555555555504,0.004061999999999958
1210,12,10,10,-0.029622222222222223,-0.02626666666666666,-0.05106666666666665,-0.014444444444444426,-0.04912666666666665,-0.015414444444444435
1210,12,25,10,-0.018503111111111116,-0.01483555555555563,-0.0356088888888888,-0.005297777777777735,-0.034572888888888834,-0.00529777777777776
1210,12,50,10,-0.00598133333333335,-0.007395555555555572,-0.020960000000000034,0.013751111111111047,-0.020867999999999994,0.012773111111111062
1211,12,10,10,0.014533333333333343,0.015444444444444483,-0.005066666666666664,0.0257777777777779,-0.0024566666666666764,0.02563777777777788
1211,12,25,10,0.02526400000000001,0.02584888888888892,0.008977777777777862,0.045795555555555534,0.00951377777777784,0.044763555555555556
1211,12,50,10,0.03268711111111111,0.034195555555555535,0.010737777777777846,0.04879111111111112,0.012641777777777842,0.047987111111111126
1212,12,10,10,-0.015173333333333334,-0.01426666666666665,-0.0408,0.008444444444444421,-0.03733,0.005754444444444414
1212,12,25,10,-0.02901688888888889,-0.02773333333333336,-0.04894222222222222,-0.01399111111111101,-0.04790222222222223,-0.015055111111111009
1212,12,50,10,-0.044303999999999996,-0.0412799999999999,-0.06614222222222227,-0.02923555555555557,-0.06462022222222227,-0.029607555555555585
1213,12,10,10,0.010639999999999993,0.009533333333333338,-0.0011555555555555763,0.02262222222222221,-0.0007255555555555696,0.02241222222222221
1213,12,25,10,0.000876444444444463,-0.0005599999999999772,-0.008551111111111065,0.0102222222222223,-0.008039111111111058,0.009806222222222286
1213,12,50,10,-0.010186666666666639,-0.011622222222222228,-0.019413333333333282,0.0037511111111112605,-0.018877333333333267,0.002693111111111213
1303,13,10,10,-0.009795555555555547,-0.00888888888888889,-0.02897777777777777,0.003111111111111009,-0.028477777777777755,0.00222111111111105
1303,13,25,10,-0.006725333333333328,-0.003502222222222212,-0.022311111111111115,0.00476444444444446,-0.0216471111111111,0.00453244444444444
1303,13,50,10,-0.0020959999999999868,0.00046222222222225273,-0.016231111111110974,0.008275555555555592,-0.01610511111111102,0.008093555555555574
