model_group,field_id,n,mean,median,min,max,p025,p975
all,11,405,0.6448041551894426,0.6057735554127167,0.4241058163492358,0.9107543890141137,0.46097424385634367,0.8721014375504776
all,12,540,0.5737695113957936,0.5615599659218529,0.24315001783059387,0.9097813786310445,0.289016703131432,0.8480492323612226
all,13,450,0.6498398047941545,0.6172160592879055,0.34685321816295905,0.9451832050645538,0.4262870521927154,0.8960372042171699
all,14,315,0.6066427777740389,0.5586733330135116,0.3424441888578231,0.8777883748303438,0.3858784159019256,0.8458968382232981
all,15,270,0.6671740957246116,0.6879121206894434,0.41073369939975407,0.9337747626620837,0.436707811529523,0.9065050591377544
all,16,270,0.6352615949275359,0.6240058834959172,0.3757953752140117,0.9131512548938258,0.41780859452918323,0.8844498247384369
all,17,495,0.6365860338395695,0.5990718365222845,0.3979524571422557,0.923066661787121,0.42218731117529984,0.8763710173687127
all,18,180,0.6670810212818339,0.6320315352737842,0.4485538457311488,0.8961455896519723,0.4759825283258099,0.8743075895258059
all,19,315,0.6971289306465668,0.6751777971141469,0.504775384307817,0.9074702546125608,0.5521248230694819,0.8727932528389539
all,20,135,0.615163523043696,0.5906033224869023,0.34151081576021197,0.8576255877562272,0.3821931489285935,0.8424287608391281
all,21,135,0.6627988891370501,0.6882610067718579,0.3228936741960242,0.9093966500024498,0.3454621286755699,0.8836301758947165
all,22,675,0.6400038456129946,0.6154378293842766,0.36775536815418486,0.9074497656402242,0.4210033046759012,0.8690241376334978
all,23,495,0.668327473742574,0.6338431505450409,0.3889334446854048,0.9420208500096331,0.4527744706752468,0.8881580262584756
all,24,225,0.6197379937288254,0.5925309666693763,0.3027948226216289,0.9061103480924192,0.3955608667478775,0.8682143305395287
all,25,270,0.6530959230000387,0.6192142683341162,0.4422020377061921,0.8933576225496531,0.4776020474337304,0.8640684923494196
all,26,360,0.6164406624263833,0.6547634909181794,0.15461359725543555,0.9381758999219791,0.23553178607918301,0.894981969673428
all,27,1665,0.6105796505258638,0.5677309676875716,0.2805151440078606,0.9426019932379123,0.3615685288441985,0.8872329778837417
all,28,315,0.646250886114496,0.6072027385250213,0.3546395524279801,0.9116570864624862,0.42331200194045054,0.8836380555320881
all,29,180,0.5890935960900315,0.5812761987994735,0.08135853525620285,0.9269382324865889,0.16620172350763313,0.8753365758141303
all,30,135,0.7045644233419579,0.7072861678603227,0.46438361532868394,0.9310944986027626,0.492664106180464,0.9094851114596968
all,31,270,0.695549927092,0.6753553976623214,0.4880684370378763,0.9085519353039808,0.5279572896748903,0.8902267385127647
all,32,225,0.6285292468178002,0.5778176781994308,0.40416996799164917,0.8862982175812105,0.43901043883875573,0.8656070176692923
all,33,810,0.6144818091411809,0.5791686256936115,0.301958411358266,0.9163541934848736,0.41141988985433997,0.8538861679150392
all,34,90,0.606942928080297,0.5560743059866645,0.3534584650015242,0.8672092807444948,0.37694873899152553,0.8502861694289128
all,35,180,0.635365917131351,0.5916946737599822,0.4336562886930523,0.8721820176153232,0.4550203637865792,0.8609191367218466
all,36,360,0.650354584829678,0.6197292671191815,0.35836816679253697,0.9232662488334624,0.4307874708846032,0.8844005774310156
without_biomedical,11,252,0.6570521010508198,0.6276715855854911,0.4241058163492358,0.8971897980689741,0.4904255930503918,0.8635938226183989
without_biomedical,12,336,0.5917713932574729,0.5866172109601252,0.30638383000936115,0.8854514522584139,0.3701222286903385,0.8297704549878999
without_biomedical,13,280,0.653428148420983,0.6416375558518652,0.34685321816295905,0.9451832050645538,0.42159892608855115,0.9004892604540133
without_biomedical,14,196,0.6310808871874678,0.5920884315595005,0.42843841400148436,0.8777883748303438,0.4504315138290766,0.8462570220252612
without_biomedical,15,168,0.6701196405642191,0.6965440753922663,0.41073369939975407,0.9337747626620837,0.43667405959868577,0.9105087377697654
without_biomedical,16,168,0.6282166039535103,0.6260013241806144,0.3757953752140117,0.8467046973641267,0.4188635706806909,0.8230700136672456
without_biomedical,17,308,0.6553659100543303,0.6364482225194568,0.4216874715110409,0.9203174908726408,0.4475202443832286,0.8749787038237782
without_biomedical,18,112,0.6801524399119719,0.6370487518069237,0.48986190261122764,0.8879765537194433,0.5154609198637086,0.8729145587915095
without_biomedical,19,196,0.705891255000652,0.7037512179672405,0.504775384307817,0.9074702546125608,0.5620046219053119,0.8645149723560822
without_biomedical,20,84,0.6457819396215179,0.6230702178371716,0.441964335398736,0.854596957977055,0.4609182814204813,0.8436089440899032
without_biomedical,21,84,0.6781206915613021,0.7021269564037136,0.4157270590976142,0.9056460286931797,0.4193371414737712,0.8747412374866649
without_biomedical,22,420,0.6561053723118957,0.6417241913008574,0.39247558092922774,0.9074497656402242,0.44423619362968325,0.8709431053194537
without_biomedical,23,308,0.681559846303804,0.6567851458082821,0.4472194256091477,0.9165025664107981,0.49699254212199834,0.8799205308976442
without_biomedical,24,140,0.6224149947475991,0.6022239708518452,0.3027948226216289,0.9061103480924192,0.3702922110249592,0.8559714815971599
without_biomedical,25,168,0.6558652003089184,0.635340363914096,0.4471744296321791,0.8906882949595324,0.48135150682918504,0.8557538895404444
without_biomedical,26,224,0.6463695334337782,0.6759048459003452,0.32317629601195386,0.9381758999219791,0.35577039193974025,0.8938221099451148
without_biomedical,27,1036,0.6264728509899876,0.5968396040079035,0.2805151440078606,0.9426019932379123,0.3670561588256517,0.8918601409496456
without_biomedical,28,196,0.6532612786366613,0.618977691149895,0.3546395524279801,0.9023174156625582,0.41158319812693445,0.8828411393125087
without_biomedical,29,112,0.5928300457898233,0.5875889742777993,0.08135853525620285,0.8857574548697051,0.1678049901242321,0.8485593700045472
without_biomedical,30,84,0.7091689184070986,0.7034518861276595,0.46438361532868394,0.9167325719972702,0.5037837755640405,0.8955863446333271
without_biomedical,31,168,0.6989742893236782,0.6821259197055448,0.4880684370378763,0.9085519353039808,0.5386898147926678,0.8703977520861352
without_biomedical,32,140,0.6406823138952182,0.5989509428076754,0.4397090162234301,0.8755836136825983,0.46138457187782056,0.8580397878638377
without_biomedical,33,504,0.6348805692936121,0.6030396133519058,0.38148506961831885,0.9163541934848736,0.4509995665622881,0.8548304636448416
without_biomedical,34,56,0.6319134454911767,0.570739007729924,0.4221333729808605,0.8672092807444948,0.4497030267559254,0.8441427973192938
without_biomedical,35,112,0.644152184627484,0.6013508820266662,0.4506286618680738,0.8701176299854841,0.45666917979818294,0.8602569509761765
without_biomedical,36,224,0.6691735155841444,0.6421846765071859,0.41757844118439774,0.9232662488334624,0.45376613677404326,0.8967929052440854
one_biomedical,11,144,0.6104211251775412,0.571237367866128,0.437074654193338,0.9092757912023112,0.4449087087238676,0.8728708572742769
one_biomedical,12,192,0.5262524094492593,0.4901485577545831,0.24315001783059387,0.8766075329428724,0.26128127964425757,0.8488644444037748
one_biomedical,13,160,0.6304438748133817,0.5913647745332149,0.400871375124541,0.9254930207803516,0.4324608251798517,0.8768931876167344
one_biomedical,14,112,0.5505614750181398,0.5021900580118699,0.3424441888578231,0.8548505310364175,0.36451441030256004,0.8150200587302937
one_biomedical,15,96,0.6494808628468999,0.6177267643818124,0.41784530204057885,0.9209581571196493,0.43885378951783377,0.8748699280861719
one_biomedical,16,96,0.6322020585591401,0.6117885836996204,0.39130701726184497,0.9131512548938258,0.42354092106125923,0.8907557244248665
one_biomedical,17,176,0.59018639561535,0.5402037803396819,0.3979524571422557,0.8965378304583933,0.4115940430968459,0.8523243827406526
one_biomedical,18,64,0.6318919710748896,0.600515523263509,0.4485538457311488,0.8850544772246279,0.471202532676658,0.8572929536941846
one_biomedical,19,112,0.6708445083406956,0.6399656844738537,0.5177668535857943,0.8879037108641762,0.5512841364159398,0.8708400569143837
