primary,control,unit,groups,same_endpoint_sign,positive_both,negative_both,rank_correlation_of_changes
cka_primary,cka_equal2048,field,26,25,23,2,0.9993162393162391
cka_primary,cka_equal2048,pair,45,44,43,1,0.9997364953886693
cka_primary,cka_equal2048,field_pair,1170,1162,859,303,0.9990661407639578
cka_primary,cka_quality,field,26,23,20,3,0.9323076923076923
cka_primary,cka_quality,pair,45,36,35,1,0.9366271409749669
cka_primary,cka_quality,field_pair,1170,1037,747,290,0.9214135499985662
cka_primary,cka_raw,field,26,26,23,3,0.9705982905982906
cka_primary,cka_raw,pair,45,40,40,0,0.9470355731225295
cka_primary,cka_raw,field_pair,1170,1123,836,287,0.9646051015994306
cka_primary,cka_cls,field,26,22,19,3,0.9001709401709401
cka_primary,cka_cls,pair,45,36,35,1,0.8263504611330699
cka_primary,cka_cls,field_pair,1170,976,723,253,0.7916832994421626
cka_primary,cka_sep,field,26,23,23,0,0.8017094017094016
cka_primary,cka_sep,pair,45,41,41,0,0.2413702239789196
cka_primary,cka_sep,field_pair,1170,937,789,148,0.4079789258299872
cka_primary,rsa_spearman_primary,field,26,19,19,0,0.31008547008547005
cka_primary,rsa_spearman_primary,pair,45,41,40,1,0.5919631093544137
cka_primary,rsa_spearman_primary,field_pair,1170,836,672,164,0.3896024806460127
cka_primary,procrustes_similarity_primary,field,26,16,14,2,0.5001709401709401
cka_primary,procrustes_similarity_primary,pair,45,25,24,1,0.6005270092226613
cka_primary,procrustes_similarity_primary,field_pair,1170,805,578,227,0.5651417185149039
neighbors_2048_mean_k25,neighbors_all_k25,field,26,16,10,6,0.5186324786324785
neighbors_2048_mean_k25,neighbors_all_k25,pair,45,16,6,10,0.9865612648221342
neighbors_2048_mean_k25,neighbors_all_k25,field_pair,1170,834,426,408,0.6753488191943114
neighbors_2048_mean_k25,neighbors_2048_mean_k10,field,26,23,17,6,0.9452991452991453
neighbors_2048_mean_k25,neighbors_2048_mean_k10,pair,45,39,29,10,0.9752305665349141
neighbors_2048_mean_k25,neighbors_2048_mean_k10,field_pair,1170,1046,652,394,0.9557085544138908
neighbors_2048_mean_k25,neighbors_2048_mean_k50,field,26,24,19,5,0.9487179487179486
neighbors_2048_mean_k25,neighbors_2048_mean_k50,pair,45,42,35,7,0.9876152832674571
neighbors_2048_mean_k25,neighbors_2048_mean_k50,field_pair,1170,1077,728,349,0.9654769786153665
neighbors_2048_mean_k25,neighbors_2048_cls_k25,field,26,22,16,6,0.9678632478632478
neighbors_2048_mean_k25,neighbors_2048_cls_k25,pair,45,36,27,9,0.8320158102766797
neighbors_2048_mean_k25,neighbors_2048_cls_k25,field_pair,1170,1004,609,395,0.8654351041110976
neighbors_2048_mean_k25,neighbors_2048_sep_k25,field,26,25,20,5,0.9829059829059829
neighbors_2048_mean_k25,neighbors_2048_sep_k25,pair,45,33,30,3,0.5052700922266139
neighbors_2048_mean_k25,neighbors_2048_sep_k25,field_pair,1170,979,686,293,0.8072735956004135
