outcome,unit,groups,positive_endpoint,negative_endpoint,all_four_steps_up,all_four_steps_down,nonmonotone,mean_endpoint_change,min_endpoint_change,max_endpoint_change
cka_primary,field,26,23,3,4,0,22,0.020737646029993475,-0.008808262630280006,0.09146357544679895
cka_primary,pair,45,44,1,19,0,26,0.020737646029993503,-0.004423422028007051,0.04687871657274523
rsa_spearman_primary,field,26,22,4,7,0,19,0.030351442598459788,-0.018203550557409076,0.10607582380708946
rsa_spearman_primary,pair,45,40,5,20,0,25,0.030351442598459875,-0.019880126573420753,0.10762007463784551
procrustes_similarity_primary,field,26,15,11,2,0,24,0.001930430620589802,-0.0165359393536193,0.03156406850949112
procrustes_similarity_primary,pair,45,24,21,6,4,35,0.001930430620589786,-0.008482405612497801,0.02035487998660901
cka_raw,field,26,23,3,4,1,21,0.020115671802039235,-0.019197252141283205,0.08907795722292722
cka_raw,pair,45,41,4,18,0,27,0.020115671802039256,-0.004985219069901681,0.04908407977072693
cka_cls,field,26,19,7,4,0,22,0.017078730972444042,-0.020599071098429844,0.12489676709662012
cka_cls,pair,45,35,10,24,0,21,0.017078730972444025,-0.036747165182057784,0.04687871657274523
cka_sep,field,26,26,0,13,0,13,0.04378694019008662,0.014433176141594173,0.11990288396266358
cka_sep,pair,45,42,3,32,0,13,0.043786940190086644,-0.0064919923091905085,0.13918557487922067
cka_quality,field,26,20,6,7,1,18,0.011532767431736287,-0.014472708416048974,0.07233011997937444
cka_quality,pair,45,35,10,12,0,33,0.011532767431736257,-0.011608567088995159,0.0418775042849725
cka_equal2048,field,26,24,2,4,0,22,0.020643288199800974,-0.009143000382081268,0.09098783648542719
cka_equal2048,pair,45,43,2,20,0,25,0.020643288199800984,-0.004549599670539584,0.04692723895433004
neighbors_all_k10,field,26,8,18,0,5,21,-0.009469848555357338,-0.04128269656131586,0.028662152457166357
neighbors_all_k10,pair,45,4,41,4,27,14,-0.009469848555357334,-0.029522549282106403,0.03288079838203384
neighbors_all_k25,field,26,10,16,1,3,22,-0.008692187353682079,-0.04917304867463329,0.03735590438083514
neighbors_all_k25,pair,45,6,39,4,27,14,-0.008692187353682077,-0.03249533421538031,0.036213796136547516
neighbors_all_k50,field,26,12,14,2,3,21,-0.008057066753601683,-0.05923148518632873,0.049861495844875314
neighbors_all_k50,pair,45,6,39,4,28,13,-0.008057066753601702,-0.03445006614222995,0.035973241169379055
neighbors_2048_mean_k10,field,26,17,9,4,1,21,0.005025040064102565,-0.02358181423611111,0.03160264756944442
neighbors_2048_mean_k10,pair,45,29,16,6,1,38,0.0050250400641025615,-0.012884990985576994,0.044512469951923095
neighbors_2048_mean_k25,field,26,20,6,6,0,20,0.009114733573717958,-0.026012152777777686,0.03661805555555553
neighbors_2048_mean_k25,pair,45,35,10,10,0,35,0.009114733573717945,-0.012342998798076876,0.050300480769230715
neighbors_2048_mean_k50,field,26,20,6,6,0,20,0.012064352964743594,-0.02404253472222223,0.05047070312499996
neighbors_2048_mean_k50,pair,45,38,7,27,0,18,0.012064352964743594,-0.012166841947115481,0.05242525540865384
neighbors_2048_cls_k10,field,26,15,11,3,4,19,-2.4706196581178026e-05,-0.025899522569444416,0.02103407118055553
neighbors_2048_cls_k10,pair,45,25,20,5,5,35,-2.4706196581196956e-05,-0.03913762019230771,0.044512469951923095
neighbors_2048_cls_k25,field,26,16,10,2,2,22,0.003435329861111116,-0.029556857638888878,0.03071050347222226
neighbors_2048_cls_k25,pair,45,28,17,6,3,36,0.0034353298611111125,-0.037315204326923035,0.050300480769230715
neighbors_2048_cls_k50,field,26,18,8,2,1,23,0.005976921407585475,-0.030163845486111063,0.04216210937499998
neighbors_2048_cls_k50,pair,45,28,17,17,3,25,0.005976921407585478,-0.0359093299278847,0.05242525540865384
neighbors_2048_sep_k10,field,26,18,8,6,1,19,0.008731261685363237,-0.017331814236111187,0.03780815972222226
neighbors_2048_sep_k10,pair,45,34,11,10,0,35,0.008731261685363263,-0.014723557692307654,0.044512469951923095
neighbors_2048_sep_k25,field,26,21,5,6,0,20,0.013832231570512832,-0.01587065972222218,0.04135633680555556
neighbors_2048_sep_k25,pair,45,37,8,15,0,30,0.013832231570512821,-0.010356069711538463,0.050300480769230715
neighbors_2048_sep_k50,field,26,22,4,8,0,18,0.0178074252136752,-0.013060546874999968,0.050184461805555525
neighbors_2048_sep_k50,pair,45,41,4,30,0,15,0.01780742521367523,-0.007289287860576921,0.05242525540865384
