outcome,group,endpoint_change,slope,increasing_steps,decreasing_steps,minimum,maximum,model_a,model_b
cka_primary,0,0.03859531486854095,0.010100830132153992,4,0,0.7269618115374072,0.7655571264059482,specter,specter2
cka_primary,1,0.022332510136209405,0.005676820542173,4,0,0.7950322102448292,0.8173647203810386,specter,scincl
cka_primary,2,0.018923680790109976,0.005890384045105157,3,1,0.558616822982972,0.5818839027639329,specter,scibert
cka_primary,3,0.008634146443381674,0.001946019979879976,3,1,0.5602826216065778,0.5723530071788734,specter,bert
cka_primary,4,0.03043397611932719,0.007740581119338641,4,0,0.754029292302505,0.7844632684218322,specter,mpnet
cka_primary,5,0.0314135006577243,0.008023465161997168,4,0,0.7126740902347597,0.744087590892484,specter,minilm
cka_primary,6,0.019115176425353764,0.005302677321991545,4,0,0.5107641173748643,0.529879293800218,specter,pubmedbert
cka_primary,7,0.02952671609674551,0.007374859851369209,4,0,0.5384388745305898,0.5679655906273353,specter,biobert
cka_primary,8,0.011628861613568242,0.002956127364731986,4,0,0.5380618821791905,0.5496907437927587,specter,simcse
cka_primary,9,0.03785181586550501,0.00985784037816193,4,0,0.7863587893481324,0.8242106052136374,specter2,scincl
cka_primary,10,0.0010963610958580894,-4.237255129588835e-05,2,2,0.5803402243987451,0.5877839814376228,specter2,scibert
cka_primary,11,0.009788531018830926,0.001698445378081237,3,1,0.5265809622025823,0.5368075329654858,specter2,bert
cka_primary,12,0.04138290690554414,0.010685737588806355,4,0,0.7369936061900423,0.7783765130955864,specter2,mpnet
cka_primary,13,0.04687871657274523,0.012365797282390756,4,0,0.686983726323911,0.7338624428966563,specter2,minilm
cka_primary,14,0.009967607055213157,0.0019553617636441033,3,1,0.5019555370611324,0.5119231441163455,specter2,pubmedbert
cka_primary,15,0.018172133437544757,0.00332609415973415,2,2,0.5290669840987998,0.5472391175363446,specter2,biobert
cka_primary,16,0.015825985806779796,0.004094858892726716,2,2,0.49601227789052965,0.513325812732931,specter2,simcse
cka_primary,17,0.032490970790004736,0.009500218503852608,3,1,0.5454371904483618,0.5798442330094783,scincl,scibert
cka_primary,18,0.015214835121253878,0.0038047502024581405,3,1,0.5399480845471064,0.5570284944786762,scincl,bert
cka_primary,19,0.025951699843438703,0.006807938445236661,4,0,0.7746548173679441,0.8006065172113828,scincl,mpnet
cka_primary,20,0.02864964673287529,0.007443408660553463,4,0,0.7292035737257228,0.757853220458598,scincl,minilm
cka_primary,21,0.02985780705768354,0.008259984565679423,4,0,0.4890121657858911,0.5188699728435746,scincl,pubmedbert
cka_primary,22,0.037040315311181904,0.009443399222334104,4,0,0.5169762236280391,0.554016538939221,scincl,biobert
cka_primary,23,0.016721770620038767,0.004354828244912868,4,0,0.5179261141974145,0.5346478848174533,scincl,simcse
cka_primary,24,-0.004423422028007051,-0.0014344773256078414,2,2,0.7300919003070907,0.7526879310145175,scibert,bert
cka_primary,25,0.03464971574818998,0.00911289249429248,4,0,0.535506389888031,0.570156105636221,scibert,mpnet
cka_primary,26,0.03524064456796816,0.01022765703057411,3,1,0.5208249192017603,0.5618941234426895,scibert,minilm
cka_primary,27,0.015295020435253992,0.0031206849562500196,3,1,0.8373407202666918,0.8526357407019458,scibert,pubmedbert
cka_primary,28,0.005736614837037468,0.00014785190571882102,2,2,0.8304877035162636,0.8417873536420905,scibert,biobert
cka_primary,29,0.004936572504738113,0.0018443621859068893,2,2,0.6197528318638148,0.640615033347025,scibert,simcse
cka_primary,30,0.021628797735474548,0.004927552497879928,3,1,0.5541234819488317,0.5757522796843062,bert,mpnet
cka_primary,31,0.01985042199565934,0.004969714173320527,2,2,0.5624180267099318,0.5861856452997783,bert,minilm
cka_primary,32,0.0003778867879504766,-0.0004254638665071475,2,2,0.7394985032832193,0.7506345578150242,bert,pubmedbert
cka_primary,33,0.0014321349496825286,-0.0003436202762769014,3,1,0.7694031970444297,0.7785600615510896,bert,biobert
cka_primary,34,0.0001789138612608987,-0.00022220605508067593,2,2,0.780692016695222,0.7859289526212752,bert,simcse
cka_primary,35,0.020434941245049076,0.0053269778740337335,4,0,0.8245277093654071,0.8449626506104562,mpnet,minilm
cka_primary,36,0.03724245403595533,0.009359503806330893,4,0,0.48377267895583626,0.5210151329917916,mpnet,pubmedbert
cka_primary,37,0.04259829138454263,0.010085199079759221,4,0,0.5189259184352277,0.5615242098197704,mpnet,biobert
cka_primary,38,0.01814137641301894,0.0045504291013563234,3,1,0.5362602465207364,0.5544016229337554,mpnet,simcse
cka_primary,39,0.033945790557854405,0.009260765761703326,3,1,0.47952943792827696,0.5146462508454898,minilm,pubmedbert
cka_primary,40,0.04107805443677315,0.010506681440370081,3,1,0.5129497614966089,0.5551355429480946,minilm,biobert
cka_primary,41,0.012777341006130594,0.00331839350573111,3,1,0.5611336616175147,0.5739110026236452,minilm,simcse
cka_primary,42,0.005600882758821535,0.0002746632491532397,2,2,0.8549235962676344,0.8643660040207629,pubmedbert,biobert
cka_primary,43,0.0029602362285056083,0.0007937585145580739,2,2,0.6167154160703094,0.6260978316967202,pubmedbert,simcse
cka_primary,44,0.006016415502389072,0.0010634095918992336,2,2,0.632000072105038,0.6476461052637073,biobert,simcse
rsa_spearman_primary,0,0.050382560801211285,0.013580268314500366,4,0,0.6163958601832159,0.6667784209844272,specter,specter2
rsa_spearman_primary,1,0.03689238385657956,0.010214122263203151,4,0,0.7099410677997351,0.7468334516563147,specter,scincl
rsa_spearman_primary,2,0.02324367820271217,0.006197870757945134,4,0,0.4506499642880212,0.47389364249073335,specter,scibert
rsa_spearman_primary,3,0.019259159066638554,0.004671540698652188,3,1,0.4477757468573914,0.46703490592402996,specter,bert
rsa_spearman_primary,4,0.031621172416679055,0.008364155798416295,4,0,0.6826072785402577,0.7142284509569368,specter,mpnet
rsa_spearman_primary,5,0.03404256249808468,0.008794911579095932,4,0,0.6531355702400534,0.6871781327381381,specter,minilm
rsa_spearman_primary,6,0.02313115765877488,0.005128018405246837,3,1,0.4212223567066668,0.4443535143654417,specter,pubmedbert
rsa_spearman_primary,7,0.04179859527856061,0.010431225570346137,4,0,0.4056982617360664,0.447496857014627,specter,biobert
rsa_spearman_primary,8,0.021159015396157665,0.00542194120354218,3,1,0.3860110948711239,0.41107059187898454,specter,simcse
rsa_spearman_primary,9,0.053980607135026615,0.014130479719503809,4,0,0.6584241533939268,0.7124047605289534,specter2,scincl
rsa_spearman_primary,10,0.08534483583269292,0.020323845176080192,4,0,0.3505428626884495,0.4358876985211424,specter2,scibert
rsa_spearman_primary,11,0.09062674052588487,0.022367495450010443,4,0,0.28645462385183756,0.37708136437772244,specter2,bert
rsa_spearman_primary,12,0.05552226403206195,0.014100775324904391,4,0,0.6374335850479629,0.6929558490800248,specter2,mpnet
rsa_spearman_primary,13,0.06352500633825087,0.016483263026231175,4,0,0.5765533554231755,0.6400783617614264,specter2,minilm
rsa_spearman_primary,14,0.09925126106903936,0.023895399866545996,4,0,0.28258098190100256,0.3818322429700419,specter2,pubmedbert
rsa_spearman_primary,15,0.10762007463784551,0.025867638402770742,4,0,0.2768322501711701,0.3844523248090156,specter2,biobert
rsa_spearman_primary,16,0.0729764451885373,0.017643786386441745,4,0,0.25224628983930797,0.32522273502784527,specter2,simcse
rsa_spearman_primary,17,0.030334739223733476,0.008446684909346792,4,0,0.3927189240581895,0.42305366328192295,scincl,scibert
rsa_spearman_primary,18,0.016729219505488502,0.004962779117232063,3,1,0.3798552871300037,0.4053336835724108,scincl,bert
rsa_spearman_primary,19,0.01409112570059734,0.003921763885734087,3,1,0.7219149830488257,0.7365503684184908,scincl,mpnet
rsa_spearman_primary,20,0.017699734298068592,0.004898089431258512,3,1,0.6731335605146032,0.6934598048690724,scincl,minilm
rsa_spearman_primary,21,0.03528659774655507,0.009179132411808445,3,1,0.34916842399711306,0.3851901266504752,scincl,pubmedbert
rsa_spearman_primary,22,0.037551521894966744,0.009814875556482573,3,1,0.33813655205466847,0.3786735058024723,scincl,biobert
rsa_spearman_primary,23,0.002137389831894154,0.0012901531927953847,2,2,0.34471999964064687,0.36041674500346493,scincl,simcse
rsa_spearman_primary,24,-0.012448884203925648,-0.0022623228242740325,1,3,0.7262876260899896,0.7452493836513691,scibert,bert
rsa_spearman_primary,25,0.05030612764241027,0.011831174696088608,4,0,0.43472252490489216,0.48502865254730243,scibert,mpnet
rsa_spearman_primary,26,0.037753219150621964,0.009957168550355189,4,0,0.4439444994794692,0.48169771863009114,scibert,minilm
rsa_spearman_primary,27,0.0023815338085174664,0.0004152558438162091,2,2,0.8458612929576252,0.8512042262961654,scibert,pubmedbert
rsa_spearman_primary,28,-0.00207676530946288,-0.0008969281111690375,1,3,0.8302597874437707,0.8352475245559096,scibert,biobert
rsa_spearman_primary,29,0.0024761844886859175,0.0013996327039807576,1,3,0.5412498569767107,0.5562485958549278,scibert,simcse
rsa_spearman_primary,30,0.028829837807096803,0.006526390264974691,3,1,0.4800387589789399,0.5088685967860367,bert,mpnet
rsa_spearman_primary,31,0.020099632034997428,0.005100866760758205,3,1,0.5179453881081524,0.5396855913397721,bert,minilm
rsa_spearman_primary,32,-0.019880126573420753,-0.004543042951962795,1,3,0.7732490486802958,0.7931291752537165,bert,pubmedbert
rsa_spearman_primary,33,-0.008298296886929402,-0.0017922723391839313,1,3,0.7984382575092108,0.8067365543961402,bert,biobert
