Vecinos specter: 11/2000, n=2,166, 0.1s
Vecinos specter: 11/2005, n=2,528, 0.2s
Vecinos specter: 11/2010, n=3,940, 0.3s
Vecinos specter: 11/2015, n=4,298, 0.4s
Vecinos specter: 11/2020, n=6,491, 0.8s
Vecinos specter: 12/2000, n=2,166, 0.1s
Vecinos specter: 12/2005, n=2,166, 0.1s
Vecinos specter: 12/2010, n=2,186, 0.1s
Vecinos specter: 12/2015, n=2,732, 0.2s
Vecinos specter: 12/2020, n=3,380, 0.3s
Vecinos specter: 13/2000, n=2,739, 0.2s
Vecinos specter: 13/2005, n=4,071, 0.4s
Vecinos specter: 13/2010, n=5,251, 0.6s
Vecinos specter: 13/2015, n=5,596, 0.6s
Vecinos specter: 13/2020, n=6,840, 0.9s
Vecinos specter: 14/2000, n=2,166, 0.1s
Vecinos specter: 14/2005, n=2,166, 0.1s
Vecinos specter: 14/2010, n=2,186, 0.1s
Vecinos specter: 14/2015, n=2,660, 0.1s
Vecinos specter: 14/2020, n=4,040, 0.3s
Vecinos specter: 15/2000, n=2,166, 0.1s
Vecinos specter: 15/2005, n=2,166, 0.1s
Vecinos specter: 15/2010, n=2,166, 0.1s
Vecinos specter: 15/2015, n=2,166, 0.1s
Vecinos specter: 15/2020, n=2,166, 0.1s
Vecinos specter: 16/2000, n=2,166, 0.1s
Vecinos specter: 16/2005, n=2,166, 0.1s
Vecinos specter: 16/2010, n=2,166, 0.1s
Vecinos specter: 16/2015, n=2,166, 0.1s
Vecinos specter: 16/2020, n=2,166, 0.1s
Vecinos specter: 17/2000, n=3,310, 0.2s
Vecinos specter: 17/2005, n=5,594, 0.6s
Vecinos specter: 17/2010, n=7,094, 1.1s
Vecinos specter: 17/2015, n=6,858, 0.8s
Vecinos specter: 17/2020, n=9,972, 1.5s
Vecinos specter: 18/2000, n=2,166, 0.1s
Vecinos specter: 18/2005, n=2,166, 0.1s
Vecinos specter: 18/2010, n=2,166, 0.1s
Vecinos specter: 18/2015, n=2,166, 0.1s
Vecinos specter: 18/2020, n=2,166, 0.1s
Vecinos specter: 19/2000, n=2,166, 0.1s
Vecinos specter: 19/2005, n=2,166, 0.1s
Vecinos specter: 19/2010, n=2,166, 0.1s
Vecinos specter: 19/2015, n=2,166, 0.1s
Vecinos specter: 19/2020, n=2,166, 0.1s
Vecinos specter: 20/2000, n=2,166, 0.1s
Vecinos specter: 20/2005, n=2,166, 0.1s
Vecinos specter: 20/2010, n=2,166, 0.1s
Vecinos specter: 20/2015, n=2,166, 0.1s
Vecinos specter: 20/2020, n=2,845, 0.2s
Vecinos specter: 21/2000, n=2,166, 0.1s
Vecinos specter: 21/2005, n=2,166, 0.1s
Vecinos specter: 21/2010, n=2,166, 0.1s
Vecinos specter: 21/2015, n=2,166, 0.1s
Vecinos specter: 21/2020, n=2,166, 0.1s
Vecinos specter: 22/2000, n=6,990, 0.9s
Vecinos specter: 22/2005, n=11,310, 2.5s
Vecinos specter: 22/2010, n=15,203, 4.6s
Vecinos specter: 22/2015, n=14,738, 4.0s
Vecinos specter: 22/2020, n=18,907, 6.3s
Vecinos specter: 23/2000, n=2,166, 0.1s
Vecinos specter: 23/2005, n=2,876, 0.2s
Vecinos specter: 23/2010, n=4,005, 0.4s
Vecinos specter: 23/2015, n=4,018, 0.4s
Vecinos specter: 23/2020, n=5,919, 0.7s
Vecinos specter: 24/2000, n=2,166, 0.1s
Vecinos specter: 24/2005, n=2,166, 0.1s
Vecinos specter: 24/2010, n=2,166, 0.1s
Vecinos specter: 24/2015, n=2,166, 0.1s
Vecinos specter: 24/2020, n=2,166, 0.1s
Vecinos specter: 25/2000, n=2,166, 0.1s
Vecinos specter: 25/2005, n=2,166, 0.1s
Vecinos specter: 25/2010, n=2,962, 0.2s
Vecinos specter: 25/2015, n=3,152, 0.2s
Vecinos specter: 25/2020, n=3,787, 0.3s
Vecinos specter: 26/2000, n=2,166, 0.1s
Vecinos specter: 26/2005, n=2,166, 0.1s
Vecinos specter: 26/2010, n=2,166, 0.1s
Vecinos specter: 26/2015, n=2,166, 0.1s
Vecinos specter: 26/2020, n=2,166, 0.1s
Vecinos specter: 27/2000, n=7,128, 1.0s
Vecinos specter: 27/2005, n=10,946, 2.4s
Vecinos specter: 27/2010, n=15,771, 4.8s
Vecinos specter: 27/2015, n=18,629, 6.7s
Vecinos specter: 27/2020, n=26,195, 13.1s
Vecinos specter: 28/2000, n=2,166, 0.1s
Vecinos specter: 28/2005, n=2,166, 0.1s
Vecinos specter: 28/2010, n=2,166, 0.1s
Vecinos specter: 28/2015, n=2,166, 0.1s
Vecinos specter: 28/2020, n=2,166, 0.1s
Vecinos specter: 29/2000, n=2,166, 0.1s
