primary: Field 11, 2005, n=2,528, 28.7s
primary: Field 11, 2010, n=3,940, 4.2s
primary: Field 11, 2015, n=4,298, 4.3s
primary: Field 11, 2020, n=6,491, 5.2s
primary: Field 12, 2000, n=2,166, 3.4s
primary: Field 12, 2005, n=2,166, 3.4s
primary: Field 12, 2010, n=2,186, 3.5s
primary: Field 12, 2015, n=2,732, 3.6s
primary: Field 12, 2020, n=3,380, 3.9s
primary: Field 13, 2000, n=2,739, 3.6s
primary: Field 13, 2005, n=4,071, 4.1s
primary: Field 13, 2010, n=5,251, 4.5s
primary: Field 13, 2015, n=5,596, 4.6s
primary: Field 13, 2020, n=6,840, 5.1s
primary: Field 14, 2000, n=2,166, 3.3s
primary: Field 14, 2005, n=2,166, 3.4s
primary: Field 14, 2010, n=2,186, 3.5s
primary: Field 14, 2015, n=2,660, 3.6s
primary: Field 14, 2020, n=4,040, 4.1s
primary: Field 15, 2000, n=2,166, 3.4s
primary: Field 15, 2005, n=2,166, 3.4s
primary: Field 15, 2010, n=2,166, 3.3s
primary: Field 15, 2015, n=2,166, 3.3s
primary: Field 15, 2020, n=2,166, 3.3s
primary: Field 16, 2000, n=2,166, 3.3s
primary: Field 16, 2005, n=2,166, 3.4s
primary: Field 16, 2010, n=2,166, 3.4s
primary: Field 16, 2015, n=2,166, 3.3s
primary: Field 16, 2020, n=2,166, 3.4s
primary: Field 17, 2000, n=3,310, 3.9s
primary: Field 17, 2005, n=5,594, 4.6s
primary: Field 17, 2010, n=7,094, 5.2s
primary: Field 17, 2015, n=6,858, 5.0s
primary: Field 17, 2020, n=9,972, 6.4s
primary: Field 18, 2000, n=2,166, 3.4s
primary: Field 18, 2005, n=2,166, 3.4s
primary: Field 18, 2010, n=2,166, 3.3s
primary: Field 18, 2015, n=2,166, 3.4s
primary: Field 18, 2020, n=2,166, 3.4s
primary: Field 19, 2000, n=2,166, 3.4s
primary: Field 19, 2005, n=2,166, 3.3s
primary: Field 19, 2010, n=2,166, 3.4s
primary: Field 19, 2015, n=2,166, 3.4s
primary: Field 19, 2020, n=2,166, 3.3s
primary: Field 20, 2000, n=2,166, 3.3s
primary: Field 20, 2005, n=2,166, 3.3s
primary: Field 20, 2010, n=2,166, 3.3s
primary: Field 20, 2015, n=2,166, 3.4s
primary: Field 20, 2020, n=2,845, 3.6s
primary: Field 21, 2000, n=2,166, 3.4s
primary: Field 21, 2005, n=2,166, 3.4s
primary: Field 21, 2010, n=2,166, 3.3s
primary: Field 21, 2015, n=2,166, 3.4s
primary: Field 21, 2020, n=2,166, 3.4s
primary: Field 22, 2000, n=6,990, 5.1s
primary: Field 22, 2005, n=11,310, 6.5s
primary: Field 22, 2010, n=15,203, 8.0s
primary: Field 22, 2015, n=14,738, 7.6s
primary: Field 22, 2020, n=18,907, 9.3s
primary: Field 23, 2000, n=2,166, 3.4s
primary: Field 23, 2005, n=2,876, 3.7s
primary: Field 23, 2010, n=4,005, 4.1s
primary: Field 23, 2015, n=4,018, 4.0s
primary: Field 23, 2020, n=5,919, 4.8s
primary: Field 24, 2000, n=2,166, 3.4s
primary: Field 24, 2005, n=2,166, 3.4s
primary: Field 24, 2010, n=2,166, 3.3s
primary: Field 24, 2015, n=2,166, 3.4s
primary: Field 24, 2020, n=2,166, 3.3s
primary: Field 25, 2000, n=2,166, 3.4s
primary: Field 25, 2005, n=2,166, 3.4s
primary: Field 25, 2010, n=2,962, 3.6s
primary: Field 25, 2015, n=3,152, 3.6s
primary: Field 25, 2020, n=3,787, 4.0s
primary: Field 26, 2000, n=2,166, 3.3s
primary: Field 26, 2005, n=2,166, 3.3s
primary: Field 26, 2010, n=2,166, 3.4s
primary: Field 26, 2015, n=2,166, 3.4s
primary: Field 26, 2020, n=2,166, 3.4s
primary: Field 27, 2000, n=7,128, 5.1s
primary: Field 27, 2005, n=10,946, 6.4s
primary: Field 27, 2010, n=15,771, 8.2s
primary: Field 27, 2015, n=18,629, 9.1s
primary: Field 27, 2020, n=26,195, 15.8s
