field_id,period_start,base,extra,total
11,2000,1663,503,2166
11,2005,2528,0,2528
11,2010,3940,0,3940
11,2015,4298,0,4298
11,2020,6491,0,6491
12,2000,847,1319,2166
12,2005,1551,615,2166
12,2010,2186,0,2186
12,2015,2732,0,2732
12,2020,3380,0,3380
13,2000,2739,0,2739
13,2005,4071,0,4071
13,2010,5251,0,5251
13,2015,5596,0,5596
13,2020,6840,0,6840
14,2000,762,1404,2166
14,2005,1489,677,2166
14,2010,2186,0,2186
14,2015,2660,0,2660
14,2020,4040,0,4040
15,2000,161,2005,2166
15,2005,214,1952,2166
15,2010,246,1920,2166
15,2015,255,1911,2166
15,2020,319,1847,2166
16,2000,931,1235,2166
16,2005,1358,808,2166
16,2010,1686,480,2166
16,2015,1555,611,2166
16,2020,1760,406,2166
17,2000,3310,0,3310
17,2005,5594,0,5594
17,2010,7094,0,7094
17,2015,6858,0,6858
17,2020,9972,0,9972
18,2000,290,1876,2166
18,2005,567,1599,2166
18,2010,883,1283,2166
18,2015,921,1245,2166
18,2020,1156,1010,2166
19,2000,851,1315,2166
19,2005,1203,963,2166
19,2010,1604,562,2166
19,2015,1716,450,2166
19,2020,1882,284,2166
20,2000,773,1393,2166
20,2005,1236,930,2166
20,2010,1849,317,2166
20,2015,1917,249,2166
20,2020,2845,0,2845
21,2000,116,2050,2166
21,2005,240,1926,2166
21,2010,591,1575,2166
21,2015,680,1486,2166
21,2020,990,1176,2166
22,2000,6990,0,6990
22,2005,11310,0,11310
22,2010,15203,0,15203
22,2015,14738,0,14738
22,2020,18907,0,18907
23,2000,1751,415,2166
23,2005,2876,0,2876
23,2010,4005,0,4005
23,2015,4018,0,4018
23,2020,5919,0,5919
24,2000,534,1632,2166
24,2005,764,1402,2166
24,2010,924,1242,2166
24,2015,1028,1138,2166
24,2020,1206,960,2166
25,2000,1292,874,2166
25,2005,2142,24,2166
25,2010,2962,0,2962
25,2015,3152,0,3152
25,2020,3787,0,3787
26,2000,386,1780,2166
26,2005,639,1527,2166
26,2010,893,1273,2166
26,2015,1108,1058,2166
26,2020,1555,611,2166
27,2000,7128,0,7128
27,2005,10946,0,10946
27,2010,15771,0,15771
27,2015,18629,0,18629
27,2020,26195,0,26195
28,2000,718,1448,2166
28,2005,1005,1161,2166
28,2010,1408,758,2166
28,2015,1640,526,2166
28,2020,2053,113,2166
29,2000,182,1984,2166
29,2005,285,1881,2166
29,2010,453,1713,2166
29,2015,497,1669,2166
29,2020,660,1506,2166
30,2000,154,2012,2166
30,2005,272,1894,2166
30,2010,442,1724,2166
30,2015,376,1790,2166
30,2020,471,1695,2166
31,2000,2116,50,2166
31,2005,2704,0,2704
31,2010,3094,0,3094
31,2015,3388,0,3388
31,2020,3470,0,3470
32,2000,838,1328,2166
32,2005,1342,824,2166
32,2010,2089,77,2166
32,2015,2577,0,2577
32,2020,3970,0,3970
33,2000,2776,0,2776
33,2005,4893,0,4893
33,2010,7110,0,7110
33,2015,8891,0,8891
33,2020,13879,0,13879
34,2000,58,2108,2166
34,2005,100,2066,2166
34,2010,107,2058,2165
34,2015,165,2000,2165
34,2020,212,1953,2165
35,2000,159,2006,2165
35,2005,260,1905,2165
35,2010,441,1724,2165
35,2015,544,1621,2165
35,2020,834,1331,2165
36,2000,589,1576,2165
36,2005,933,1232,2165
36,2010,1504,661,2165
36,2015,1877,288,2165
36,2020,2833,0,2833
