field_id,field_name,base,extra,total
11,Agricultural and Biological Sciences,18920,503,19423
12,Arts and Humanities,10696,1934,12630
13,"Biochemistry, Genetics and Molecular Biology",24497,0,24497
14,"Business, Management and Accounting",11137,2081,13218
15,Chemical Engineering,1195,9635,10830
16,Chemistry,7290,3540,10830
17,Computer Science,32828,0,32828
18,Decision Sciences,3817,7013,10830
19,Earth and Planetary Sciences,7256,3574,10830
20,"Economics, Econometrics and Finance",8620,2889,11509
21,Energy,2617,8213,10830
22,Engineering,67148,0,67148
23,Environmental Science,18569,415,18984
24,Immunology and Microbiology,4456,6374,10830
25,Materials Science,13335,898,14233
26,Mathematics,4581,6249,10830
27,Medicine,78669,0,78669
28,Neuroscience,6824,4006,10830
29,Nursing,2077,8753,10830
30,"Pharmacology, Toxicology and Pharmaceutics",1715,9115,10830
31,Physics and Astronomy,14772,50,14822
32,Psychology,10816,2229,13045
33,Social Sciences,37549,0,37549
34,Veterinary,642,10185,10827
35,Dentistry,2238,8587,10825
36,Health Professions,7736,3757,11493
