field_id,publication_year,cohort,n
11,2000,base,300
11,2000,extra,85
11,2001,base,289
11,2001,extra,86
11,2002,base,327
11,2002,extra,109
11,2003,base,342
11,2003,extra,110
11,2004,base,405
11,2004,extra,113
11,2005,base,418
11,2006,base,475
11,2007,base,471
11,2008,base,520
11,2009,base,644
11,2010,base,697
11,2011,base,691
11,2012,base,792
11,2013,base,874
11,2014,base,886
11,2015,base,769
11,2016,base,774
11,2017,base,800
11,2018,base,964
11,2019,base,991
11,2020,base,1213
11,2021,base,1260
11,2022,base,1238
11,2023,base,1347
11,2024,base,1433
12,2000,base,124
12,2000,extra,208
12,2001,base,147
12,2001,extra,214
12,2002,base,167
12,2002,extra,256
12,2003,base,187
12,2003,extra,302
12,2004,base,222
12,2004,extra,339
12,2005,base,263
12,2005,extra,93
12,2006,base,277
12,2006,extra,120
12,2007,base,313
12,2007,extra,116
12,2008,base,338
12,2008,extra,144
12,2009,base,360
12,2009,extra,142
12,2010,base,355
12,2011,base,433
12,2012,base,427
12,2013,base,474
12,2014,base,497
12,2015,base,562
12,2016,base,581
12,2017,base,489
12,2018,base,489
12,2019,base,611
12,2020,base,630
12,2021,base,626
12,2022,base,789
12,2023,base,681
12,2024,base,654
13,2000,base,503
13,2001,base,510
13,2002,base,535
13,2003,base,584
13,2004,base,607
13,2005,base,718
13,2006,base,781
13,2007,base,779
13,2008,base,854
13,2009,base,939
13,2010,base,950
13,2011,base,1026
13,2012,base,1043
13,2013,base,1102
13,2014,base,1130
13,2015,base,1111
13,2016,base,1057
13,2017,base,1088
13,2018,base,1101
13,2019,base,1239
13,2020,base,1313
13,2021,base,1412
13,2022,base,1460
13,2023,base,1364
13,2024,base,1291
14,2000,base,108
14,2000,extra,190
14,2001,base,120
14,2001,extra,231
14,2002,base,147
14,2002,extra,268
14,2003,base,191
14,2003,extra,356
14,2004,base,196
14,2004,extra,359
14,2005,base,238
14,2005,extra,108
14,2006,base,266
14,2006,extra,113
14,2007,base,307
14,2007,extra,138
14,2008,base,304
14,2008,extra,137
14,2009,base,374
14,2009,extra,181
14,2010,base,374
14,2011,base,468
14,2012,base,430
14,2013,base,429
14,2014,base,485
14,2015,base,487
14,2016,base,446
14,2017,base,511
14,2018,base,560
14,2019,base,656
14,2020,base,684
14,2021,base,708
14,2022,base,729
14,2023,base,937
14,2024,base,982
15,2000,base,32
15,2000,extra,340
15,2001,base,25
15,2001,extra,400
15,2002,base,31
15,2002,extra,383
15,2003,base,44
15,2003,extra,409
15,2004,base,29
15,2004,extra,473
15,2005,base,37
15,2005,extra,314
15,2006,base,36
15,2006,extra,386
15,2007,base,30
15,2007,extra,405
15,2008,base,48
15,2008,extra,384
15,2009,base,63
15,2009,extra,463
15,2010,base,50
15,2010,extra,328
15,2011,base,41
15,2011,extra,399
15,2012,base,46
15,2012,extra,361
15,2013,base,46
15,2013,extra,425
15,2014,base,63
15,2014,extra,407
15,2015,base,48
15,2015,extra,383
15,2016,base,49
15,2016,extra,359
15,2017,base,45
15,2017,extra,369
15,2018,base,60
15,2018,extra,412
15,2019,base,53
15,2019,extra,388
15,2020,base,70
15,2020,extra,378
15,2021,base,67
15,2021,extra,326
15,2022,base,59
15,2022,extra,356
15,2023,base,55
15,2023,extra,372
15,2024,base,68
15,2024,extra,415
16,2000,base,168
16,2000,extra,207
16,2001,base,158
16,2001,extra,241
16,2002,base,183
16,2002,extra,236
16,2003,base,200
16,2003,extra,268
16,2004,base,222
16,2004,extra,283
16,2005,base,228
16,2005,extra,141
16,2006,base,249
16,2006,extra,150
16,2007,base,269
16,2007,extra,152
16,2008,base,295
16,2008,extra,176
16,2009,base,317
16,2009,extra,189
16,2010,base,324
16,2010,extra,81
16,2011,base,358
16,2011,extra,106
16,2012,base,325
16,2012,extra,100
16,2013,base,329
16,2013,extra,107
16,2014,base,350
16,2014,extra,86
16,2015,base,305
16,2015,extra,137
16,2016,base,282
16,2016,extra,110
16,2017,base,268
16,2017,extra,118
16,2018,base,323
16,2018,extra,119
16,2019,base,377
16,2019,extra,127
16,2020,base,393
16,2020,extra,74
16,2021,base,352
16,2021,extra,86
16,2022,base,324
16,2022,extra,73
16,2023,base,344
16,2023,extra,80
16,2024,base,347
16,2024,extra,93
17,2000,base,282
17,2001,base,390
17,2002,base,1136
17,2003,base,795
17,2004,base,707
17,2005,base,959
17,2006,base,1067
17,2007,base,1100
17,2008,base,1167
17,2009,base,1301
17,2010,base,1435
17,2011,base,1428
17,2012,base,1386
17,2013,base,1467
17,2014,base,1378
17,2015,base,1316
17,2016,base,1262
17,2017,base,1320
17,2018,base,1405
17,2019,base,1555
17,2020,base,1704
17,2021,base,1851
17,2022,base,1942
17,2023,base,2190
17,2024,base,2285
18,2000,base,43
18,2000,extra,251
18,2001,base,34
18,2001,extra,292
18,2002,base,71
18,2002,extra,476
18,2003,base,76
18,2003,extra,413
18,2004,base,66
18,2004,extra,444
18,2005,base,94
18,2005,extra,232
18,2006,base,88
18,2006,extra,286
18,2007,base,98
18,2007,extra,344
18,2008,base,138
18,2008,extra,348
18,2009,base,149
18,2009,extra,389
18,2010,base,161
18,2010,extra,240
18,2011,base,168
18,2011,extra,240
18,2012,base,165
18,2012,extra,249
18,2013,base,179
18,2013,extra,246
18,2014,base,210
18,2014,extra,308
18,2015,base,203
18,2015,extra,239
18,2016,base,191
18,2016,extra,242
18,2017,base,148
18,2017,extra,234
18,2018,base,182
18,2018,extra,246
18,2019,base,197
18,2019,extra,284
18,2020,base,215
18,2020,extra,191
18,2021,base,219
18,2021,extra,193
18,2022,base,232
18,2022,extra,171
18,2023,base,215
18,2023,extra,207
18,2024,base,275
18,2024,extra,248
19,2000,base,121
