field_id,period_start,cohort,n,language_ambiguous,possible_mixed_language,content_review_flag,possible_notice,possible_access_message,abstract_50_79,abstract_over_2000
11,2000,base,1663,62,25,0,0,0,178,3
11,2000,extra,503,13,4,0,0,0,57,0
11,2005,base,2528,99,29,0,0,0,248,1
11,2010,base,3940,134,59,0,0,0,251,2
11,2015,base,4298,103,39,0,0,0,189,0
11,2020,base,6491,110,37,0,0,0,186,5
12,2000,base,847,94,10,0,0,0,179,0
12,2000,extra,1319,136,14,0,0,0,266,0
12,2005,base,1551,120,19,0,0,0,300,0
12,2005,extra,615,45,4,0,0,0,113,0
12,2010,base,2186,123,21,0,0,0,267,3
12,2015,base,2732,118,38,0,0,0,217,3
12,2020,base,3380,195,96,3,0,0,217,8
13,2000,base,2739,49,3,0,0,0,185,0
13,2005,base,4071,80,17,0,0,0,279,2
13,2010,base,5251,68,12,1,0,0,315,2
13,2015,base,5596,60,13,1,0,0,217,2
13,2020,base,6840,52,7,0,0,0,211,5
14,2000,base,762,23,7,0,0,0,158,0
14,2000,extra,1404,24,6,0,0,0,303,0
14,2005,base,1489,32,8,0,0,0,282,1
14,2005,extra,677,13,5,0,0,0,127,0
14,2010,base,2186,40,19,0,0,0,250,2
14,2015,base,2660,57,33,0,0,0,123,1
14,2020,base,4040,66,42,0,0,0,105,1
15,2000,base,161,5,0,0,0,0,17,0
15,2000,extra,2005,47,2,0,0,0,276,0
15,2005,base,214,5,0,0,0,0,25,0
15,2005,extra,1952,42,5,0,0,0,221,1
15,2010,base,246,5,1,0,0,0,25,0
15,2010,extra,1920,33,7,0,0,0,183,0
15,2015,base,255,1,0,0,0,0,20,0
15,2015,extra,1911,22,4,0,0,0,124,0
15,2020,base,319,3,1,0,0,0,14,0
15,2020,extra,1847,12,2,0,0,0,82,1
16,2000,base,931,48,1,0,0,0,183,0
16,2000,extra,1235,45,1,0,0,0,265,0
16,2005,base,1358,63,5,0,0,0,278,1
16,2005,extra,808,34,1,0,0,0,175,2
16,2010,base,1686,59,6,0,0,0,299,0
16,2010,extra,480,21,1,0,0,0,83,0
16,2015,base,1555,44,4,0,0,0,240,0
16,2015,extra,611,24,4,0,0,0,95,0
16,2020,base,1760,34,1,0,0,0,206,0
16,2020,extra,406,3,0,0,0,0,31,0
17,2000,base,3310,59,19,0,0,0,721,0
17,2005,base,5594,99,29,0,0,0,1112,0
17,2010,base,7094,132,61,0,0,0,1026,2
17,2015,base,6858,138,71,0,0,0,458,0
17,2020,base,9972,130,67,0,0,0,339,3
18,2000,base,290,6,0,0,0,0,60,0
18,2000,extra,1876,32,4,0,0,0,333,1
18,2005,base,567,10,1,0,0,0,97,0
18,2005,extra,1599,28,5,0,0,0,258,0
18,2010,base,883,15,9,0,0,0,95,0
18,2010,extra,1283,16,10,0,0,0,149,1
18,2015,base,921,19,7,0,0,0,80,1
18,2015,extra,1245,17,7,0,0,0,80,0
18,2020,base,1156,5,0,0,0,0,54,0
18,2020,extra,1010,5,0,0,0,0,53,0
19,2000,base,851,45,5,0,0,0,81,0
19,2000,extra,1315,48,7,0,0,0,130,1
19,2005,base,1203,38,11,0,0,0,98,0
19,2005,extra,963,27,8,0,0,0,93,0
19,2010,base,1604,53,10,0,0,0,118,0
19,2010,extra,562,13,5,0,0,0,34,0
19,2015,base,1716,36,13,0,0,0,77,0
19,2015,extra,450,13,2,0,0,0,27,0
19,2020,base,1882,20,1,0,0,0,56,0
19,2020,extra,284,8,0,0,0,0,7,0
20,2000,base,773,26,7,0,0,0,154,0
20,2000,extra,1393,43,10,0,0,0,270,2
20,2005,base,1236,46,15,0,0,0,212,0
20,2005,extra,930,29,9,0,0,0,140,0
20,2010,base,1849,53,18,0,0,0,193,3
20,2010,extra,317,9,4,0,0,0,37,0
20,2015,base,1917,43,23,0,0,0,128,2
20,2015,extra,249,6,2,0,0,0,21,1
20,2020,base,2845,43,23,0,0,0,126,2
21,2000,base,116,4,0,0,0,0,23,0
21,2000,extra,2050,32,4,2,0,0,429,1
21,2005,base,240,1,1,0,0,0,40,0
21,2005,extra,1926,28,4,0,0,0,347,0
21,2010,base,591,9,4,0,0,0,68,0
21,2010,extra,1575,21,3,0,0,0,192,0
21,2015,base,680,8,4,0,0,0,36,0
21,2015,extra,1486,9,3,0,0,0,95,1
21,2020,base,990,4,1,0,0,0,33,0
21,2020,extra,1176,6,0,0,0,0,30,1
22,2000,base,6990,77,18,1,0,0,1484,1
22,2005,base,11310,224,43,0,1,0,2116,1
22,2010,base,15203,251,98,0,0,0,1991,0
22,2015,base,14738,181,77,1,0,0,1001,0
22,2020,base,18907,117,20,0,0,0,664,1
23,2000,base,1751,58,14,0,0,0,187,1
23,2000,extra,415,15,5,0,0,0,40,0
23,2005,base,2876,58,16,0,0,0,283,0
23,2010,base,4005,90,41,1,0,0,285,0
23,2015,base,4018,79,31,2,0,0,150,0
23,2020,base,5919,81,40,0,0,0,147,1
24,2000,base,534,7,1,0,0,0,24,1
24,2000,extra,1632,21,3,0,0,0,81,2
24,2005,base,764,13,4,0,0,0,49,0
24,2005,extra,1402,15,4,2,0,0,73,1
24,2010,base,924,5,1,0,0,0,29,1
