source_block,candidate_rank,work_id,text_sha256,reasons
1,106,W2595933779,e2b911bf6e795f7a3593e1737339045ae28258d2e2df939b6ba4fcabe732ecbd,"[""non_abstract:reviewed_non_abstract_template""]"
1,138,W3137799247,cbe64d0438b37926ccd0f4e8dd5f655ac80731c1e4ba01722a7c9941cb0bcb3a,"[""clear_non_english_abstract""]"
1,227,W4353100260,1c729663e19fda0c582a4da4dbe480b215b6496de6d2e1bac8187f1569d95bf7,"[""clear_non_english_abstract""]"
1,366,W3203183458,0523174568fe76104e5f639023b2e33a5c61412b2ca0455b0c14d9e0ef05d24c,"[""clear_non_english_abstract""]"
1,475,W4225873961,6b77824f068f3d6e42b4b3781f69dc607408075e27d3d6d42868c588e589643e,"[""clear_non_english_abstract""]"
1,560,W7135317188,0608019c16867815f6e23cb2ee6644a80f00ba4d5486d14bdec4939db0f856da,"[""clear_non_english_abstract""]"
1,588,W2807499290,7b0b80858407d4398a05e8752e2ef4a26a2d9dc0bd341b91c404ff25051e95d6,"[""clear_non_english_abstract""]"
1,722,W4212982403,cd8e0c9b1f446a02d2e9ee9781978e253a02497857418103b7264385177b77a9,"[""clear_non_english_abstract""]"
1,873,W4394721820,8a7cf7ca5860c2f739ef79605b82caffa1160d6c76f514e1f8bbc6f0aed9eadd,"[""clear_non_english_abstract""]"
1,940,W2913219316,4c1e67e14be1e6601dd406aef1dd7809f5f22a671150f8af782af77c9aac6931,"[""clear_non_english_abstract""]"
1,958,W3171982092,d1071c734ec27935555589ed4c2ec17d678e0b2f214e4228d91961e9b07d324b,"[""clear_non_english_abstract""]"
1,965,W7211003271,eac89f4dcf53daf69ee61e88c405c44307e244058a3129728a80c97a9c1fd4ef,"[""non_abstract:reviewed_non_abstract_template""]"
1,1058,W4205268744,ef212284ac828d5d1230b38b708523aa4dd168490602bbec08a5c29d29613478,"[""clear_non_english_abstract""]"
1,1291,W2320140927,a254415ca05070a810d6e41b08775da7ec2dc5b13967e68bd6c449858102ae9f,"[""clear_non_english_abstract""]"
1,1370,W4229508185,22d934958b7cb6c3de195b8faf8618e3206f1406fac4cc8bdd764050b6302dc3,"[""clear_non_english_abstract""]"
1,1418,W2801008720,c456a8892cc682759fe63f08aefd78d20f8ae69ff57333064c597519705238b0,"[""clear_non_english_abstract""]"
1,1436,W3209064059,0554b1721f87a92e94e85baf0b414c34a3261ff6179ec2e797165be662798f34,"[""clear_non_english_abstract""]"
1,1518,W2324603214,48a05f614ab2f3388f148318bcee82d40445e111052542d7c39c154a02be684c,"[""non_abstract:reviewed_non_abstract_template""]"
1,1597,W2938472396,5908c439e266dc27d2b7d81a31823220c19d526710ad3fc3c104c173d0a9cf5d,"[""clear_non_english_abstract""]"
1,1693,W4307673349,7d7b788891d33074b344eb8c41f41da82111765d6a23662fe579418eec457f10,"[""clear_non_english_abstract""]"
1,1845,W2528452503,66845343277976a33864e50b471bce91fc3566653383f71b7b724e3178767790,"[""clear_non_english_abstract""]"
1,2214,W2808142743,f460156cba22845e8fb0e5c247a161783976a1ab75edf3be9ce385be58eb8904,"[""non_abstract:reviewed_non_abstract_template""]"
1,2260,W228634152,6b94f1cd539613def5fb109f52aa6083a65a5e462868908f2ee3b477d59f2bf2,"[""clear_non_english_abstract""]"
1,2290,W2566659700,f4127ab78b911a1e1146fa4c9d12c227bbd4564579f3d691f5cf6e2380d474e3,"[""clear_non_english_abstract""]"
1,2453,W4254434026,8675642fe8313a818b08c854b222b093fac78558e60ce6ac12ea996b8386042c,"[""clear_non_english_abstract""]"
1,2471,W3212014102,03f917511d33a554c1633818427f76882f0cb04f6d055113d032c9a2e21fea08,"[""clear_non_english_abstract""]"
1,2513,W3125412158,200b9b12f3eab625b822be62faeaa5236ba9be68fd3df679e50bf57af91e4526,"[""clear_non_english_abstract""]"
1,2546,W2296308476,b398c0fcdc9086c3e30c4efb694232398e73605014b8ecba3f2e4b0cecb5aed0,"[""clear_non_english_abstract""]"
1,2562,W4224223871,aa60f05965230604dc5790c10ad0cc52078e47a49a4189d7b6e88385170d0e9c,"[""clear_non_english_abstract""]"
1,2607,W2621308901,b3e914fee95544a07c6a2f0a6b3e5d0c943cac477f976505af0416387abac74a,"[""clear_non_english_abstract""]"
1,2614,W4387959068,f3a43cf1e64994aa7fc43a62b367c28f43ba7d0b596d5c1147125f444a8f798e,"[""clear_non_english_abstract""]"
1,2615,W2890765559,08e03e669bffc24430f06b11ca8b4969d5954bb18d88ac993813bea99a42b37f,"[""clear_non_english_abstract""]"
1,2677,W2518450714,e02af65823f12378fdd956187b060fb2a3299b182b17ef7196ad91c5c7a8805e,"[""clear_non_english_abstract""]"
1,2752,W1549312164,18f4844052dd5f0c1d12ee66b39590adf013ac9008337886c4945618a3ee01c1,"[""clear_non_english_abstract""]"
1,2893,W1259566397,991a92991aaec653cb26b47c624e6cfa7f765726f09de192bea781f547f62eaf,"[""clear_non_english_abstract""]"
1,2914,W2954518579,861a63de3750d065aee5f6bc2949682d08d4179d810c1246e9e48b299d715b60,"[""clear_non_english_abstract""]"
1,2966,W2531871805,66f87bac47cb1645c0c63d025953049e31247a5eb15cf10d0b5d6cca8212e74c,"[""clear_non_english_abstract""]"
1,3057,W4200318176,66fd5b3ec3f581ff027e59bb50bf431fe99156d0b54eb452a4127532f2ec02f6,"[""non_abstract:reviewed_non_abstract_template""]"
1,3107,W2462045643,c65fc4d1de98d3c1e5fdf58548c0685cb8cb9d29796ff3e6082ee87a56183c17,"[""clear_non_english_abstract""]"
1,3498,W7209565908,2f444ae70807b7dca7598c33b92f4fa28c34ffc8340463ac0742409e294fbe5f,"[""non_abstract:reviewed_non_abstract_template""]"
1,3698,W2765614227,ae9e8c6676f6e2d0b771ccc73ebf259d2d91a2536b2027208dcf4de7a240c4aa,"[""clear_non_english_abstract""]"
1,3713,W2977645010,9d3fe420e8f35e64f4fc3a24f9465adc67f3da8bd1af347248e2261b5fed6b97,"[""non_abstract:reviewed_non_abstract_template"", ""clear_non_english_abstract""]"
1,4042,W4395006129,9455270ab0947625da70282304f73fc5a4512ae1d62f7835e9bcb2c64a471058,"[""non_abstract:reviewed_non_abstract_template""]"
1,4105,W1578711211,63a362102a356abe392d3e7bedfbfabd9fc0eedfb7788d4a4834278dd0b9e135,"[""clear_non_english_abstract""]"
1,4112,W2554676111,e68069f031f1a907de6deb154b956dd01c635442b91c9fb86b20ecfdef6b29b0,"[""clear_non_english_abstract""]"
1,4312,W4385524141,7cbfb2adfc1f22d94140a514725f2bc35b0f5f1caa69872aac0a01c43619e93d,"[""clear_non_english_abstract""]"
1,4464,W4367628008,beb9cb118741ee180293e90a39edac687f6fbeb552a3eed473119394b513ff15,"[""non_abstract:reviewed_non_abstract_template""]"
1,4518,W3108994138,81789c49a468c531b6158d8fa39ce9b15d30d74e47b402d9ebe8b2c6e1f40b2f,"[""clear_non_english_abstract""]"
1,4650,W3006212050,f8122e8c674e6ee790371332082dce42ac89f97614f5862e31030265b0cada76,"[""clear_non_english_abstract""]"
1,4671,W4406484603,0ce16c7d47ec2037939fe9dd86b10691c2e301a8df3de0dcd93b39dbe72f6ac7,"[""clear_non_english_abstract""]"
1,4676,W4280612582,4003b41b5bee346c24b683208a6b6434035af45383e18656f72a26f4a0566270,"[""clear_non_english_abstract""]"
1,4837,W4205460874,6d1270b83c325430e71b82a9f8902f8fd66a6161a243f70d568c09631276278d,"[""clear_non_english_abstract""]"
1,4977,W2044674512,4df0c3127965238e627a11a67790c3ed01aae534a3c72039f22245925cfbe289,"[""non_abstract:acs_webpage_instead_of_abstract""]"
1,4984,W4233854772,c4f47f35963117a79eb2047e56405771d817889fa79e67df7d41c94e65c5902d,"[""non_abstract:acs_webpage_instead_of_abstract""]"
1,5141,W4249689553,a49a50a3c6b8be6f27e64bd7ec21d843b3d1538bbd5dd78c25be0052442592c1,"[""clear_non_english_abstract""]"
1,5441,W2950504300,da5f985620ab7c6fa9ba122883cea5484e96fabbc45585e5558ec3961ebff3f5,"[""non_abstract:reviewed_non_abstract_template""]"
1,5469,W4323044823,e84d9f2a8934e2b8dba58bde1c8116454c33632651966de89b0ae39527c0dd56,"[""clear_non_english_abstract""]"
1,5562,W4246399897,54af0446da9b5e3676f4fedda36591b53ca940ed0a921d6f70c618093016d7e2,"[""non_abstract:publisher_navigation_instead_of_abstract""]"
1,5602,W4248830194,6711b64748bbee363a3f2f9e6fc3dd062e3ea05253a8c4cddf0e367ad8ab95b4,"[""clear_non_english_abstract""]"
