group,n,abstract_sha256,work_ids,action
0,61,022005457d7e85e01e9b0ad5c36d3c653c699a1d30091d5f5db75d8ace6e3dbc,"W2324603214,W4250236288,W3139769870,W4250008896,W3143597089,W4239927407,W4243404666,W4233015379,W4239352436,W2091959032,W4243263368,W4252423548,W2321977842,W1978429542,W4251405041,W4246570723,W2331268080,W4381307788,W3151458832,W2334798137,W4255828140,W4255859836,W3146986291,W4254037785,W4253153754,W4248785581,W4229448598,W4241988357,W4233315048,W4231415063,W4232451583,W2331053694,W3149023054,W2095494576,W4236657021,W4236581785,W4253078465,W4237992619,W2095180864,W4247775626,W4210861647,W4214728654,W4240025441,W4237235633,W4252474879,W4249103558,W4246079549,W4229742750,W4250033554,W4238280575,W4251043487,W4229716988,W4236860227,W4254514861,W4233413277,W4255304538,W3152130865,W2329434213,W4255645032,W4381307805,W4255145279",exclude_template
1,26,c3fbaddcc3f1dfa60ac39867b8fee65202bed81ee37c178a024de00dad3e62e1,"W2808142743,W2895907750,W2907026754,W2914926053,W2973189252,W4231008385,W2925906420,W2808504126,W2972806219,W2972325454,W2807919013,W2908070891,W4232996757,W2896270732,W2907370084,W4226395545,W2972662996,W4407445617,W2973015170,W2972872684,W2927051206,W2972673870,W4285485241,W2930414479,W2907885290,W4285457101",exclude_template
2,25,025234dbbcc09b48d6265c4638099a1ec9906d53cfd75112a21937a022a6f552,"W2977645010,W2089274564,W2152884691,W4387679100,W2329196486,W2590744669,W2114195014,W1985532294,W2112295463,W2898378479,W4291281917,W2033000606,W1975255848,W1980479994,W2006616301,W2044632318,W1646778491,W2045849322,W2031242736,W1490045542,W2072026813,W2017068055,W1965412708,W3123370103,W1570618834",exclude_template
3,20,5db56fb9eaba010c9389574630188b37085869fc0cc8bb178ba463ea8f42a657,"W7211521218,W7211559926,W7210590507,W7210856496,W7210674816,W7211723747,W7210448165,W7211615911,W7210494137,W7210848832,W7211839844,W7211005021,W7211286984,W7211537240,W7210904470,W7211289022,W7210889701,W7210839701,W7210490509,W7210890250",exclude_template
4,17,135a5ae59937f9428d941d7a4d9332adbf1ef1830714bd33bf0b8d2155b57770,"W4229801805,W2317091753,W2315743061,W2564029203,W2515968391,W2320321148,W2330950971,W2515594026,W2600246942,W2316147737,W2328096478,W2325017214,W2317373434,W2324176145,W2319948394,W4239300819,W2598914263",exclude_template
5,17,168425f9cd7271cca5f9be77a6fd2bd7c7cfe8380180571fd393fdeb91bc8e84,"W4392244116,W4385855118,W4403026332,W2069526268,W3049474463,W4388488013,W1965618007,W4404738856,W4283737933,W4401108217,W4200610218,W2004081018,W4243737901,W4390875008,W4293162569,W4400605323,W4390222775",exclude_template
6,16,78e62fa7bfa95d92c067f6d95944b7abbd34d76ffd552195e18bc1a3c2c89884,"W2298227355,W1977296748,W4243153970,W3147508767,W2015970546,W2910923778,W4249766055,W4254092253,W4239902228,W3210575762,W3159059171,W2083734829,W4246643286,W4254003113,W2109434556,W1982236932",exclude_template
7,15,ac6daa5087db5779dace65e62031f819b4a087a582e46cd4c0a42f3b209d4b00,"W4367628008,W4367624503,W4367624871,W4367628055,W4367602278,W4367625663,W4367603017,W4367625290,W4367625717,W4367626911,W4367602368,W4367603096,W4367626740,W4367626102,W4367627325",exclude_template
8,15,c14e47d697bf4a6aba575a0023a89776164f31aeca173d12f05d89cb7defcd50,"W4210521034,W4376545353,W2724117159,W4242779991,W4235401139,W4239511962,W4255089683,W4238503147,W4239460170,W4246079466,W4250592048,W4255412321,W4297969267,W4250651707,W4232922022",exclude_template
9,14,6a7b6011084d14ba785698e6df7729bfce387083bddab5a0ce2439c986632492,"W184350499,W2905130943,W57038021,W173369436,W33070518,W2345754734,W185663359,W2602714316,W1072977764,W7775221,W2902443492,W2751433327,W184832528,W25963034",exclude_template
10,14,83d8a49a95159fa5cdb3248f6a2ad61c89072ac94247e8f9cfd38381a0539882,"W2062419980,W2052125123,W4232446175,W4240749653,W3008432694,W2038836573,W4247611131,W4205174204,W1992353598,W1970249853,W1982175380,W4210900171,W1984514520,W2046693047",exclude_template
11,13,2d5624f5fd8d6914286db9d53dc1df9b68a682a03218c0190a0196e690e96158,"W3082065999,W1010057088,W2784099714,W2183937510,W966684232,W2592592113,W2808050600,W2136499611,W2140469732,W2518621338,W2061591313,W2120271441,W2157496057",exclude_template
12,11,a022f825f1a1b3e50bafd440a4ed1aa22aef363aecbce2119868c6b8d1cfcbac,"W4248824073,W2333779853,W2320946777,W3037372037,W3037229141,W2324218938,W2319121574,W2318408007,W3037374906,W2396601472,W2330679883",exclude_template
