work_id,field_id,period_start,abstract_language,score,text_sha256
W2950550738,13,2015,en,0.9406416416168213,65a42c7a5690c751746d65f09eba247974aa085c6910dc57f113915d8b78c8fb
W2061847566,17,2010,en,0.8875651359558105,95303fff2e5cc129b3163643df32878e013113c4ea761b24b36731cd6bc8a02c
W3147981253,20,2015,en,0.9826788902282715,862fb9123b78a3b1acd0dce4c1bce8d648396f9178d99b237a97af065415113e
W2986403818,20,2015,en,0.9312925934791565,c4444a88e37273135cbfa9be0efa4ad134bd57b60e5479b033949193912b2a4c
W4399462289,27,2020,en,0.9349302053451538,e0b1fa764aff91a27ee975dc23125d1201571bc5867a5d6c7534bfe39903f548
W2762972561,33,2005,en,0.9326322078704834,43bf67c746747ee1e1beb25ff2608e85fb99a57378703da1da48d5b309a38e2a
W3098560416,14,2020,en,0.9315321445465088,dfc5aee885dee7ce8b36052babdd5a0b0c2cbade4178ce015becf338f00c7ab1
W4210307968,27,2020,en,0.9259828329086304,0112ed741d04eeb94f81692536ae0bdd5ebadb5b266b8940c1fa0e0185c50214
W2085491701,17,2010,en,0.9458984136581421,845e855e46122198d8bef5d2c4d2e7be6d31f80e1a045edffb006be2fc852dae
W2183907146,19,2000,en,0.9704843759536743,fe67459de2767f87f33dc3ef41a0f38b66561e4dae8c23c4c118dbadb86c6a82
W2136345507,32,2010,en,0.9672743082046509,87ec4ce391e258abfbcc52e3bf35a57c2729c5f57bbb6c139eb5fff34a68fd05
W2314916841,13,2010,en,0.9421207308769226,1b961055a51ecc581408560d24e9b9a21e3668af2cfaae67d8f40b0c42933d13
W2326214915,27,2010,en,0.8878992795944214,f1a4124552766da942f30c348008e8fc07c6e70d5db0b58d3213c0d851760fc9
W2360041985,17,2005,en,0.9747523069381714,837aa001fa6ff1a744120560b2d1a71fe95f19f3596e0323f6376eb49082f3d8
W2891964393,16,2015,en,0.9090303182601929,baa54389235a7a9742d53f798f80b724dd480c17e00cda2d98f61d84224c91c8
W2528694055,26,2015,en,0.8707631826400757,d4da04ca896ccbc041dc16e02fe7265a080c6e6e6a51d8f0ad82cb310272118d
