field_id,period_start,cohort,flag,n
11,2005,base,library_description_americanae,1
11,2010,base,library_description_americanae,1
11,2015,base,journal_description_asian_chemistry,1
12,2000,base,doi_error_text,12
12,2000,extra,doi_error_text,12
12,2005,base,doi_error_text,2
12,2020,base,journal_description_cad,1
13,2000,base,library_description_americanae,1
13,2005,base,doi_error_text,1
13,2005,base,possible_placeholder_title,1
13,2010,base,doi_error_text,1
13,2015,base,journal_description_asian_chemistry,1
13,2015,base,library_description_americanae,2
14,2015,base,journal_description_ijcse,2
14,2020,base,journal_description_cad,2
15,2000,extra,library_description_americanae,2
15,2005,extra,library_description_americanae,1
15,2015,extra,journal_description_asian_chemistry,1
16,2000,base,doi_error_text,1
16,2010,extra,journal_description_asian_chemistry,1
16,2015,base,journal_description_asian_chemistry,4
17,2000,base,doi_error_text,1
17,2005,base,journal_description_cad,1
17,2015,base,journal_description_ijcse,13
17,2020,base,journal_description_cad,3
17,2020,base,journal_description_ijcse,2
18,2000,extra,doi_error_text,1
18,2015,base,doi_error_text,1
18,2015,extra,journal_description_ijcse,1
19,2010,base,library_description_americanae,1
19,2020,extra,journal_description_cad,1
20,2000,base,doi_error_text,1
20,2000,base,library_description_americanae,1
20,2000,extra,doi_error_text,3
20,2000,extra,library_description_americanae,1
20,2005,base,doi_error_text,1
20,2010,base,library_description_americanae,1
20,2010,extra,doi_error_text,1
20,2015,base,doi_error_text,1
21,2005,extra,doi_error_text,1
21,2010,base,journal_description_asian_chemistry,1
22,2005,base,doi_error_text,9
22,2005,base,journal_description_cad,1
22,2015,base,journal_description_asian_chemistry,1
22,2015,base,journal_description_cad,1
22,2015,base,journal_description_ijcse,3
22,2020,base,journal_description_cad,4
23,2000,base,library_description_americanae,1
23,2010,base,doi_error_text,1
23,2010,base,journal_description_asian_chemistry,1
23,2015,base,journal_description_asian_chemistry,1
23,2020,base,journal_description_ijcse,1
25,2010,base,journal_description_asian_chemistry,1
25,2010,base,library_description_americanae,1
25,2015,base,journal_description_asian_chemistry,1
26,2015,extra,journal_description_ijcse,1
27,2005,base,doi_error_text,3
27,2005,base,library_description_americanae,1
27,2010,base,doi_error_text,2
27,2010,base,library_description_americanae,2
27,2015,base,catalog_description_kansas,20
27,2015,base,journal_description_asian_chemistry,1
27,2015,base,journal_description_ijcse,1
27,2015,base,library_description_americanae,1
28,2015,base,journal_description_ijcse,1
28,2020,extra,journal_description_ijcse,1
29,2015,extra,journal_description_asian_chemistry,1
30,2010,extra,doi_error_text,1
30,2015,base,journal_description_asian_chemistry,1
31,2005,base,library_description_americanae,1
31,2010,base,library_description_americanae,1
32,2000,base,doi_error_text,1
32,2000,extra,doi_error_text,1
32,2005,extra,doi_error_text,1
32,2010,base,doi_error_text,1
32,2020,base,journal_description_cad,1
33,2010,base,library_description_americanae,2
33,2015,base,library_description_americanae,1
33,2020,base,journal_description_cad,1
35,2005,base,journal_description_cad,1
35,2010,extra,library_description_americanae,1
36,2000,base,library_description_americanae,1
36,2000,extra,doi_error_text,1
