work_id,selection_order,cohort,field_id,period_start,title,flags,text_sha256
W2324603214,1338,base,16,2000,Small-Angle Scattering Functions of Micelles,doi_error_text,48a05f614ab2f3388f148318bcee82d40445e111052542d7c39c154a02be684c
W2808142743,1962,base,17,2015,An Updated Particle Gaggle Based Optimization Routing Algorithm for Wireless Sensor Networks,journal_description_ijcse,f460156cba22845e8fb0e5c247a161783976a1ab75edf3be9ce385be58eb8904
W2977645010,3290,base,13,2015,"A rapid survey of ground-dwelling ants (Hymenoptera: Formicidae) in an urban park from state of São Paulo, Brazil",library_description_americanae,9d3fe420e8f35e64f4fc3a24f9465adc67f3da8bd1af347248e2261b5fed6b97
W2895907750,5199,base,17,2015,Credibility of Genetic Algorithm (GA) for Power Efficient Routing and Reactive Protocols in MANET,journal_description_ijcse,dcc341cf565d20f33f4aa90037cf9ea4d456a5e143e23be8f6ea37425ecd0321
W7211521218,10871,base,27,2015,"Kansas farmer, v. 17, no. 18 (April 30, 1879)",catalog_description_kansas,d5e3b8eb809ae0db7b04598b180fb9774da7abaa624353c5f8e4294349a459a3
W4250236288,21636,base,13,2005,Not available,doi_error_text;possible_placeholder_title,972c9a726de39ae32b6acae71c379e3ea52d7db5cb2c98f90ebb427ea7e3fa67
W3139769870,29097,base,22,2005,Nonlinear Robust Sliding Mode Control for PM Linear Synchronous Motors,doi_error_text,277b480c302141ac188aa23d4f92dd013b52ef375a6579d65983b04670d6ad89
W4250008896,43157,base,12,2000,10.1037/e699052011-004,doi_error_text,02ea68d6755113dda7afc3b44eaeb67eae86535277d76b2317433bd2f7509aaf
W2907026754,44347,base,17,2015,Spectral Subtraction based Speech De-noising using Adapted Cascaded Median Filter,journal_description_ijcse,e8fb01362e0b41f982acd3a2ff970de93b9175bdf0d977ff4277b7126087c1bc
W7211559926,44583,base,27,2015,"Kansas farmer, v. 7, no. 11 (November 15, 1870)",catalog_description_kansas,d635737591fc8ff95d26ed3b9f816a7f923da4b92f9f902d3179ebc79fc85e95
W3143597089,45844,base,22,2005,Modeling Simultaneous Switching Noise-Induced Jitter for System-on-Chip Phase-Locked Loops,doi_error_text,3cc217a89204c21da38d41270fa86b4e6c43fdb35f831f783afeba06b6397f44
W4239927407,52247,base,27,2005,"Viewing Low Contrast, High Dynamic Range Images with MUSCLE",doi_error_text,dbc1a9a440f67f7512a130725d01866e9b2606cfe94fa614c39c3865eb667d71
W2914926053,54637,base,14,2015,Technological Trends in Indian Accounting System-Its Impact on Business Management,journal_description_ijcse,da51af8e3054e53c392f8a717c3423ac9f36391827d78a403ad8fdd4c7724da3
W7210590507,55957,base,27,2015,"Farmer's Mail & Breeze, v. 44, no. 42 (October 17, 1914)",catalog_description_kansas,d4beec1ba2d81348e8962bec7448a2cebef41b1b884fc9f687c87421983cdf5d
W2973189252,56677,base,14,2015,Cost-Profit Analysis of an Infinite Capacity Multi-server Markovian Feedback Queuing System with Reverse Balking,journal_description_ijcse,16213b582c4e186890b49d633620006fe16c7689cf721c2ef56121b877f2239e
W4243404666,56906,base,22,2005,Magnetic Field Analysis and Performance Calculation for New Type of Claw Pole Motor with Permanent Magnet Outer Rotor,doi_error_text,4be56460f9df1702f418d12d707fecb9f3f1eae91d2bb9a2af4708d21232656c
W4231008385,58320,base,22,2015,IOT based Garbage Management System,journal_description_ijcse,6fe990fe6ac6410f733007ee9c553b218142c25488b91a923b55cbe588acac8e
W2925906420,60036,base,17,2015,Spitri Single Packet ICMP Traceback Using Router Interface,journal_description_ijcse,f34e01fd82f5a9aca2a3b9b429f76e9675230353240d820b5e0843a59bf15701
W4392244116,65256,base,14,2020,Fusion Algorithm of Fashion Trend Analysis and CAD Design Driven by Big Data,journal_description_cad,b5ab4a6b9997848b89a613e1b1f26f9ab2ab3d4d4e5cc3827ec76be3828a7466
W4385855118,65856,base,17,2020,Customer Preference Mining of Electric Vehicles for Design Decision-making Using Big Sales Data,journal_description_cad,3d09793e3fd320768bca5be604e7e8bfd36fb45b4981c9069d87c86bc40ebc2b
W2089274564,66388,base,33,2010,Inequality of opportunity in daycare and preschool services in Brazil,library_description_americanae,e8798d9e4523bc253a89f05519b37e3f51de7d1f63c22a174c1f084c37946e03
W4229801805,68575,base,25,2010,Preparation of Waterborne Epoxy Resin for Carbon Fibers Sizing Agent,journal_description_asian_chemistry,d141fb94b48445de497e59c5267242ab2eed1219bfb64689dd86be1a3745de37
W2152884691,74462,base,25,2010,Porous Ceramic Materials From Polysiloxane-Clay Composites,library_description_americanae,cfadf6f34d4e7867cb7a1a4358233a4c71722e86f6f1950d4a687ab6290220ef
W4233015379,77109,base,12,2000,10.5555/01312014test,doi_error_text,c6e92041260b5c1618cbcb9a056eaaef83d87718c775e422e09e38055f08b5b9
W7210856496,77433,base,27,2015,"Kansas farmer, v. 13, no. 43 (October 27, 1875)",catalog_description_kansas,a6575fe5269bedd0224194b60914ff597cadbab2a1af3d5f2467c2cb54e7945f
W2808504126,80878,base,17,2015,Optimization of Dynamic Resource Scheduling Algorithm in Grid Computing Environment,journal_description_ijcse,208c8d7ca4a454814ec75a2b0943564fa404bdfcf1c9a27e888eb13506fb6ac4
W4387679100,81076,base,33,2015,Manufacturing Consent for the 2018 Elections in Venezuela and Colombia,library_description_americanae,59317e14bfe2f16d488d0edfcb38daa5690df7900ab701db6f0d9853b6be05fe
W2972806219,82306,base,17,2015,Survey on Vision based Hand Gesture Recognition,journal_description_ijcse,3ba1a753ec0f1989e13847eddfae0d7db3fa1e52b5c1e769d901cfe41cc05806
W2329196486,88161,base,19,2010,Sea urchin Tetrapygus niger distribution on elevated surfaces represents a strategy for avoiding predatory sea stars,library_description_americanae,b34ed11e9134a0bd9cad1dc28ac0863dacb83b7dd411ef2c52cb790e0ec889e5
W4239352436,88169,base,32,2000,Psycholoanalytic Psychology: Members of underrepresented groups: Reviewers for journal manuscripts wanted.,doi_error_text,54c2c10f46926b795b58d3c4a1e7722d0b27a0a716d3f1e0df55a4d58564dd2a
W2317091753,89186,base,30,2015,"Chemical Composition, Antioxidant and Antimicrobial Activity of the Essential Oil of Phellodendron amurense (Rupr.) from China",journal_description_asian_chemistry,a8925dd95c74c397ea0e73a03eff770159c9e229013440773c5a36edf401642a
W7210674816,91260,base,27,2015,"Kansas farmer, v. 20, no. 3 (January 18, 1882)",catalog_description_kansas,6329bf1df106942e72b6db46fc44e4d000dae2c72c706018d030691a8a56ee07
W7211723747,93137,base,27,2015,"Farmer's Mail & Breeze, v. 44, no. 3 (January 17, 1914)",catalog_description_kansas,99e58f1c886a2180d9e1820222d6e7fd027eb718cdcd07b03821e0451045bc5f
W2972325454,93389,base,28,2015,Mouse Cursor Control using EEG Signal and Machine Learning,journal_description_ijcse,8382c9ffe0d2c7fd684d882190ae39425e2eb8adad96682d2696a4148a3bbbb6
W7210448165,94251,base,27,2015,"Kansas Farmer, v. 52, no. 4 (January 24, 1914)",catalog_description_kansas,8b63dcd86adfb703a88124b03010bc089c4d5b7766386604019b97b38056cb3a
W7211615911,99455,base,27,2015,"Kansas Farmer, v. 52, no. 8 (February 21, 1914)",catalog_description_kansas,b1c92f54bd2bd2fde4dde4806d654e65c9607aacec717e48878ded37e2398437
W7210494137,101400,base,27,2015,"Kansas farmer, v. 22, no. 34 (August 20, 1884)",catalog_description_kansas,d9515ffb5960d946cb06737ecc567b2428443b374eead51757604d1c92dbddf6
W2091959032,104740,base,13,2010,10.4314/cajeb.v3i1.37959,doi_error_text,b8bf6320e7b7689c01aeafd5c51f66baf79177f3259d2281aca5e2719c09b282
W2590744669,108703,base,11,2010,SEED GERMINATION OF ORNAMENTAL SPECIES NATIVE TO SOUTH BRAZIL,library_description_americanae,bcdf97af2339fae619f1050d4375ece08246a19d4d56f023fdfeb391955afd7b
W4243263368,109070,base,12,2000,10.5555/test0622_title_issn_1,doi_error_text,32812d6801064877cd349bbc957ea607eb4f4b354e856051706265085279e0b5
W2315743061,110850,base,16,2015,"Synthesis, Characterization and Reduction of p-Nitrobenzoyl Hydroxypropyl Cellulose",journal_description_asian_chemistry,694ac3b933506fc3444bb954699b8c6a3ba5efb8b1f6d95830ab57d167578aea
