text_sha,n,work_ids
034f9bf4351467ec4bc740f27bd2420a7eb5d948c9c3486c8a9ae21e6698da4f,2,"W4298125492,W3209326483"
072687f9f76c09e8247c8d4ca07625ee500bc37f647d4f6e5695645037ff7630,2,"W2070664985,W4240957673"
0bf3d5cee7bab7de270623d7a62dd52cbf31cd52ff29d5d7592899628cc375dd,2,"W4247186501,W2781690531"
0dc04556cb894afe2ebe6df78ccf77451a6a0430fc2a2438e0c71390e65b6d92,5,"W4242779991,W4235401139,W4239511962,W4255089683,W4238503147"
0e6365eb0085329c8a98cae1a4c342b8b7c7c74b1bce761cf11139a1d669b400,2,"W4205751415,W2003400791"
10467d11f1098e7221dffbc308b95399965289ba4843df80ee7d94176c94db5a,2,"W7134039439,W7134063428"
121810e58eb8f95dd21a589eb14c27ec2a8fddfd01a3d480b1bff463287c5087,2,"W2792793074,W7149875434"
13fac2d567bddb16728fd8931519f6c797965e8a0383420433dc6f588f281848,3,"W4323520382,W4323520378,W4323520386"
1630bcfc0aa4e9fd67b7eb05c8fd23e1331596d582abb4500251a73c272cb308,2,"W4233037499,W4285602974"
18a97a6dce8758712cc2958fddeba88e1ea759765ceada8da1d3614f599109d4,2,"W3202406270,W2620824982"
1afcc287a8fa82d098f87b9e6273f66d411c5124c4b23dfb36718dd76e965bd4,2,"W4310768954,W4310762143"
1b34d2b8caeb6b265c723f2da11ded6e69d5f52ba80bc1fe12d8bb77718ad539,2,"W4252395761,W1996642355"
2198d72ffb62b64d2864fd0cc547e8b212713916e49d420ec6e259e4d48dbc0f,2,"W1605478644,W4243112629"
22a10c281a2cd244825b84cd4545e45add6423331f6edae3e7fd00ae19a71458,2,"W2325918950,W4241791930"
2446b80586ecb2ac62caa1bf2dcde86293bada012c2fb0ac307f7d493bff598f,2,"W3140390249,W304984399"
276dcb7ae67865d6e0139363b7594f72fb6c502a08d7435ee981e51fd061577c,2,"W4243190965,W2044942999"
2775d24ebfa425cde736bb7382335219d398adfde6d95c8a5e076403cf1dbb8a,2,"W4247801528,W4241515211"
298a27351aaa0032dfc4777d931257df2b26ea720804a8c0c2210deb7d765141,2,"W4247331688,W2081898987"
2b9e403621f358b2a59f803002a2ee9007117422d31a6133780802ca4faab194,2,"W2141160900,W3141899746"
2c23239c5bb23140b24b580b4f50c7671135dd31d452ffeac3043fd9f2d83148,2,"W2085208129,W4235561832"
3527338cb062fdef5175556da28f7a284765d9ce7f4d74e9e573841da23f3600,2,"W4229725506,W4392918346"
35b85e6401df73809b814b26df8b4debe2c8791292ea5c65c855d13ae84843c9,2,"W2801333039,W2804796719"
378ec67694f601b5d66d493cdfffa9f6c726d54e6629cc651b2a7af8c26725c2,2,"W4230599939,W4244724912"
38493e003ba27f967bc1b608eb479f0bf32e4c7ab44576dedf985eb07fe10baa,3,"W4246771658,W4250223270,W4246185356"
38e3a330391c946871ae0361a5b45c36432bed9eb9cb5a9c9e08d66b84a7165e,2,"W2156331162,W7207326712"
39168bae2cffdd472c787ac97ba7e03266e1a1d1111a13a0d07b1641cd10682d,2,"W4248678074,W2022695740"
3a491b9ff012bb47658a07acfe1770fdd5068ef1dba02e0670a83ec2b45ca403,2,"W7130721799,W7130706806"
3cf85848f3882eb983fc19c34e9fa4a2ef880f77c74f71498ff3860e00aff35f,2,"W4246795127,W4226119324"
3f203e14c56d7e41d4438626dc85c9a0bd85da9cbe49420de6651ea09b75011f,2,"W1975734761,W4232377462"
41a186f0e3ed3bd6ed6a460f96e5670a4c570b669cca1987cdc152b9b0913a4d,2,"W4213007798,W4254331560"
41e190e9922542ec6696ffd8db85fd4a5d2d47a298523e6401623c230029ca02,2,"W4309384821,W4310005437"
449271e67a7853596d7d44c784526b9c27d39dc16586faafbc580858568e7e44,2,"W2801875641,W4200420522"
45869d55357da8562f09f1486b39a99f25d0ccc8ed335d461e51ca91ac205ed9,7,"W4244566345,W4253003242,W4254054559,W4243506320,W4200200764,W4235113810,W4254112713"
4a73b6833644ddefc133c41655a3236513f68afdb5db5d9879fea293c6727191,2,"W4241556067,W4232158633"
4e7ea2c17d8976df607a5e633741bbe07a1b90e2e3641c51f143a9d43fa9aae0,2,"W7161727586,W7161691820"
52483c1c0c28d8242817b45a919d8e66c439421fa8d95a72203af06216540bc7,2,"W4284889899,W4288352386"
52c8937f050f9e3c827634fcc320d51b902e185c58f57edaf34800fe122a9b51,2,"W2021646812,W2953136325"
5525ac046f51508bc08519c70946e4f3e4daea2241d5300264a238c23be5681b,2,"W4299577242,W4285736184"
55acac8741273f179bbe072d7a1379f8695cf10d38b4ff0e84406f31e95a6d1b,2,"W4253034411,W2016162681"
61687c06a319242a9ed7ebadeba15bb59531dbf53a4ca2d4afdea6c7d7a7289d,2,"W2106373960,W4302418554"
66fd5b3ec3f581ff027e59bb50bf431fe99156d0b54eb452a4127532f2ec02f6,4,"W4200318176,W4206453924,W4207015177,W4225724822"
6aa055af70a015c959cda6434643c6ad3fefeec3aad72e4726950e2002101393,2,"W4239310027,W4230852969"
71eefb41980c2d495fbc21c29d57447c1c38b14224bf00bbdcdc0d4cf08b426c,2,"W2995583082,W4230427426"
7900f2c955bf6160940dedaf02a4a14345f1ed12b247eb1b6b7c09ef05312501,2,"W4234183258,W3153836090"
7a5846b585a1eb57fd63c638869b78ce6befb029c011f9ab93308e6b8d0bb3f5,2,"W2069111593,W4241972064"
7dce30f24fa9c0b03c39098c797bce7ac2f8f7fd2a1ba493aadece64343d904c,2,"W4238676782,W4205606701"
