normalized_text_sha,n,work_ids
03fe25eb4c308e744e5e56049e1d1e0c001c1d15a98501b456127bec36fdd313,2,"W7131130868,W7131076924"
077489e341d4d01f57830406ef51fceba49acc595478e894600373705c842978,5,"W4242779991,W4235401139,W4239511962,W4255089683,W4238503147"
0854b0e0af667307c439de386fe916f0a5131d985511273ba667ef6a7e554f1e,2,"W1605478644,W4243112629"
089cf46af4153dba9c54f4b5331a99f4706388259ec8030a9971fd6e485290e3,2,"W4238676782,W4205606701"
0d6842473b3851d2705265a413b95159b7f13d70670948b3f9932ebaa3908073,2,"W4310768954,W4310762143"
141d4078e4f3eff8345a0b388ce140447836eddc4874243977f63b2900bc8dd8,2,"W4247331688,W2081898987"
1453dca1a16d89d2be67c1676d96d7f44b21f981b33de4d1b058de8f66b6a9fd,2,"W4252151463,W2580347784"
1d53ecc51cc5d2831a1757361423db5ce7b986a185886599109e2b51cf7af29d,2,"W4284889899,W4288352386"
1d96e2d9c9863f0e2f9b2b7bb80fe7e01233937f3ab89ae06523c335847885c5,2,"W4233852121,W4241410828"
2267fe85c4a3d7b0f7c0069a4f7e87c0a15bb674b8270b1728e462c3349f0974,2,"W4401235679,W3196345854"
268fb093fcd645f46a1fb55062f226c4b43846ab7ae6ded1af1cf9eadaea3e05,2,"W4230599939,W4244724912"
2938c0554cd1fd8a3f20cd3f29a636049f0e3e704358dcf3a704b17b92a1f80f,2,"W2995583082,W4230427426"
2c94e0fc6a01100688ec1c909f82af7b962aae567080bad9962a2c7611a90013,2,"W2106373960,W4302418554"
3484efc7696e424f22fca2159e3871b082392dab0bd05cf1ba4562137a432912,2,"W7131832911,W4210991042"
37407beaaa8496e5d56c19aa8872d97a146d1d98e1e1d71834b7f29d7c54f930,2,"W2801875641,W4200420522"
3c3e166d8326c636779ca38b8c1ed0d6731286cf77889048023592fe3a3827ff,2,"W2070664985,W4240957673"
3da9af74c0631f8ffdd475c5928f040b114ee2bee2daf09d9b3d8c1b3b4dee27,2,"W4247860809,W4239193551"
44454c8ad59e2cc769421406ec49828791789fabf36d1c6f2d473f0f2450f450,4,"W4200318176,W4206453924,W4207015177,W4225724822"
44bc2ed9f422085bc4558b82dbf025df8734b02d75a5141f6526489019220170,2,"W3124108760,W1543364368"
49b0f5ebeafc23c731e9c5e34152b44a90c77919daa5dafbc7b87634387c7cfb,2,"W1975734761,W4232377462"
4bf033b78b332fdf52e222f099a7acc540af0e0fd5e03b3b0ade8215b756ebf3,2,"W4298125492,W3209326483"
4d0af32f0198b1229cb8be5a57884a6b6715d69ea0ac128a38686bc9d879c4f2,2,"W3202406270,W2620824982"
56ce7676b188dfe12fb4bcb055a7d41f793b2b6c5f44419044eb317123bd8045,2,"W2141160900,W3141899746"
5ad5be894d9fe7130fc3e149b5e0fc9da20905b7344b0744840bcebaf0d7b838,2,"W3140390249,W304984399"
5add34e3ef7e582004eafb9de1715d77638db0b21bad4c5176114f580923b685,2,"W4237487036,W4234369516"
5bad9048601beb50cceaadc1d36cc9c175a1dfefe6e02b7bdaff5b9bd9d3951f,2,"W4243190965,W2044942999"
5ed88c05f96d94778573a47ff988127bfda0385e32f4426ad143d95eeebdf0b0,3,"W4235781786,W4250954574,W4251192473"
635db0baa62ca2a40848c84e54bc8df93cbd3e6478895eec10f47b3c3fcd506d,2,"W2792793074,W7149875434"
642fd4a3b9251278460da90bd03f0a15237fff0b4f723bfe55ce9f778c70fb9e,2,"W7131275851,W7131215896"
65bf092f4044d9c188515495baee66fac515b2769ca648398560b2700ad4d6cf,3,"W4323520382,W4323520378,W4323520386"
672930dc49a28593f08f8847c4984b6c97795bf01be850160b27180f8180a7f7,2,"W7131638588,W7131644415"
73b14ad5757127e2029946ced4b60511a9adbcbd32e1ac26b5be0f08562568d9,2,"W2042300981,W4249325535"
7a89f2be0bce0dfd524ca080ecfefdceb4025bc93f22833e01fec7c7b42cf152,2,"W7131212339,W7131284919"
7b4845bcd70e598d16d064f3ff1188c68dc90a94e43ef824ac4b38ccb99b496b,2,"W4246795127,W4226119324"
7fcf293bc503dcbe78a874c0c78064dc7cfe12e3e67c0d34b69fc60687d03a48,2,"W2156331162,W7207326712"
811c19d66c4c1f799f1279ae2f8be2327186d70be16c06f41de48eebd7574aae,2,"W7134259439,W7134248917"
884e911dfc0bfeb7f564c436e5c99226745a6ea8f2b78fc7f0f17ad9996e892b,2,"W4248678074,W2022695740"
88628cbcfadcc5258766cd23592f5e388c7bf1cf4e201689a3af0e9d2dddc2c1,2,"W2091584635,W4245031385"
88c0683cf1da4f598d8fcecf5eb507c04200eea75116a3a475730d7fd13810dc,2,"W2085208129,W4235561832"
8e6b754b67873adde0da3aa66c62f7d6e66709342f60d0850619bf6e71d065f7,2,"W4299577242,W4285736184"
913034a8f3219b4a11180419668012d3da107f50f17f1b2ddfee2a6d23889fbf,2,"W2106645606,W3141274748"
91c242e1e2bc5048caa7438c3131110117ecf37c465f97b313366653f8f45624,2,"W2801333039,W2804796719"
951266686158a0ed51a6d94dc498a4c70e8f3ec0e3bca39d032a86c492fccf9a,2,"W4309384821,W4310005437"
9daefed9549a373fdabcd93c82e3033c75503ee6e161bc9a606f48b7212ca53c,2,"W4234183258,W3153836090"
9e3734592076aab0257e028a20ed1c77eb397190d53299798a9a756a6a84edad,2,"W4229725506,W4392918346"
9ea444bf25ef063e48dd395e642a173ffb6bc479ea9402391cbedb48a47b6a90,2,"W4252395761,W1996642355"
a210d709c9be2e986517cddd9baaa2487897d2f1c964208404313e9f9f405692,2,"W7161727586,W7161691820"
a5471535e7d3fbbe5c4396d983b5bb5722fe623f353262276b8e233539da8fd3,2,"W4312489245,W2115587448"
a5f25aa10b7e22e3b6715368f064f66340cf545a3a881c09692df4450b9b00fb,2,"W4407343042,W2322434637"
a99fc0516472b036428874480de594556b6ce0d60a1b00177e9167121f4dab04,2,"W2602922237,W3023243514"
b5c9debf3cbd1cf917fe9ba65e3a776fb2b40c0834ecde3f620b5322c214587e,2,"W2057816024,W4235919492"
b5f111f085ff2d11597e33934c650cb6fcbbf6ab3291dd2dfda8385e77f3fe1d,2,"W2021646812,W2953136325"
b8971f9eb491e8aa6ae652fde54993b1cd5c0c93521be73a980590b565e18768,2,"W2285478652,W2579290143"
