field_id,period_start,cohort,n,abstract_50_79,legacy_id,legacy_text
11,2000,base,1663,181,129,91
11,2000,extra,501,58,47,40
11,2005,base,2529,257,143,108
11,2010,base,3937,261,129,101
11,2015,base,4348,204,121,89
11,2020,base,6477,187,129,94
12,2000,base,873,181,131,112
12,2000,extra,1291,267,187,163
12,2005,base,1564,306,134,114
12,2005,extra,600,112,49,38
12,2010,base,2218,279,142,115
12,2015,base,2818,236,168,129
12,2020,base,3484,224,159,127
13,2000,base,2719,186,173,133
13,2005,base,4063,291,155,117
13,2010,base,5218,322,148,117
13,2015,base,5562,229,147,115
13,2020,base,6784,213,173,121
14,2000,base,755,159,76,68
14,2000,extra,1409,304,144,125
14,2005,base,1483,279,112,103
14,2005,extra,681,129,44,41
14,2010,base,2183,254,95,85
14,2015,base,2689,125,105,79
14,2020,base,4086,107,92,78
15,2000,base,163,17,81,51
15,2000,extra,2001,273,796,541
15,2005,base,213,24,75,49
15,2005,extra,1951,224,565,391
15,2010,base,242,25,57,33
15,2010,extra,1922,191,436,315
15,2015,base,259,23,59,31
15,2015,extra,1905,125,437,249
15,2020,base,317,14,78,51
15,2020,extra,1847,83,334,198
16,2000,base,943,184,79,55
16,2000,extra,1221,257,87,63
16,2005,base,1366,289,76,48
16,2005,extra,798,176,45,31
16,2010,base,1690,310,74,54
16,2010,extra,474,81,28,23
16,2015,base,1558,250,65,46
16,2015,extra,606,97,26,16
16,2020,base,1745,208,52,34
16,2020,extra,419,32,12,5
17,2000,base,3288,717,137,107
17,2005,base,5554,1100,126,118
17,2010,base,7074,1033,138,111
17,2015,base,6912,468,123,103
17,2020,base,10039,340,121,102
18,2000,base,285,60,42,33
18,2000,extra,1879,335,230,200
18,2005,base,564,96,46,42
18,2005,extra,1600,256,143,120
18,2010,base,874,96,40,36
18,2010,extra,1290,150,72,65
18,2015,base,922,80,39,29
18,2015,extra,1242,82,55,45
18,2020,base,1166,61,49,44
18,2020,extra,998,53,30,23
19,2000,base,842,81,77,68
19,2000,extra,1322,134,147,108
19,2005,base,1199,99,79,63
