field_id,year,cohort,n
11,2000,base,302
11,2000,extra,83
11,2001,base,287
11,2001,extra,86
11,2002,base,326
11,2002,extra,109
11,2003,base,343
11,2003,extra,110
11,2004,base,405
11,2004,extra,113
11,2005,base,417
11,2006,base,476
11,2007,base,470
11,2008,base,522
11,2009,base,644
11,2010,base,697
11,2011,base,691
11,2012,base,792
11,2013,base,875
11,2014,base,882
11,2015,base,776
11,2016,base,778
11,2017,base,801
11,2018,base,987
11,2019,base,1006
11,2020,base,1214
11,2021,base,1260
11,2022,base,1237
11,2023,base,1340
11,2024,base,1426
12,2000,base,138
12,2000,extra,216
12,2001,base,148
12,2001,extra,209
12,2002,base,171
12,2002,extra,237
12,2003,base,191
12,2003,extra,295
12,2004,base,225
12,2004,extra,334
12,2005,base,267
12,2005,extra,90
12,2006,base,281
12,2006,extra,117
12,2007,base,315
12,2007,extra,113
12,2008,base,338
12,2008,extra,139
12,2009,base,363
12,2009,extra,141
12,2010,base,357
12,2011,base,430
12,2012,base,434
12,2013,base,489
12,2014,base,508
12,2015,base,565
12,2016,base,593
12,2017,base,508
12,2018,base,508
12,2019,base,644
12,2020,base,644
12,2021,base,657
12,2022,base,805
12,2023,base,700
12,2024,base,678
13,2000,base,500
13,2001,base,509
13,2002,base,531
13,2003,base,582
13,2004,base,597
13,2005,base,715
13,2006,base,778
13,2007,base,777
13,2008,base,855
13,2009,base,938
13,2010,base,944
13,2011,base,1022
13,2012,base,1035
13,2013,base,1096
13,2014,base,1121
13,2015,base,1100
13,2016,base,1054
13,2017,base,1074
13,2018,base,1095
13,2019,base,1239
13,2020,base,1298
13,2021,base,1397
13,2022,base,1444
13,2023,base,1358
13,2024,base,1287
14,2000,base,108
14,2000,extra,190
14,2001,base,119
14,2001,extra,232
14,2002,base,144
14,2002,extra,267
14,2003,base,189
14,2003,extra,358
14,2004,base,195
14,2004,extra,362
14,2005,base,238
14,2005,extra,110
14,2006,base,263
14,2006,extra,112
14,2007,base,307
14,2007,extra,140
14,2008,base,303
14,2008,extra,138
14,2009,base,372
14,2009,extra,181
14,2010,base,374
14,2011,base,470
14,2012,base,430
14,2013,base,423
14,2014,base,486
14,2015,base,486
14,2016,base,448
14,2017,base,529
14,2018,base,569
14,2019,base,657
14,2020,base,692
14,2021,base,726
14,2022,base,733
14,2023,base,940
14,2024,base,995
15,2000,base,33
15,2000,extra,343
15,2001,base,26
15,2001,extra,397
15,2002,base,31
15,2002,extra,383
15,2003,base,44
15,2003,extra,407
15,2004,base,29
15,2004,extra,471
15,2005,base,37
15,2005,extra,311
15,2006,base,35
15,2006,extra,381
15,2007,base,31
15,2007,extra,407
15,2008,base,46
15,2008,extra,386
15,2009,base,64
15,2009,extra,466
15,2010,base,49
15,2010,extra,328
15,2011,base,40
15,2011,extra,397
15,2012,base,45
15,2012,extra,366
15,2013,base,46
15,2013,extra,427
15,2014,base,62
15,2014,extra,404
15,2015,base,49
15,2015,extra,382
15,2016,base,49
15,2016,extra,361
15,2017,base,47
15,2017,extra,365
15,2018,base,61
15,2018,extra,406
15,2019,base,53
15,2019,extra,391
15,2020,base,70
15,2020,extra,378
15,2021,base,65
15,2021,extra,326
15,2022,base,59
15,2022,extra,356
15,2023,base,54
15,2023,extra,373
15,2024,base,69
15,2024,extra,414
16,2000,base,170
16,2000,extra,215
16,2001,base,161
16,2001,extra,236
16,2002,base,183
16,2002,extra,232
16,2003,base,202
16,2003,extra,271
16,2004,base,227
16,2004,extra,267
16,2005,base,228
16,2005,extra,140
16,2006,base,247
16,2006,extra,147
16,2007,base,273
16,2007,extra,148
16,2008,base,302
16,2008,extra,175
16,2009,base,316
16,2009,extra,188
16,2010,base,322
16,2010,extra,77
16,2011,base,359
16,2011,extra,104
16,2012,base,326
16,2012,extra,99
16,2013,base,334
16,2013,extra,108
16,2014,base,349
16,2014,extra,86
16,2015,base,307
16,2015,extra,137
16,2016,base,287
16,2016,extra,109
16,2017,base,264
16,2017,extra,117
16,2018,base,320
16,2018,extra,117
16,2019,base,380
16,2019,extra,126
16,2020,base,388
16,2020,extra,77
16,2021,base,345
16,2021,extra,90
16,2022,base,322
16,2022,extra,75
16,2023,base,345
16,2023,extra,82
16,2024,base,345
16,2024,extra,95
17,2000,base,278
17,2001,base,389
17,2002,base,1134
17,2003,base,788
17,2004,base,699
17,2005,base,946
17,2006,base,1061
17,2007,base,1097
17,2008,base,1159
17,2009,base,1291
17,2010,base,1430
17,2011,base,1423
17,2012,base,1377
17,2013,base,1466
17,2014,base,1378
17,2015,base,1317
17,2016,base,1269
17,2017,base,1326
17,2018,base,1436
17,2019,base,1564
17,2020,base,1723
17,2021,base,1869
17,2022,base,1958
17,2023,base,2204
17,2024,base,2285
18,2000,base,42
18,2000,extra,257
18,2001,base,34
18,2001,extra,289
18,2002,base,69
18,2002,extra,475
18,2003,base,76
18,2003,extra,413
18,2004,base,64
18,2004,extra,445
18,2005,base,96
18,2005,extra,230
18,2006,base,87
18,2006,extra,288
18,2007,base,98
18,2007,extra,347
18,2008,base,135
18,2008,extra,346
18,2009,base,148
18,2009,extra,389
18,2010,base,156
18,2010,extra,241
18,2011,base,169
18,2011,extra,241
18,2012,base,166
18,2012,extra,248
18,2013,base,175
18,2013,extra,247
18,2014,base,208
18,2014,extra,313
18,2015,base,203
18,2015,extra,237
18,2016,base,197
18,2016,extra,240
18,2017,base,146
18,2017,extra,236
18,2018,base,183
18,2018,extra,243
18,2019,base,193
18,2019,extra,286
18,2020,base,213
18,2020,extra,187
18,2021,base,224
18,2021,extra,190
18,2022,base,233
18,2022,extra,170
18,2023,base,219
18,2023,extra,207
18,2024,base,277
18,2024,extra,244
19,2000,base,117
19,2000,extra,204
19,2001,base,149
19,2001,extra,257
19,2002,base,177
19,2002,extra,256
19,2003,base,183
19,2003,extra,273
19,2004,base,216
19,2004,extra,332
19,2005,base,211
19,2005,extra,175
19,2006,base,212
19,2006,extra,165
19,2007,base,248
19,2007,extra,214
19,2008,base,263
19,2008,extra,205
19,2009,base,265
19,2009,extra,206
19,2010,base,292
19,2010,extra,99
19,2011,base,327
19,2011,extra,103
19,2012,base,345
19,2012,extra,119
19,2013,base,323
19,2013,extra,128
19,2014,base,318
19,2014,extra,110
19,2015,base,366
19,2015,extra,96
19,2016,base,333
19,2016,extra,88
19,2017,base,319
19,2017,extra,88
19,2018,base,337
19,2018,extra,93
19,2019,base,344
19,2019,extra,100
19,2020,base,366
19,2020,extra,57
19,2021,base,398
19,2021,extra,69
19,2022,base,323
19,2022,extra,52
19,2023,base,418
19,2023,extra,58
19,2024,base,366
19,2024,extra,57
20,2000,base,110
20,2000,extra,193
20,2001,base,140
20,2001,extra,245
20,2002,base,160
20,2002,extra,291
20,2003,base,166
20,2003,extra,309
20,2004,base,190
20,2004,extra,360
20,2005,base,221
20,2005,extra,165
20,2006,base,213
20,2006,extra,165
20,2007,base,267
20,2007,extra,183
20,2008,base,232
20,2008,extra,197
20,2009,base,306
20,2009,extra,215
20,2010,base,311
20,2010,extra,56
20,2011,base,346
20,2011,extra,51
20,2012,base,367
20,2012,extra,66
20,2013,base,419
20,2013,extra,69
20,2014,base,407
20,2014,extra,72
20,2015,base,399
20,2015,extra,42
20,2016,base,375
20,2016,extra,43
20,2017,base,388
20,2017,extra,34
20,2018,base,382
20,2018,extra,51
20,2019,base,408
20,2019,extra,42
20,2020,base,589
20,2021,base,556
20,2022,base,552
20,2023,base,562
20,2024,base,631
21,2000,base,12
21,2000,extra,290
21,2001,base,17
21,2001,extra,319
21,2002,base,40
21,2002,extra,450
21,2003,base,23
21,2003,extra,468
21,2004,base,23
21,2004,extra,522
21,2005,base,37
21,2005,extra,267
21,2006,base,49
21,2006,extra,320
21,2007,base,45
21,2007,extra,373
21,2008,base,59
21,2008,extra,441
21,2009,base,51
21,2009,extra,522
21,2010,base,101
21,2010,extra,201
21,2011,base,124
21,2011,extra,295
21,2012,base,112
21,2012,extra,324
21,2013,base,117
21,2013,extra,373
21,2014,base,139
21,2014,extra,378
21,2015,base,114
21,2015,extra,291
21,2016,base,108
21,2016,extra,256
21,2017,base,140
21,2017,extra,304
21,2018,base,145
21,2018,extra,292
21,2019,base,173
21,2019,extra,341
21,2020,base,165
21,2020,extra,211
21,2021,base,190
21,2021,extra,207
21,2022,base,160
21,2022,extra,213
21,2023,base,232
21,2023,extra,249
21,2024,base,236
21,2024,extra,301
22,2000,base,867
22,2001,base,888
22,2002,base,1935
22,2003,base,1644
22,2004,base,1610
22,2005,base,1884
22,2006,base,2188
22,2007,base,2278
22,2008,base,2343
22,2009,base,2548
22,2010,base,2887
22,2011,base,3065
22,2012,base,3031
22,2013,base,3055
22,2014,base,3059
22,2015,base,2863
22,2016,base,2702
22,2017,base,2765
22,2018,base,2970
22,2019,base,3375
22,2020,base,3367
22,2021,base,3533
22,2022,base,3602
22,2023,base,4014
22,2024,base,4321
23,2000,base,281
23,2000,extra,58
23,2001,base,295
23,2001,extra,69
23,2002,base,367
23,2002,extra,96
23,2003,base,396
23,2003,extra,100
23,2004,base,398
23,2004,extra,104
23,2005,base,471
23,2006,base,515
23,2007,base,594
23,2008,base,634
23,2009,base,646
23,2010,base,734
23,2011,base,793
23,2012,base,775
23,2013,base,858
23,2014,base,835
23,2015,base,759
23,2016,base,764
23,2017,base,762
23,2018,base,863
23,2019,base,903
23,2020,base,1079
23,2021,base,1173
23,2022,base,1147
23,2023,base,1254
23,2024,base,1294
24,2000,base,100
24,2000,extra,310
24,2001,base,85
24,2001,extra,320
24,2002,base,115
24,2002,extra,285
24,2003,base,108
24,2003,extra,332
24,2004,base,123
24,2004,extra,386
24,2005,base,134
24,2005,extra,227
24,2006,base,132
24,2006,extra,264
24,2007,base,162
24,2007,extra,265
24,2008,base,154
24,2008,extra,302
24,2009,base,181
24,2009,extra,343
24,2010,base,160
24,2010,extra,228
24,2011,base,158
24,2011,extra,254
24,2012,base,194
24,2012,extra,256
24,2013,base,188
24,2013,extra,258
24,2014,base,214
24,2014,extra,254
24,2015,base,198
24,2015,extra,233
24,2016,base,217
24,2016,extra,218
24,2017,base,178
24,2017,extra,218
24,2018,base,201
24,2018,extra,236
24,2019,base,227
24,2019,extra,238
24,2020,base,232
24,2020,extra,169
24,2021,base,239
24,2021,extra,197
24,2022,base,252
24,2022,extra,200
24,2023,base,228
24,2023,extra,198
24,2024,base,241
24,2024,extra,208
25,2000,base,194
25,2000,extra,151
25,2001,base,247
25,2001,extra,127
25,2002,base,271
25,2002,extra,213
25,2003,base,278
25,2003,extra,177
25,2004,base,297
25,2004,extra,209
25,2005,base,353
25,2005,extra,4
25,2006,base,389
25,2006,extra,6
25,2007,base,413
25,2007,extra,9
25,2008,base,466
25,2008,extra,5
25,2009,base,514
25,2009,extra,5
25,2010,base,515
25,2011,base,592
25,2012,base,607
25,2013,base,605
25,2014,base,633
25,2015,base,588
25,2016,base,572
25,2017,base,616
25,2018,base,631
25,2019,base,739
25,2020,base,884
25,2021,base,716
25,2022,base,673
25,2023,base,698
25,2024,base,797
26,2000,base,70
26,2000,extra,283
26,2001,base,73
26,2001,extra,308
26,2002,base,69
26,2002,extra,382
26,2003,base,84
26,2003,extra,398
26,2004,base,84
26,2004,extra,413
26,2005,base,101
26,2005,extra,237
26,2006,base,116
26,2006,extra,289
26,2007,base,124
26,2007,extra,314
26,2008,base,133
26,2008,extra,340
26,2009,base,163
26,2009,extra,347
26,2010,base,162
26,2010,extra,211
26,2011,base,171
26,2011,extra,252
26,2012,base,172
26,2012,extra,239
26,2013,base,175
26,2013,extra,305
26,2014,base,209
26,2014,extra,268
26,2015,base,196
26,2015,extra,188
26,2016,base,214
26,2016,extra,190
26,2017,base,210
26,2017,extra,247
26,2018,base,231
26,2018,extra,213
26,2019,base,244
26,2019,extra,231
26,2020,base,293
26,2020,extra,128
26,2021,base,318
26,2021,extra,136
26,2022,base,304
26,2022,extra,117
26,2023,base,307
26,2023,extra,114
26,2024,base,324
26,2024,extra,123
27,2000,base,1178
27,2001,base,1268
27,2002,base,1448
27,2003,base,1541
27,2004,base,1650
27,2005,base,1864
27,2006,base,2011
27,2007,base,2066
27,2008,base,2420
27,2009,base,2517
27,2010,base,2793
27,2011,base,3023
27,2012,base,3095
27,2013,base,3356
27,2014,base,3449
27,2015,base,3449
27,2016,base,3584
27,2017,base,3631
27,2018,base,3791
27,2019,base,4159
27,2020,base,4783
27,2021,base,5247
27,2022,base,5135
27,2023,base,5239
27,2024,base,5676
28,2000,base,125
28,2000,extra,259
28,2001,base,115
28,2001,extra,274
28,2002,base,155
28,2002,extra,296
28,2003,base,161
28,2003,extra,320
28,2004,base,152
28,2004,extra,307
28,2005,base,195
28,2005,extra,189
28,2006,base,189
28,2006,extra,227
28,2007,base,203
28,2007,extra,223
28,2008,base,221
28,2008,extra,261
28,2009,base,194
28,2009,extra,262
28,2010,base,288
28,2010,extra,139
28,2011,base,254
28,2011,extra,145
28,2012,base,274
28,2012,extra,153
28,2013,base,302
28,2013,extra,169
28,2014,base,278
28,2014,extra,162
28,2015,base,340
28,2015,extra,98
28,2016,base,295
28,2016,extra,102
28,2017,base,296
28,2017,extra,115
28,2018,base,343
28,2018,extra,106
28,2019,base,356
28,2019,extra,113
28,2020,base,372
28,2020,extra,20
28,2021,base,391
28,2021,extra,24
28,2022,base,393
28,2022,extra,25
28,2023,base,407
28,2023,extra,33
28,2024,base,470
28,2024,extra,29
29,2000,base,32
29,2000,extra,373
29,2001,base,34
29,2001,extra,351
29,2002,base,32
29,2002,extra,396
29,2003,base,38
29,2003,extra,402
29,2004,base,41
29,2004,extra,465
29,2005,base,39
29,2005,extra,287
29,2006,base,49
29,2006,extra,342
29,2007,base,59
29,2007,extra,378
29,2008,base,72
29,2008,extra,394
29,2009,base,67
29,2009,extra,477
29,2010,base,83
29,2010,extra,308
29,2011,base,69
29,2011,extra,323
29,2012,base,101
29,2012,extra,344
29,2013,base,95
29,2013,extra,377
29,2014,base,103
29,2014,extra,361
29,2015,base,101
29,2015,extra,320
29,2016,base,102
29,2016,extra,329
29,2017,base,100
29,2017,extra,297
29,2018,base,91
29,2018,extra,333
29,2019,base,111
29,2019,extra,380
29,2020,base,136
29,2020,extra,290
29,2021,base,131
29,2021,extra,278
29,2022,base,128
29,2022,extra,282
29,2023,base,132
29,2023,extra,273
29,2024,base,150
29,2024,extra,364
30,2000,base,25
30,2000,extra,306
30,2001,base,34
30,2001,extra,383
30,2002,base,32
30,2002,extra,425
30,2003,base,22
30,2003,extra,410
30,2004,base,40
30,2004,extra,487
30,2005,base,33
30,2005,extra,289
30,2006,base,50
30,2006,extra,340
30,2007,base,58
30,2007,extra,367
30,2008,base,51
30,2008,extra,408
30,2009,base,80
30,2009,extra,488
30,2010,base,98
30,2010,extra,314
30,2011,base,89
30,2011,extra,352
30,2012,base,89
30,2012,extra,370
30,2013,base,89
30,2013,extra,371
30,2014,base,70
30,2014,extra,322
30,2015,base,79
30,2015,extra,376
30,2016,base,56
30,2016,extra,331
30,2017,base,80
30,2017,extra,343
30,2018,base,79
30,2018,extra,357
30,2019,base,80
30,2019,extra,383
30,2020,base,99
30,2020,extra,336
30,2021,base,88
30,2021,extra,306
30,2022,base,87
30,2022,extra,311
30,2023,base,87
30,2023,extra,370
30,2024,base,106
30,2024,extra,374
31,2000,base,344
31,2000,extra,15
31,2001,base,366
31,2001,extra,14
31,2002,base,483
31,2002,extra,19
31,2003,base,428
31,2003,extra,13
31,2004,base,464
31,2004,extra,18
31,2005,base,501
31,2006,base,576
31,2007,base,505
31,2008,base,536
31,2009,base,561
31,2010,base,614
31,2011,base,612
31,2012,base,633
31,2013,base,577
31,2014,base,644
31,2015,base,638
31,2016,base,657
31,2017,base,685
31,2018,base,681
31,2019,base,701
31,2020,base,747
31,2021,base,605
31,2022,base,672
31,2023,base,736
31,2024,base,675
32,2000,base,136
32,2000,extra,248
32,2001,base,162
32,2001,extra,248
32,2002,base,171
32,2002,extra,288
32,2003,base,165
32,2003,extra,238
32,2004,base,198
32,2004,extra,310
32,2005,base,206
32,2005,extra,130
32,2006,base,266
32,2006,extra,168
32,2007,base,269
32,2007,extra,146
32,2008,base,274
32,2008,extra,184
32,2009,base,329
32,2009,extra,192
32,2010,base,351
32,2010,extra,15
32,2011,base,408
32,2011,extra,12
32,2012,base,425
32,2012,extra,11
32,2013,base,477
32,2013,extra,15
32,2014,base,435
32,2014,extra,15
32,2015,base,475
32,2016,base,500
32,2017,base,501
32,2018,base,519
32,2019,base,607
32,2020,base,727
32,2021,base,808
32,2022,base,802
32,2023,base,800
32,2024,base,853
33,2000,base,424
33,2001,base,505
33,2002,base,566
33,2003,base,602
33,2004,base,692
33,2005,base,803
33,2006,base,902
33,2007,base,976
33,2008,base,1069
33,2009,base,1149
33,2010,base,1285
33,2011,base,1378
33,2012,base,1467
33,2013,base,1463
33,2014,base,1582
33,2015,base,1632
33,2016,base,1643
