field_id,period_start,cohort,n,non_en_top_label,non_en_score_ge_09
11,2000,base,1663,42,13
11,2000,extra,501,11,5
11,2005,base,2529,62,27
11,2010,base,3937,116,52
11,2015,base,4348,126,74
11,2020,base,6477,111,67
12,2000,base,873,41,22
12,2000,extra,1291,53,33
12,2005,base,1564,56,28
12,2005,extra,600,21,12
12,2010,base,2218,86,52
12,2015,base,2818,160,108
12,2020,base,3484,251,147
13,2000,base,2719,13,5
13,2005,base,4063,59,31
13,2010,base,5218,40,21
13,2015,base,5562,46,29
13,2020,base,6784,26,17
14,2000,base,755,15,5
14,2000,extra,1409,15,9
14,2005,base,1483,22,11
14,2005,extra,681,14,7
14,2010,base,2183,47,22
14,2015,base,2689,102,63
14,2020,base,4086,132,89
15,2000,base,163,0,0
15,2000,extra,2001,8,5
15,2005,base,213,0,0
15,2005,extra,1951,17,11
15,2010,base,242,1,0
15,2010,extra,1922,25,19
15,2015,base,259,2,2
15,2015,extra,1905,16,11
15,2020,base,317,2,1
15,2020,extra,1847,8,5
16,2000,base,943,8,6
16,2000,extra,1221,9,8
16,2005,base,1366,25,19
16,2005,extra,798,15,13
16,2010,base,1690,21,15
16,2010,extra,474,4,2
16,2015,base,1558,13,9
16,2015,extra,606,7,4
16,2020,base,1745,11,9
16,2020,extra,419,3,2
17,2000,base,3288,31,17
17,2005,base,5554,46,29
17,2010,base,7074,98,63
17,2015,base,6912,188,113
17,2020,base,10039,254,184
18,2000,base,285,1,1
18,2000,extra,1879,15,12
18,2005,base,564,4,3
18,2005,extra,1600,15,11
18,2010,base,874,16,10
18,2010,extra,1290,18,8
18,2015,base,922,18,15
18,2015,extra,1242,28,25
18,2020,base,1166,18,18
18,2020,extra,998,11,11
19,2000,base,842,9,4
19,2000,extra,1322,14,5
19,2005,base,1199,19,8
19,2005,extra,965,14,7
19,2010,base,1605,30,18
19,2010,extra,559,11,7
19,2015,base,1699,25,13
19,2015,extra,465,8,6
19,2020,base,1871,20,17
19,2020,extra,293,2,0
20,2000,base,766,17,6
20,2000,extra,1398,32,13
20,2005,base,1239,42,17
20,2005,extra,925,23,6
20,2010,base,1850,49,19
20,2010,extra,314,8,4
20,2015,base,1952,82,56
20,2015,extra,212,9,6
20,2020,base,2890,101,84
21,2000,base,115,1,1
21,2000,extra,2049,16,8
21,2005,base,241,1,0
21,2005,extra,1923,16,9
