work_id,selection_order,cohort,field_id,period_start,title_language,title_score,abstract_language,abstract_score,text_sha256
W1907301192,38,base,14,2005,fr,0.48150381445884705,fr,0.6389448642730713,866887f0e6588d2ff31f277c622ab4ef0470308dd146430b0961b0575ab66b19
W1994563228,46,base,31,2005,en,0.5056044459342957,en,0.7289189696311951,d0b1afeb2ae3799906812bc15f15699eda17fbd9d0aa78e67939a726f61ac2d9
W2082620314,55,base,23,2010,en,0.8167500495910645,ko,0.8486177921295166,65f30febb84a72ca32fd03c7851900550ed55cfc471a1d54838d483b908fdea1
W229474219,97,base,12,2000,en,0.6622292399406433,en,0.6750555038452148,64d4fb165f2c71cc1b4cd9115b0f2919c728941c70aec551d9ec313f054587ae
W2894914924,123,base,27,2005,en,0.7635674476623535,es,0.6926087141036987,2f535c0b445bacf9dda778dc3ed8cb61b879825a7494ff5fb3332552b3492b20
W2019198737,125,base,12,2000,en,0.6901957392692566,en,0.7146016955375671,afac791fcdbe909c373317abf0154ec4f46a5e93390baf90b2a7596fc32a22d1
W3137799247,128,base,14,2020,en,0.8956478834152222,ko,1.0000677108764648,cbe64d0438b37926ccd0f4e8dd5f655ac80731c1e4ba01722a7c9941cb0bcb3a
W4233175709,154,base,11,2005,ceb,0.1225070208311081,en,0.6857904195785522,5879102fc6b82644d770101f8820dc5198ffc7623dd137525449793503e545f0
W4353100260,202,base,14,2020,en,0.7464447021484375,ko,1.0000699758529663,1c729663e19fda0c582a4da4dbe480b215b6496de6d2e1bac8187f1569d95bf7
W2038605152,282,base,32,2005,en,0.8233728408813477,en,0.7232133150100708,1b20b4094594cbc0dd2efb022c9a2500c8e0d87d3757f5ffb420b77a9588bf39
W3203183458,327,base,13,2010,en,0.779977023601532,pl,0.9970592856407166,0523174568fe76104e5f639023b2e33a5c61412b2ca0455b0c14d9e0ef05d24c
W2050130872,385,base,36,2010,en,0.873014509677887,ko,0.8879938125610352,a23affe55a1dd7b098b53e0575315a6ff05eff08fa20ec41ec794b17fad413f6
W4225873961,419,base,22,2020,en,0.8050837516784668,ko,1.0000698566436768,6b77824f068f3d6e42b4b3781f69dc607408075e27d3d6d42868c588e589643e
W3016911786,444,base,33,2015,en,0.9611217379570007,uk,0.9928604960441589,9de92439313c4fb78de679123090c1ecea90b739fe28dc00f43f46b1d50514e0
W7135317188,494,base,33,2015,es,0.9486567378044128,es,0.9720563292503357,0608019c16867815f6e23cb2ee6644a80f00ba4d5486d14bdec4939db0f856da
W2362951679,502,base,22,2010,en,0.8251644968986511,en,0.7601069808006287,8b896ebeebe540f5fd6ffe46fe1215cf67a28ca04ca40c18b8a08beaea2c4512
W2807499290,521,base,17,2015,en,0.7456887364387512,ko,1.000069260597229,7b0b80858407d4398a05e8752e2ef4a26a2d9dc0bd341b91c404ff25051e95d6
W2274798875,548,base,22,2015,ja,0.24653853476047516,hr,0.5686802864074707,486f1072f62216c76d9bee5272710f553a47c09ccc171bb17ed1158733936d1b
W4212982403,641,base,12,2020,en,0.8390753269195557,ko,1.0000697374343872,cd8e0c9b1f446a02d2e9ee9781978e253a02497857418103b7264385177b77a9
W2007694992,663,base,26,2010,en,0.7604610919952393,en,0.7849177718162537,4fd79ebb2681cc26f3df148adf3d119a544d2733bfc7c3fde1b5fc7bce59b8aa
W4287611645,722,base,12,2020,en,0.6665764451026917,en,0.67671799659729,5288227b0ef5b60656d638cffe5603e00898ccc8090439572e07be67968a6d75
W3153359747,769,base,27,2020,en,0.7922942638397217,es,0.4849341809749603,a0f10c5c7cf274c1f90dee4ee1fa6a60d64fc285a1d275462d60431328fb554d
W4394721820,775,base,12,2020,en,0.8090234398841858,ko,1.0000699758529663,8a7cf7ca5860c2f739ef79605b82caffa1160d6c76f514e1f8bbc6f0aed9eadd
W2159144193,820,base,26,2000,en,0.38419628143310547,en,0.655121386051178,3bb6e17b66f90ee024d8579708bf385fe0e0f87f216b2989aa0f0c49433dcb97
W2913219316,833,base,32,2015,fr,0.3583199977874756,fr,0.9948040246963501,4c1e67e14be1e6601dd406aef1dd7809f5f22a671150f8af782af77c9aac6931
W3171982092,849,base,25,2020,en,0.33066990971565247,de,0.9892621040344238,d1071c734ec27935555589ed4c2ec17d678e0b2f214e4228d91961e9b07d324b
W4205268744,941,base,33,2020,en,0.8477941751480103,ko,1.0000699758529663,ef212284ac828d5d1230b38b708523aa4dd168490602bbec08a5c29d29613478
W2410229721,989,base,20,2000,cs,0.515657901763916,en,0.06022590026259422,92fa299e66cf8d1f86223379f230475e429c2737a55fbd52948064e0e6a31e05
W2470413255,1007,base,28,2015,en,0.8754594922065735,pt,0.535245418548584,450cf6cca76f8a45d85b5978c1b10c62d23029f62b233dd942ef0c459c750acf
