work_id,cohort,field_id,year,title,abstract_words,flags
W422379121,base,20,2007,Evaluation of the output gap: the case of Greece 1858-1938,70,"[""abstract_50_79""]"
W51824888,base,16,2008,4-(4-Cyanobenzoylmethyl)benzonitrile,50,"[""abstract_50_79""]"
W2121793199,base,22,2000,"Compact distributed RLC interconnect models. I. Single line transient, time delay, and overshoot expressions",54,"[""abstract_50_79""]"
W1907301192,base,14,2009,"Andreu Solé, Créateurs de mondes. Nos possibles, nos impossibles, [creators of worlds. our possibles, our impossibles] Monaco, le Rocher, 2000 (réimprimé 2004), 311 pages",50,"[""abstract_50_79""]"
W1994563228,base,31,2008,Multiparticle entanglement in the Lipkin-Meshkov-Glick model,72,"[""abstract_50_79""]"
W2782968711,base,12,2017,Concept of Lighting Design in Egyptian Museums’ Spaces,70,"[""abstract_50_79""]"
W3134908123,base,29,2021,Duodenal displacement and acquired intrathoracic stomach in an extreme premature baby on jejunostomy feeds- a case report,55,"[""abstract_50_79""]"
W4416053292,base,27,2015,Bilateral femoral neck fractures occurring due to chronic renal failure : a case report,70,"[""abstract_50_79""]"
W2595933779,base,17,2010,The Effects of Truthfulness on a Computing Resource Options Market,50,"[""abstract_50_79""]"
W4407049804,base,33,2015,Un type de discours didactique: la classe de langue roumaine pour les étudiants étrangers. Particularités pragmatiques. Étude de cas,62,"[""abstract_50_79""]"
W2365780371,base,14,2009,Reform in the Government Accounting Based on Accrual Basis,65,"[""abstract_50_79""]"
W2130730834,base,17,2002,Linear independence as evaluation criterion for two-dimensional test pattern generators,63,"[""abstract_50_79""]"
W2019198737,base,12,2002,Perspective Yet Again: Damisch with Lacan,50,"[""abstract_50_79""]"
W3137799247,base,14,2021,"The role of tourism entrepreneurial education on university students’ entrepreneurial competency, intention to start a business and intention to get a job",148,"[""many_non_ascii_letters""]"
W2183062967,base,22,2014,Optimization of PAPR in Orthogonal Frequency Division Multiplexing,68,"[""abstract_50_79""]"
W2056868947,base,11,2004,In vitro polarization spectroscopy of the human epidermis,50,"[""abstract_50_79""]"
W2102153464,base,22,2003,"Analysis of a class E tuned power amplifier with non-linear parasitic capacitance, using genetic algorithm",64,"[""abstract_50_79""]"
W4236612793,base,25,2004,Magnetostriction and magnetic forces in electrical steel: finite element computations and measurements,54,"[""abstract_50_79""]"
W2378357032,base,17,2007,The Analysis of The Validity of Multiple Choice Questions,61,"[""abstract_50_79""]"
W4233175709,base,11,2005,Zonocerus variegatus . [Distribution map].,74,"[""abstract_50_79""]"
W2929217812,base,27,2018,Use of High-Dose Hydroxocobalamin for Septic Shock: A Case Report,59,"[""abstract_50_79""]"
W1908123278,base,22,2002,Advanced packaging technologies in MOSFETs for power management,61,"[""abstract_50_79""]"
W2152010031,base,26,2011,Pseudo PQ-injective modules,59,"[""abstract_50_79""]"
W2390072617,base,22,2010,Effect of Different Kinds of Organic Nitrogen Fertilizer on Growth of Cucumber,73,"[""abstract_50_79""]"
W254940828,base,17,2009,Algorithms for encoding messages using a visual key,72,"[""abstract_50_79""]"
W2980167748,base,32,2013,The Plant Science TREE,56,"[""abstract_50_79""]"
