work_id,selection_order,cohort,text_sha256
W4395065841,7,base,29e9bde5df1348c87c1416c442006e5fe14583f7743492b7b32481b5c780a77c
W3081773098,33,base,e781b46951db711b577be9f685b22bd37194d8ff8a0be25d569064079b400ffc
W2980561271,71,base,5b37036906aeff0e7a0701158a3a5c26555ffc0d9911c48964d489e007a74fa1
W229474219,97,base,64d4fb165f2c71cc1b4cd9115b0f2919c728941c70aec551d9ec313f054587ae
W2059154607,131,base,f6a5554acdb86626cf2df10328cf9c865d843c029f945a10e19b48cccf316276
W2131520349,132,base,0ac2f9eb8577a200f9a385c7a0eb4c457cece47873bdfadeacb3aa714d6fbd81
W1482911975,163,base,72c27944d96103ca1739e529c4ae7b2f576ccc92eae57cd6ad2d8588108429f5
W2752557871,218,base,8f37cb2a51c99971d13119748c8f35e253a35b805009c539ea2be0849707260c
W1090345422,236,base,086c7f8aa1c0ee329c9ca52666f234d8eaa65488f86f6ac9a11686bd29fec13b
W2098095887,243,base,a81c2aa55f8eb1b12ffdda3d5de7f80d11ac1b8f30a39c89defd5d5835a7919a
W3093615355,348,base,fc9cee2d42e4055728eedec177751f11eafce5e5d90b90521395fb9410f19ecb
W7112436186,357,base,bedcf89e5066480ce5d0a7db069549063fdaba0051340b897fa2f64e5d449f48
W1042617775,379,base,c6fb5709d18370be997de7de0c11b2fa67e2ad8b08fdfb7b88f590fe5103846f
W2957037469,466,base,ee7f510e58fca7f5b3bc9c53c8c59cce6970851690616bb5a4e4af1b2abb3400
W2071276534,498,base,ac07c7ef4355d59a5482e92df4bf42620723c36dc67c4f61870c64bac167a95d
W2132495434,511,base,034fc2678882d049ac7f0493f9bad408842d2d5855b99080601f4893fbe2317d
W4312665461,542,base,99edc5126cbbd5f98fb30821f239ed96f0174851cdae32be02a577896a484b0b
W4205933934,554,base,88d6fa0d6d6b6d2645b5ca363a53adad0e90f362568ca855d13c82c079a944b0
W63746988,596,base,c48aeb77a4a9e9e524eaafdc056a822341ef06f98c38dab7fa825430b7a4ef48
W4385476609,632,base,6b0e2e851edaef4ef12279bfb935084a2deca055804f8600212cf590148bfc2e
W2069653620,736,base,4752bc2e8a43e94f6850e1439564fad1eb7a218d7fea5cc3667e9b3cc9202da0
W2470394041,755,base,6340b47f6df2eb75641e2acaacf23d740ad9f6562a6f9616f75c5a7e549b4652
W4387855153,774,base,3f030f6dc369c66aa749b12fd34d42e75613978db5220695c0f3235baf8559a2
W2347451602,789,base,7aaa5cff72afd439035aba20d72d6924671e9fe2503a6a1921a99c9b1af71427
W2159144193,820,base,3bb6e17b66f90ee024d8579708bf385fe0e0f87f216b2989aa0f0c49433dcb97
W2010622438,900,base,cd527599abedcd31a4c09fb11cf0d869f0f0d08e6a0ff1ea723b904f2616beee
W2134184932,934,base,1a6546821a4580b5ae8aeb92725da6ef6dc83e560ba8fc3dd1bb51c5d19d56c2
W4205268744,941,base,ef212284ac828d5d1230b38b708523aa4dd168490602bbec08a5c29d29613478
W2046917531,946,base,ed21fb27b2cdce98bd1111a3a6a47f49bcd7d77d802ed7878c64442786d3a2f9
W2010625783,990,base,9b4f500a0f8b770ccb4e099f46c6675280aa882dfd89352cb7b1b8a99e401023
W3104098986,1005,base,8181958e81bc1e60159f00e3296f96f178c2e0d8afc29d63cd5f68e62486c083
W2107575096,1083,base,69efcd07c2aa412982118920145227df625d3a3192cbfc80da4c1dbdd35bd476
W2773165621,1126,base,86bab504093d7175a6553d4b33dbd2ce99e83c958ac40c2d1c9856ec88eedfac
W2320140927,1140,base,a254415ca05070a810d6e41b08775da7ec2dc5b13967e68bd6c449858102ae9f
W1674383339,1157,base,9e26354d0b04dcb6c8b2d3fc4c53da765a0785479857581a43de7e58a81e83a0
W2523570442,1223,base,03031583f6c98e669ed2b2cb3ba259d86bb98b8355d70fc767b11ffc5e9a0a06
W3026185190,1239,base,1fb5819b5561869a822817df28fe345eb058cdfcd88b0ed97c96d99751076f80
W1965996119,1247,base,fa9502ca78fbc17d2f9c283cf062aec2d594e20977573735af3331103ef3af1a
W4309187092,1270,base,22e38df5d2fe5fac9bc74b385f866fffad8afff059ebf44d85bcd5558a2b1605
W1582183500,1320,base,b6f8c963c1955691a9d551740efdb5d2c778a1f61855f82a23b2039cde2fa06e
W2149825289,1326,base,35a481f6e22e466e9781206059ba8861493f6230eb2b5f26b2c6bfc753d9c8d1
W2585466402,1377,base,9fe955223336a2f59487a3c27be4b2593dc2bf60a599a01942f5aea747ea2c76
W1998229919,1471,base,fe073e7bca0eaa06c44b4ec6df015402ff93888f4da7ef9a8084b5594339fae8
W2117172606,1539,base,12ecebd6313db87e641e85bab281ce0b3dbd892a0f665438e946795a7ed5dfeb
W168705164,1563,base,47bc50950994226d633e8c479b5101f79e3941752b46d91b09bd15a61eaf648d
W3146119430,1573,base,7f8e20ac03e6eaa3d8c92bbdecf80c6d5776bdc68d0aaa54c2243dec18ce5ad1
W2256613283,1592,base,3524d07504d1ecfe2deffd8a27ca8a4356033a0b8813b6e8340a9a0eb935a211
W2528452503,1630,base,66845343277976a33864e50b471bce91fc3566653383f71b7b724e3178767790
W4385202034,1650,base,c59e39a33ba247c28cf6f85f2df3a3bb88c1ece265acd5064cbc4a53c0140e3e
W2119543042,1651,base,7a933d5161df2661f766eaa774b10a7c9c1cd186af09eca24594129bfa1b3ddc
W1976658707,1688,base,8284c033ef235198167e6ce6588ca8310bd1f7037d33d22c3bbc5d4ea4f803c3
W2586916239,1704,base,0724fae1e860b2b66c2e9b19faaaca24ffc1e5519af5740db89923d7832d1a61
W2198028705,1713,base,355fcd86328f41503ddf06008409421ace2a060e3f94d6af8ef807949cebab38
W2965104977,1739,base,023908185ce1894d090eaf79695043dd077f5e85b987f26b433fadc63255646f
W4411192366,1744,base,e3a0e86337f65fb6523931c87b3fd468c8a82664add145d5c205ea4f36d95373
W2438856762,1797,base,879ea91e6f91c802751342deaee2ab0a37e2ebc4490b8a5f9d639d8d63a98710
W2035175739,1828,base,62c6eac57757b047c5eb035967f79fc80e4c446100f54ca7f212e81dbc83b321
W4321600107,1840,base,014d8f691d7676ae59a150434f4ca6c276c0eee6198be684ecbfe00d2107dd8e
W2388192397,1976,base,8c8ac9823cbf694e8a57fb9d1f2055ef4567d09ea4e5bf5e728d803fa262caaa
W2386419512,1995,base,3dead6cae74787ba8de9b91f9e7fda9303166658e1511b0b7067d7489916af4f
W1504091351,2027,base,a64a18207867cedd931fecbb13a643d6f09a9ea421addf192ff19a2485484862
W4378229780,2096,base,ac1687f9bc03d724b4ccffa56aa1e3e7ddd46acca1616817126c7210830c4c85
W2358886641,2256,base,6f49e0498dcdccbc86bdde6a12f77f7967c37be5825d7b9418159d12dfcf2611
W2098648811,2259,base,ad80470d74b0d89931fe730654195adbf3b54845fe24da6c271c828fc13d9e57
W2108987968,2261,base,ef323f69d787b820db5c5cfb559d63f9bd59f73eed73018d3ccc1417abc8638e
W2065949134,2339,base,a7caa6412963bce4cc74a66c60aa19fd4b05b9f04626d95195035a583f5bf5ad
W2382066174,2441,base,2cc57d7947d8f0f1328ea77f8a6a035f4780c4f8e5273a5256922ccc683b7e5e
W4307940663,2577,base,9d16501bcc0caeeaf706238786b8cda627ce2703a0b6ca23df4ad90d5803f540
W2950758232,2629,base,fbfa4b687e822fa374b84e293db5510db8f40973f32bea2e42b4e6b660ef716a
W2136047624,2658,base,6e3ccc200b725312bc9b70cf4bd401f91c9a5705628c85105f1ba31cda0a943c
W2300567086,2662,base,c6e2cf8048e7ca886176e72c62a4aae73163e8a045cafeaeb06520bed415701b
