model,start,end,rows,directory,rows_sha256,commit_sha256
specter,0,1024,1024,data/embeddings_v1/specter/shards/000000000-000001024,f7c73da865a89da01ad2cea4592716b7112e56a0cde6426e2d03fe2291a0d159,2cad0467a68702a78fab30eb9d9727bd5aa53c61ffff67c52d134ce4567f9590
specter,1024,2048,1024,data/embeddings_v1/specter/shards/000001024-000002048,d9efac5a3c5841b73c888b47ed4c071e9e41b5a335754bf30e582f570d6baff6,409f0a425095716639da2c31eba59d04133cef38b8607d4f4fd6885728eb7137
specter,2048,3072,1024,data/embeddings_v1/specter/shards/000002048-000003072,0e7626433863df133958cb3dfdd23a139cab3af588e52d43fa3350afb2b31c49,0dd82cf7695d133aeb32fa12e8ae24d6ae6a414018e5b060ed78ed296156c9be
specter,3072,4096,1024,data/embeddings_v1/specter/shards/000003072-000004096,3fe4639347ff9f1f9b0d673d4e1f4fe51298c1a9b5bcefe1228be2f2334a1b20,17a0ce4ad7e317a07daeefad4ea870abd036ea305202ebed89030b5fddd00ae5
specter,4096,5120,1024,data/embeddings_v1/specter/shards/000004096-000005120,d760eab20e2d891cd92e6c06ee1291930a7963325817cec36651fc2b721c54e1,f130ddb027411ca971fcff2dcb75c0bd0cfbf14d2322038ddbf35095b7f5fbfc
specter,5120,6144,1024,data/embeddings_v1/specter/shards/000005120-000006144,8a41f5de2acfe675c2fac067a1d41d7c2b3da376c957cc6b0b6c059544450932,d17328c3c03f182b853cc1fbb96bc8cb90a7c7f6e53876f9b0b7a02e32556e41
specter,6144,7168,1024,data/embeddings_v1/specter/shards/000006144-000007168,5fe1e25e59d4816937bc3ad1090b96c683ca2d7b52cc3ba7d9d25691f56b3f93,85e01e43c2a28d8ca29e72e962463226892a536aea5ecba2688827adf413081b
specter,7168,8192,1024,data/embeddings_v1/specter/shards/000007168-000008192,849d550d4d636d264fe86348bf7bf0226ecf18dcafeccf6ebf227d6bf2126edf,79b6af6f709f0b0b6cea74a32357fdec749632f4321f9049d5d6ca3fd60b5a16
specter,8192,9216,1024,data/embeddings_v1/specter/shards/000008192-000009216,663c83444ec7f50c997fadd3f10df576e220bad6345f384ff045384ab0a13e5e,ad9f3783d0e18e4cc84a7c4aaaae28f907517a07965c9bdd2fe06b8d62442697
specter,9216,10240,1024,data/embeddings_v1/specter/shards/000009216-000010240,ed185b07fe67dc27db098a5005a4d78c83524c5494cbd3b28faa12958043cf78,626735598eb40927c33176c2abe98484b3464b1b96f380df277652d984d9bc51
specter,10240,11264,1024,data/embeddings_v1/specter/shards/000010240-000011264,733fdd85619fca245c2c445410efeda7e2c3e3489024b8ff4a2170f43b8ac880,34e91b610960af9e39e11639d81ae8b1523dbd9584e1743ced0e30300952ca75
specter,11264,12288,1024,data/embeddings_v1/specter/shards/000011264-000012288,652e7d72962ab4fcf1c2a399bb8696420cfeb86bcf309254b275285bd23ea408,dac3eb7c8c4eba6c7d87f366e1159f38cdec3cd482ed1bd600087ca1e95fdfca
specter,12288,13312,1024,data/embeddings_v1/specter/shards/000012288-000013312,42b99844e9e658dc1e6966fac349a7c00263efcdcb6636d3fbc4af979289b3aa,ae4cacb7c9ca6151f1dc06fe683f5c172580e052694cc1dcce41b69a11d46605
specter,13312,14336,1024,data/embeddings_v1/specter/shards/000013312-000014336,e805ce81ef2a17c3222b3ff35bb51c7e3b7b0b903fc368332c862fce21c47dff,a3a4e810770a86ea889cdf87fa87dbc2e04d7e65ffd662c2a8d58b13719d8f38
specter,14336,15360,1024,data/embeddings_v1/specter/shards/000014336-000015360,283385b6ad5aeaee388750fa15a26161db7a28dd06650cf2b438d841db330140,fe66ec3fd18f805e56c951b8188cc0b1b782ef0f06454c1e783d1350ed80ca39
specter,15360,16384,1024,data/embeddings_v1/specter/shards/000015360-000016384,cbc1d253b9278bb97429babd3466ab56dd5bf563b70cbbbd3f9d3e67bd0f57fc,82a6e0fc06100c800c67dcd2ba75b4e69682c873ef39cf5c9d5204848bf30280
specter,16384,17408,1024,data/embeddings_v1/specter/shards/000016384-000017408,c7bf38492d5fe6584bd85b7c6ec672e143ec4d6ce489f77afd3d44ea4f909ac6,1255ed7fa7002eff053621fc7692b194f9cb748197856c0baed310048337243e
specter,17408,18432,1024,data/embeddings_v1/specter/shards/000017408-000018432,29316858a4e73e6c82f072db1a92c5fea3ef4f07e7a6d484a1da3bd0d7b496ca,3cd8fce9768847afbe12796e24a87f64940a009b9e64b68799fa6d2dbe3bd5ea
specter,18432,19456,1024,data/embeddings_v1/specter/shards/000018432-000019456,54fd58ce6b5dfb92a4b3d7a9a6526c30333020d02a4220c3cd80d5d599cc4363,71373d5bc122a98b8bdbd1e9a6f1b5c7b2eb7a0dd9594f65212825e1498ee401
specter,19456,20480,1024,data/embeddings_v1/specter/shards/000019456-000020480,ef3153cdc374a7f70a08b814c46bb6f08408e315335a07bf1b1ec6b0192e52bb,bf1b81e3825bf0a25744384140415cdf81aae83e3f4cb5bc32158231395ac0b6
specter,20480,21504,1024,data/embeddings_v1/specter/shards/000020480-000021504,5029ec5f16b4d2e07aae2828e523e9e269e3e06ab84bd134332930505a22f03b,791b10741c61c981acb0bd9a4d86528ba4731f7d6b03503bc1daaae5394c8559
specter,21504,22528,1024,data/embeddings_v1/specter/shards/000021504-000022528,c05a0aa3845ddd74ec9966662ca44fb70e2e5bbce17a232256cd98ec3b9c66e8,a8096299be35fc36c14565848cca1c4ec3cd785ec3eff2572e3fc64484be26ef
specter,22528,23552,1024,data/embeddings_v1/specter/shards/000022528-000023552,42f60d30aad237d5f68636ab445b8c78dc0be4eb2cc2c393bc075bca0b5b502a,132b30ec0979713af264a497c6f67e2010f501e2461093736632bdeea5ebc9aa
specter,23552,24576,1024,data/embeddings_v1/specter/shards/000023552-000024576,cfc019ccbefc8718fa7c622dfde6bcf47c13cd8dee7c44dbebf9fba02be1a6bc,10b212f15ba2f3aa3b45bc42d89c03ec7489c6a892790d0b87d5dbad6e6036b2
specter,24576,25600,1024,data/embeddings_v1/specter/shards/000024576-000025600,a17b12000d080a03dcea1daf720cc4ef0e6ada8a1e7563f330f397a2ee8f22f4,a52647423e13931b99675a58609e8cb172669ad88a8828133859f5304e5afa85
specter,25600,26624,1024,data/embeddings_v1/specter/shards/000025600-000026624,219643ba7aae7eb4a6bf9d2e181829bf64f7a40921e489e7d3ae2311c0b697fa,4f13902d388882a9a284062e379d685c8d8b70ac58b6e928d193424996232d3f
specter,26624,27648,1024,data/embeddings_v1/specter/shards/000026624-000027648,543a977157a0b5d8d4584b008f42c1e0f701cad8c8965537e66d6921c8efc656,47ffb65a4f99c2fa6a8934f9071624488a48cecd350c92c76fbd095d7c20680b
specter,27648,28672,1024,data/embeddings_v1/specter/shards/000027648-000028672,97eeaf547822af54bfce73407ce0726612b3b66711cd871a0968876878a5d376,456036c6b5fe09871527fe17a8386ca0704bbc13fc9405b0ae3180279a0f9a8f
specter,28672,29696,1024,data/embeddings_v1/specter/shards/000028672-000029696,770b6cb1f230bb9691312d4d3edd2e38a5ff7f06ac9b1583a61fe55424805d8e,c52b7a4995481449f4b9068f931264393e223589d7f73a11c93867c0b26ccc92
specter,29696,30720,1024,data/embeddings_v1/specter/shards/000029696-000030720,6fe77d6ea854f698e3ffcad21f7c3623031d67a427ee43d57f5d4f249707c1c5,090265c80087d78069882736626131ebfafad1cb40ccfe7f6a2f4df868228f66
specter,30720,31744,1024,data/embeddings_v1/specter/shards/000030720-000031744,00d195611f6b115148d243eaf05a9a7a8e200423700551a4abc6794ea4572494,33dba4de318eaf8076ded9066a58ae10f4c86d971759caba6fe23f382c68338e
specter,31744,32768,1024,data/embeddings_v1/specter/shards/000031744-000032768,76b957dead4ecb11b66684c250984ad9c75f735383f0a425af0c3f39cc63466c,06eda04e1976b8f860d1b8e42bb440f9a82e20ced0d6d225397655be152437cc
specter,32768,33792,1024,data/embeddings_v1/specter/shards/000032768-000033792,6e76bd7e18057a3c32c75a3ed9bd1a79d8b4265d3ddcfcdddff71eee3760dfc2,e3bf573d2f9d6ad70a0670b5ef04be251f26292a814a9804b03188a2c9f23cc6
specter,33792,34816,1024,data/embeddings_v1/specter/shards/000033792-000034816,9ee9c7183e0b5ad50bb0a85709dc085d23214e0a55e357383a5bfe1d63d8532d,f04a1eaba8ea49ba13fdaf0c9c555c13510722ec9e53de751e3c3f044b4de9e7
specter,34816,35840,1024,data/embeddings_v1/specter/shards/000034816-000035840,03edde3c5a226eb714352c4b5b8cc791386ef3918f9f218e68de6cde1282942c,6c116bbb1eb312874bb340c6f10a2c3111c5602c31e378e3d3740b71f8a65c61
specter,35840,36864,1024,data/embeddings_v1/specter/shards/000035840-000036864,11b8aeadd33ecabc216971f33a2f8c23873dea88c5624f9eae982e6169102940,d2b7dd4e1005447b9cbe2073a658c4a7bb4d2cc06a08ef63aff92c30f12d9142
specter,36864,37888,1024,data/embeddings_v1/specter/shards/000036864-000037888,3cab7d3910e4b8d3d33031e77fb72c8c8a9ceb593add9de924521d6b794e8a33,02939f55469f77b0d8d72d199a8619884c368d5273cd65cd8ec70fe77ca82edf
specter,37888,38912,1024,data/embeddings_v1/specter/shards/000037888-000038912,9e0a3f09de327738d4e111cc7ca06a42fdb685c6f69a48acd6c7d87792dc74fe,a35870b1505cd0aee4d39bd06451eb18bde6c437cb22307c27819907017cf7eb
specter,38912,39936,1024,data/embeddings_v1/specter/shards/000038912-000039936,82897090341faade9ec38ce31f62911d9e2c53bb09494a737dc0fb8ff48513a6,a22f06008da64670af7f68d03e7e15f12452485ba512f0eb4270cc58312756df
specter,39936,40960,1024,data/embeddings_v1/specter/shards/000039936-000040960,22ddfe637364360a2f9267c595dd4c380aa6ea3b982f813dc3dc7c976a13a098,002ac68895158ae71f283c78441a5def17636c9af6baa38c12b0cf00589044c2
specter,40960,41984,1024,data/embeddings_v1/specter/shards/000040960-000041984,81607c614b8d07a7e603aae5f58f83bd86e8bf8a316228e6e0b8b61f43698837,e193e88eaded3cf0da3e9003519c35b1131997abbee6d57f1840002c043ceab5
