model,name,rows,truncated,tokens_original,tokens_used,truncated_percent,base_truncated,base_truncated_percent,extra_truncated,extra_truncated_percent,vector_files,vector_file_bytes,inference_hours
specter,SPECTER,500000,28285,140664473,133007842,5.657,23030,5.7575,5255,5.255,489,1536062592,2.691889175042749
specter2,SPECTER2,500000,24988,136365646,129494513,4.9976,20357,5.08925,4631,4.631,489,1536062592,2.749733172603889
scincl,SciNCL,500000,24985,136360705,129489930,4.997,20354,5.0885,4631,4.631,489,1536062592,2.609778587102214
scibert,SciBERT,500000,24808,135865646,129019501,4.9616,20211,5.05275,4597,4.597,1467,4608187776,2.6134803110088654
bert,BERT,500000,34331,145372677,136840262,6.8662,27731,6.93275,6600,6.6,1467,4608187776,2.776005573681141
mpnet,MPNet,500000,100799,145372685,128944850,20.1598,79848,19.962,20951,20.951,489,1536062592,2.1520164488905276
minilm,MiniLM,500000,247910,145372677,107398515,49.582,197321,49.33025,50589,50.589,489,768062592,0.3403641086330875
pubmedbert,PubMedBERT / BiomedBERT,500000,23728,135380318,128590579,4.7456,19396,4.849,4332,4.332,1467,4608187776,2.7989025055347683
biobert,BioBERT,500000,45016,154671262,144560535,9.0032,36168,9.042,8848,8.848,1467,4608187776,2.7267034132991306
simcse,SimCSE,500000,34331,145372677,136840262,6.8662,27731,6.93275,6600,6.6,489,1536062592,2.668733996354167
