field_id,field_name,period_start,period_end,candidates,expected_core,planned_total,additional
11,Agricultural and Biological Sciences,2000,2004,273936,1631,2203,572
11,Agricultural and Biological Sciences,2005,2009,433016,2577,2577,0
11,Agricultural and Biological Sciences,2010,2014,658520,3920,3920,0
11,Agricultural and Biological Sciences,2015,2019,743751,4427,4427,0
11,Agricultural and Biological Sciences,2020,2024,1017227,6055,6055,0
12,Arts and Humanities,2000,2004,196087,1167,2203,1036
12,Arts and Humanities,2005,2009,303828,1808,2203,395
12,Arts and Humanities,2010,2014,435600,2593,2593,0
12,Arts and Humanities,2015,2019,528617,3146,3146,0
12,Arts and Humanities,2020,2024,586185,3489,3489,0
13,"Biochemistry, Genetics and Molecular Biology",2000,2004,442000,2631,2631,0
13,"Biochemistry, Genetics and Molecular Biology",2005,2009,642981,3827,3827,0
13,"Biochemistry, Genetics and Molecular Biology",2010,2014,832210,4953,4953,0
13,"Biochemistry, Genetics and Molecular Biology",2015,2019,891760,5308,5308,0
13,"Biochemistry, Genetics and Molecular Biology",2020,2024,1065691,6343,6343,0
14,"Business, Management and Accounting",2000,2004,145655,867,2203,1336
14,"Business, Management and Accounting",2005,2009,267385,1592,2203,611
14,"Business, Management and Accounting",2010,2014,395651,2355,2355,0
14,"Business, Management and Accounting",2015,2019,460666,2742,2742,0
14,"Business, Management and Accounting",2020,2024,645626,3843,3843,0
15,Chemical Engineering,2000,2004,25108,149,2203,2054
15,Chemical Engineering,2005,2009,36435,217,2203,1986
15,Chemical Engineering,2010,2014,46959,280,2203,1923
15,Chemical Engineering,2015,2019,45786,273,2203,1930
15,Chemical Engineering,2020,2024,54983,327,2203,1876
16,Chemistry,2000,2004,215532,1283,2203,920
16,Chemistry,2005,2009,282584,1682,2203,521
16,Chemistry,2010,2014,337812,2011,2203,192
16,Chemistry,2015,2019,298349,1776,2203,427
16,Chemistry,2020,2024,301052,1792,2203,411
17,Computer Science,2000,2004,581912,3464,3464,0
17,Computer Science,2005,2009,965465,5747,5747,0
17,Computer Science,2010,2014,1170727,6968,6968,0
17,Computer Science,2015,2019,1158050,6893,6893,0
17,Computer Science,2020,2024,1587531,9449,9449,0
18,Decision Sciences,2000,2004,57117,340,2203,1863
18,Decision Sciences,2005,2009,100457,598,2203,1605
18,Decision Sciences,2010,2014,146804,874,2203,1329
18,Decision Sciences,2015,2019,159839,951,2203,1252
18,Decision Sciences,2020,2024,191213,1138,2203,1065
19,Earth and Planetary Sciences,2000,2004,143473,854,2203,1349
19,Earth and Planetary Sciences,2005,2009,203330,1210,2203,993
19,Earth and Planetary Sciences,2010,2014,262263,1561,2203,642
19,Earth and Planetary Sciences,2015,2019,265863,1582,2203,621
19,Earth and Planetary Sciences,2020,2024,298700,1778,2203,425
20,"Economics, Econometrics and Finance",2000,2004,149967,893,2203,1310
20,"Economics, Econometrics and Finance",2005,2009,236958,1410,2203,793
20,"Economics, Econometrics and Finance",2010,2014,338101,2012,2203,191
20,"Economics, Econometrics and Finance",2015,2019,356450,2122,2203,81
20,"Economics, Econometrics and Finance",2020,2024,471214,2805,2805,0
21,Energy,2000,2004,22308,133,2203,2070
21,Energy,2005,2009,47120,280,2203,1923
21,Energy,2010,2014,94637,563,2203,1640
21,Energy,2015,2019,115801,689,2203,1514
21,Energy,2020,2024,166408,990,2203,1213
22,Engineering,2000,2004,1190970,7089,7089,0
22,Engineering,2005,2009,1917768,11415,11415,0
22,Engineering,2010,2014,2523055,15018,15018,0
22,Engineering,2015,2019,2431179,14471,14471,0
22,Engineering,2020,2024,2967648,17664,17664,0
23,Environmental Science,2000,2004,293434,1747,2203,456
23,Environmental Science,2005,2009,468452,2788,2788,0
23,Environmental Science,2010,2014,665337,3960,3960,0
23,Environmental Science,2015,2019,688676,4099,4099,0
23,Environmental Science,2020,2024,932349,5549,5549,0
24,Immunology and Microbiology,2000,2004,83331,496,2203,1707
24,Immunology and Microbiology,2005,2009,117390,699,2203,1504
24,Immunology and Microbiology,2010,2014,149550,890,2203,1313
24,Immunology and Microbiology,2015,2019,160540,956,2203,1247
24,Immunology and Microbiology,2020,2024,200426,1193,2203,1010
25,Materials Science,2000,2004,226853,1350,2203,853
25,Materials Science,2005,2009,360446,2145,2203,58
25,Materials Science,2010,2014,509978,3035,3035,0
25,Materials Science,2015,2019,540660,3218,3218,0
25,Materials Science,2020,2024,623437,3711,3711,0
26,Mathematics,2000,2004,87566,521,2203,1682
26,Mathematics,2005,2009,130373,776,2203,1427
26,Mathematics,2010,2014,179325,1067,2203,1136
26,Mathematics,2015,2019,200438,1193,2203,1010
26,Mathematics,2020,2024,263950,1571,2203,632
27,Medicine,2000,2004,1197399,7127,7127,0
27,Medicine,2005,2009,1851399,11020,11020,0
27,Medicine,2010,2014,2618176,15584,15584,0
27,Medicine,2015,2019,3065799,18248,18248,0
27,Medicine,2020,2024,4132460,24597,24597,0
28,Neuroscience,2000,2004,115360,687,2203,1516
28,Neuroscience,2005,2009,164027,976,2203,1227
28,Neuroscience,2010,2014,233980,1393,2203,810
28,Neuroscience,2015,2019,260245,1549,2203,654
28,Neuroscience,2020,2024,322995,1923,2203,280
29,Nursing,2000,2004,31364,187,2203,2016
29,Nursing,2005,2009,48297,287,2203,1916
29,Nursing,2010,2014,69223,412,2202,1790
29,Nursing,2015,2019,83943,500,2202,1702
29,Nursing,2020,2024,110128,655,2202,1547
30,"Pharmacology, Toxicology and Pharmaceutics",2000,2004,29095,173,2202,2029
