field_id,field_name,period_start,base,extra,total,language_ambiguous,abstract_50_79,union_flagged,hypothetical_remaining,ambiguous_pct
11,Agricultural and Biological Sciences,2000,1663,503,2166,75,235,293,1873,3.4626038781163433
11,Agricultural and Biological Sciences,2005,2528,0,2528,99,248,325,2203,3.9161392405063293
11,Agricultural and Biological Sciences,2010,3940,0,3940,134,251,367,3573,3.401015228426396
11,Agricultural and Biological Sciences,2015,4298,0,4298,103,189,278,4020,2.396463471382038
11,Agricultural and Biological Sciences,2020,6491,0,6491,110,186,270,6221,1.6946541364966876
12,Arts and Humanities,2000,847,1319,2166,230,445,612,1554,10.61865189289012
12,Arts and Humanities,2005,1551,615,2166,165,413,555,1611,7.617728531855955
12,Arts and Humanities,2010,2186,0,2186,123,267,370,1816,5.626715462031107
12,Arts and Humanities,2015,2732,0,2732,118,217,319,2413,4.31918008784773
12,Arts and Humanities,2020,3380,0,3380,195,217,389,2991,5.769230769230769
13,"Biochemistry, Genetics and Molecular Biology",2000,2739,0,2739,49,185,223,2516,1.7889740781307046
13,"Biochemistry, Genetics and Molecular Biology",2005,4071,0,4071,80,279,334,3737,1.9651191353475805
13,"Biochemistry, Genetics and Molecular Biology",2010,5251,0,5251,68,315,364,4887,1.2949914302037706
13,"Biochemistry, Genetics and Molecular Biology",2015,5596,0,5596,60,217,263,5333,1.072194424588992
13,"Biochemistry, Genetics and Molecular Biology",2020,6840,0,6840,52,211,253,6587,0.7602339181286549
14,"Business, Management and Accounting",2000,762,1404,2166,47,461,498,1668,2.169898430286242
14,"Business, Management and Accounting",2005,1489,677,2166,45,409,450,1716,2.0775623268698062
14,"Business, Management and Accounting",2010,2186,0,2186,40,250,284,1902,1.829826166514181
14,"Business, Management and Accounting",2015,2660,0,2660,57,123,178,2482,2.142857142857143
14,"Business, Management and Accounting",2020,4040,0,4040,66,105,167,3873,1.6336633663366336
15,Chemical Engineering,2000,161,2005,2166,52,293,334,1832,2.4007386888273317
15,Chemical Engineering,2005,214,1952,2166,47,246,284,1882,2.169898430286242
