field_id,field_name,base,extra,total,base_pct,final_pct
11,Agricultural and Biological Sciences,18920,503,19423,4.73,3.8846
12,Arts and Humanities,10696,1934,12630,2.674,2.526
13,"Biochemistry, Genetics and Molecular Biology",24497,0,24497,6.12425,4.8994
14,"Business, Management and Accounting",11137,2081,13218,2.78425,2.6436
15,Chemical Engineering,1195,9635,10830,0.29875,2.166
16,Chemistry,7290,3540,10830,1.8225,2.166
17,Computer Science,32828,0,32828,8.207,6.5656
18,Decision Sciences,3817,7013,10830,0.95425,2.166
19,Earth and Planetary Sciences,7256,3574,10830,1.814,2.166
20,"Economics, Econometrics and Finance",8620,2889,11509,2.155,2.3018
21,Energy,2617,8213,10830,0.65425,2.166
22,Engineering,67148,0,67148,16.787,13.4296
23,Environmental Science,18569,415,18984,4.64225,3.7968
24,Immunology and Microbiology,4456,6374,10830,1.114,2.166
25,Materials Science,13335,898,14233,3.33375,2.8466
26,Mathematics,4581,6249,10830,1.14525,2.166
27,Medicine,78669,0,78669,19.66725,15.7338
28,Neuroscience,6824,4006,10830,1.706,2.166
29,Nursing,2077,8753,10830,0.51925,2.166
30,"Pharmacology, Toxicology and Pharmaceutics",1715,9115,10830,0.42875,2.166
31,Physics and Astronomy,14772,50,14822,3.693,2.9644
32,Psychology,10816,2229,13045,2.704,2.609
33,Social Sciences,37549,0,37549,9.38725,7.5098
34,Veterinary,642,10185,10827,0.1605,2.1654
35,Dentistry,2238,8587,10825,0.5595,2.165
36,Health Professions,7736,3757,11493,1.934,2.2986
