field_id,field_name,period_start,base,extra,total,language_ambiguous,abstract_50_79,union_flagged,hypothetical_remaining,ambiguous_pct
34,Veterinary,2010,107,2058,2165,30,114,139,2026,1.3856812933025404
34,Veterinary,2015,165,2000,2165,16,81,94,2071,0.7390300230946882
34,Veterinary,2020,212,1953,2165,8,36,44,2121,0.3695150115473441
35,Dentistry,2000,159,2006,2165,17,151,164,2001,0.7852193995381063
35,Dentistry,2005,260,1905,2165,18,114,129,2036,0.8314087759815243
35,Dentistry,2010,441,1724,2165,32,94,122,2043,1.4780600461893765
35,Dentistry,2015,544,1621,2165,34,73,102,2063,1.5704387990762125
35,Dentistry,2020,834,1331,2165,15,62,72,2093,0.6928406466512702
36,Health Professions,2000,589,1576,2165,51,309,347,1818,2.355658198614319
36,Health Professions,2005,933,1232,2165,43,268,305,1860,1.9861431870669746
36,Health Professions,2010,1504,661,2165,48,185,231,1934,2.2170900692840645
36,Health Professions,2015,1877,288,2165,43,131,167,1998,1.9861431870669746
