field_id,field_name,local_papers,openalex_basic_candidates,openalex_share_pct,candidates_with_conference_papers,min_basic_candidates_per_year,max_basic_candidates_per_year,expanded_corpus_basic_candidates,expanded_corpus_with_conference_candidates
27,Medicine,403376,12606989,20.6464,12941032,204562,841132,14193989,14571466
22,Engineering,157673,7826953,12.81816,11303314,121730,511397,8787331,12364930
33,Social Sciences,207257,6536372,10.704582,6962688,86098,489631,7783781,8268627
13,"Biochemistry, Genetics and Molecular Biology",135852,3929536,6.435381,4059893,77815,236489,4814122,4974060
17,Computer Science,109980,3793873,6.213206,5995907,45839,313648,4753111,7012541
11,Agricultural and Biological Sciences,104207,3020886,4.947289,3197049,47227,217821,4150420,4361154
23,Environmental Science,109936,2857778,4.680168,3143868,46940,198304,3585273,3904303
31,Physics and Astronomy,76364,2321455,3.801835,2801986,57515,140905,3582211,4152328
25,Materials Science,78777,2061799,3.376597,2319319,34117,128281,2373686,2646924
12,Arts and Humanities,123705,1971559,3.228812,2066441,32802,131682,2518011,2640372
14,"Business, Management and Accounting",79204,1801412,2.950163,1998160,21150,146114,2030182,2239867
32,Psychology,63317,1698032,2.780858,1830262,23772,133151,1990161,2136159
20,"Economics, Econometrics and Finance",30000,1694229,2.77463,1772641,28639,98679,2146529,2241629
16,Chemistry,60000,1403627,2.298713,1461215,40189,66304,1568989,1632181
36,Health Professions,99687,1346742,2.205552,1417312,19298,96997,1512708,1589722
26,Mathematics,88331,1149293,1.882191,1209573,17308,80412,1383081,1449094
28,Neuroscience,78137,1070311,1.752843,1160555,20127,70438,1223480,1319464
19,Earth and Planetary Sciences,77009,1063089,1.741015,1237283,22216,61619,1436452,1629780
24,Immunology and Microbiology,48771,716535,1.173466,724719,15395,42976,830230,840698
18,Decision Sciences,39291,575342,0.942235,704995,7869,41404,720079,857480
21,Energy,36253,386024,0.632189,456233,2896,34073,422879,495823
29,Nursing,33850,336042,0.550334,344938,5412,24760,374304,384372
35,Dentistry,36586,320927,0.52558,326075,3584,25116,349331,355167
30,"Pharmacology, Toxicology and Pharmaceutics",30841,292046,0.478282,297057,5030,16690,329792,335739
15,Chemical Engineering,50059,178786,0.292797,212670,3703,12005,197079,232318
34,Veterinary,19573,101802,0.166721,105490,1827,6494,119707,124155
