branch,label,uint64_seed
centres,centres/primary/field/11/0/2000,10834211013224518474
centres,centres/primary/field/11/0/2005,11385625632215222022
centres,centres/primary/field/11/0/2010,3218692777790627574
centres,centres/primary/field/11/0/2015,15984000500820341083
centres,centres/primary/field/11/0/2020,5434272420888014009
centres,centres/primary/field/12/0/2000,1553381147725979801
centres,centres/primary/field/12/0/2005,2166842779732048646
centres,centres/primary/field/12/0/2010,5507009005227675463
centres,centres/primary/field/12/0/2015,433969740566689124
centres,centres/primary/field/12/0/2020,7459246327847958521
centres,centres/primary/field/13/0/2000,17252398737104338065
centres,centres/primary/field/13/0/2005,5393765377733241071
centres,centres/primary/field/13/0/2010,11948325072349468861
centres,centres/primary/field/13/0/2015,1533768493857566799
centres,centres/primary/field/13/0/2020,7537695061070631706
centres,centres/primary/field/14/0/2000,10812748715978063562
centres,centres/primary/field/14/0/2005,11081574692935943059
centres,centres/primary/field/14/0/2010,4203547369283015882
centres,centres/primary/field/14/0/2015,3180940338312059522
centres,centres/primary/field/14/0/2020,4462698514859329717
centres,centres/primary/field/15/0/2000,13238453826600987407
centres,centres/primary/field/15/0/2005,1242622606600888103
centres,centres/primary/field/15/0/2010,15320539778358159288
centres,centres/primary/field/15/0/2015,10732481467639995806
centres,centres/primary/field/15/0/2020,6387977892432666512
centres,centres/primary/field/16/0/2000,14825658825864058566
centres,centres/primary/field/16/0/2005,2592224280187204215
centres,centres/primary/field/16/0/2010,17448898868629840540
centres,centres/primary/field/16/0/2015,14944456624699183945
centres,centres/primary/field/16/0/2020,4099030693246919771
centres,centres/primary/field/17/0/2000,8349557410971288763
centres,centres/primary/field/17/0/2005,5238814241072802413
centres,centres/primary/field/17/0/2010,731044912946057213
centres,centres/primary/field/17/0/2015,11017991611270853023
centres,centres/primary/field/17/0/2020,12581587404535495084
centres,centres/primary/field/18/0/2000,10065814590711583410
centres,centres/primary/field/18/0/2005,10279262959912304414
centres,centres/primary/field/18/0/2010,12059159414420411229
centres,centres/primary/field/18/0/2015,8558406911243246727
centres,centres/primary/field/18/0/2020,3150354585177518098
centres,centres/primary/field/19/0/2000,16670962191016014647
centres,centres/primary/field/19/0/2005,2275231752526330333
centres,centres/primary/field/19/0/2010,8470681105932098431
centres,centres/primary/field/19/0/2015,1765997891590296391
centres,centres/primary/field/19/0/2020,4416161348381540690
centres,centres/primary/field/20/0/2000,17425929158408407884
centres,centres/primary/field/20/0/2005,13744989144167502073
centres,centres/primary/field/20/0/2010,7989332892082179994
centres,centres/primary/field/20/0/2015,16720168574997583058
centres,centres/primary/field/20/0/2020,9232593138001236557
centres,centres/primary/field/21/0/2000,6620188007718436056
centres,centres/primary/field/21/0/2005,14597422265239981387
centres,centres/primary/field/21/0/2010,1763044300250817962
centres,centres/primary/field/21/0/2015,15499570203670371615
centres,centres/primary/field/21/0/2020,1296226231491456583
centres,centres/primary/field/22/0/2000,4519829175903295850
centres,centres/primary/field/22/0/2005,8250661334726668497
centres,centres/primary/field/22/0/2010,5171734170296006768
centres,centres/primary/field/22/0/2015,16732647144446389118
centres,centres/primary/field/22/0/2020,12147364458603488297
centres,centres/primary/field/23/0/2000,11801829296324442263
centres,centres/primary/field/23/0/2005,10031729619951577204
centres,centres/primary/field/23/0/2010,10750965953019770873
centres,centres/primary/field/23/0/2015,6020212262216529990
centres,centres/primary/field/23/0/2020,7751633693413559286
centres,centres/primary/field/24/0/2000,12678891080722196440
centres,centres/primary/field/24/0/2005,14426973415414346926
centres,centres/primary/field/24/0/2010,3080468303608338763
centres,centres/primary/field/24/0/2015,6163350092514145014
centres,centres/primary/field/24/0/2020,9585658146588548900
centres,centres/primary/field/25/0/2000,11261549758531280516
centres,centres/primary/field/25/0/2005,6408225633550906705
centres,centres/primary/field/25/0/2010,11611589832467205288
centres,centres/primary/field/25/0/2015,16487577529604874867
centres,centres/primary/field/25/0/2020,7476316540539459958
centres,centres/primary/field/26/0/2000,11398334051857500976
centres,centres/primary/field/26/0/2005,2035901917595189117
centres,centres/primary/field/26/0/2010,4134899303670094333
centres,centres/primary/field/26/0/2015,1542943221686834834
centres,centres/primary/field/26/0/2020,11809753024490647386
centres,centres/primary/field/27/0/2000,3619208541755438074
centres,centres/primary/field/27/0/2005,6269388200388153148
centres,centres/primary/field/27/0/2010,16672226415301653891
centres,centres/primary/field/27/0/2015,9564246448016800683
centres,centres/primary/field/27/0/2020,10258397171905157142
centres,centres/primary/field/28/0/2000,12712935291229001914
centres,centres/primary/field/28/0/2005,745954589397305334
centres,centres/primary/field/28/0/2010,5610256170533416956
centres,centres/primary/field/28/0/2015,7258585762484892130
centres,centres/primary/field/28/0/2020,15484492060474341454
centres,centres/primary/field/29/0/2000,7934593384078631983
centres,centres/primary/field/29/0/2005,11460274960288467384
centres,centres/primary/field/29/0/2010,2130910035697685049
centres,centres/primary/field/29/0/2015,718787739307692121
centres,centres/primary/field/29/0/2020,13890701678311288846
centres,centres/primary/field/30/0/2000,15168930684016302517
centres,centres/primary/field/30/0/2005,1843184826973155237
centres,centres/primary/field/30/0/2010,336946946859383134
centres,centres/primary/field/30/0/2015,11377903057445721913
centres,centres/primary/field/30/0/2020,11343981261170035909
centres,centres/primary/field/31/0/2000,6190605349334175283
centres,centres/primary/field/31/0/2005,13067134498702709452
centres,centres/primary/field/31/0/2010,1630447596862925430
centres,centres/primary/field/31/0/2015,14972730113406873141
centres,centres/primary/field/31/0/2020,10778884266525398257
centres,centres/primary/field/32/0/2000,5322257382758784711
centres,centres/primary/field/32/0/2005,12006804530961301908
centres,centres/primary/field/32/0/2010,2235886634695213220
centres,centres/primary/field/32/0/2015,13891527419473980695
centres,centres/primary/field/32/0/2020,14615217336543977108
centres,centres/primary/field/33/0/2000,4973445723539216544
centres,centres/primary/field/33/0/2005,6590214164014785537
centres,centres/primary/field/33/0/2010,18111364825390237262
centres,centres/primary/field/33/0/2015,4462540859055820662
centres,centres/primary/field/33/0/2020,16388464939862143545
centres,centres/primary/field/34/0/2000,3654212712274000757
centres,centres/primary/field/34/0/2005,13000701765327663766
centres,centres/primary/field/34/0/2010,17762937096095436115
centres,centres/primary/field/34/0/2015,10478313277299139464
centres,centres/primary/field/34/0/2020,10540229869616728771
centres,centres/primary/field/35/0/2000,5136536137715249051
centres,centres/primary/field/35/0/2005,7769725668169560115
centres,centres/primary/field/35/0/2010,14828808602649023766
centres,centres/primary/field/35/0/2015,22710317045112376
centres,centres/primary/field/35/0/2020,10623394281701856268
