number,slug,title,type,status,blocks,prose_blocks,words_es,source_sha,source_line,read_status,url
1,siemens,Científico de Datos en Siemens Energy,experience,published,15,15,523,5361e0354dd8419b4cf72089b7e8e51124830cfb,5,read_complete_spanish_narrative,https://github.com/aleetreny/aleetreny.github.io/blob/5361e0354dd8419b4cf72089b7e8e51124830cfb/fixtures/demo-content.json#L5
2,accenture,Ciencia de datos e IA en Accenture,experience,published,8,11,654,5361e0354dd8419b4cf72089b7e8e51124830cfb,258,read_complete_spanish_narrative,https://github.com/aleetreny/aleetreny.github.io/blob/5361e0354dd8419b4cf72089b7e8e51124830cfb/fixtures/demo-content.json#L258
3,tropical,Analista de datos en Tropical Millenium,experience,published,14,15,1037,5361e0354dd8419b4cf72089b7e8e51124830cfb,457,read_complete_spanish_narrative,https://github.com/aleetreny/aleetreny.github.io/blob/5361e0354dd8419b4cf72089b7e8e51124830cfb/fixtures/demo-content.json#L457
4,ey,Analista de datos en EY,experience,published,8,7,447,5361e0354dd8419b4cf72089b7e8e51124830cfb,757,read_complete_spanish_narrative,https://github.com/aleetreny/aleetreny.github.io/blob/5361e0354dd8419b4cf72089b7e8e51124830cfb/fixtures/demo-content.json#L757
5,ucl,"Máster en Ciencia de Datos & Machine Learning, UCL",education,published,4,6,442,5361e0354dd8419b4cf72089b7e8e51124830cfb,925,read_complete_spanish_narrative,https://github.com/aleetreny/aleetreny.github.io/blob/5361e0354dd8419b4cf72089b7e8e51124830cfb/fixtures/demo-content.json#L925
6,uc3m,"Máster en Estadística para la Ciencia de Datos, UC3M",education,published,8,10,645,5361e0354dd8419b4cf72089b7e8e51124830cfb,1050,read_complete_spanish_narrative,https://github.com/aleetreny/aleetreny.github.io/blob/5361e0354dd8419b4cf72089b7e8e51124830cfb/fixtures/demo-content.json#L1050
7,uma,"Doble Grado en Economía + ADE, UMA",education,published,6,6,391,5361e0354dd8419b4cf72089b7e8e51124830cfb,1234,read_complete_spanish_narrative,https://github.com/aleetreny/aleetreny.github.io/blob/5361e0354dd8419b4cf72089b7e8e51124830cfb/fixtures/demo-content.json#L1234
8,lab-l1,Detección de anomalías en el Trigger L1,project,published,5,4,238,5361e0354dd8419b4cf72089b7e8e51124830cfb,1361,read_complete_spanish_narrative,https://github.com/aleetreny/aleetreny.github.io/blob/5361e0354dd8419b4cf72089b7e8e51124830cfb/fixtures/demo-content.json#L1361
9,lab-flows,Integración de fase neuronal con flujos normalizantes,project,published,5,4,197,5361e0354dd8419b4cf72089b7e8e51124830cfb,1461,read_complete_spanish_narrative,https://github.com/aleetreny/aleetreny.github.io/blob/5361e0354dd8419b4cf72089b7e8e51124830cfb/fixtures/demo-content.json#L1461
10,lab-grayscott,"Simulación de Gray–Scott, patrones de Turing",project,published,4,3,139,5361e0354dd8419b4cf72089b7e8e51124830cfb,1561,read_complete_spanish_narrative,https://github.com/aleetreny/aleetreny.github.io/blob/5361e0354dd8419b4cf72089b7e8e51124830cfb/fixtures/demo-content.json#L1561
