section,section_title,paragraph,planned_words
1,Introduction,I1,170
1,Introduction,I2,210
1,Introduction,I3,210
1,Introduction,I4,210
2,Background and research questions,B11,140
2,Background and research questions,B12,110
2,Background and research questions,B21,160
2,Background and research questions,B22,120
2,Background and research questions,B31,130
2,Background and research questions,B32,90
3,Data and comparative design,M11,180
3,Data and comparative design,M12,180
3,Data and comparative design,M21,140
3,Data and comparative design,M22,130
3,Data and comparative design,M31,230
3,Data and comparative design,M32,230
3,Data and comparative design,M41,170
3,Data and comparative design,M42,170
3,Data and comparative design,M51,100
3,Data and comparative design,M52,70
4,Results,R11,100
4,Results,R12,120
4,Results,R13,140
4,Results,R14,90
4,Results,R21,120
4,Results,R22,130
4,Results,R23,140
4,Results,R24,110
4,Results,R31,100
4,Results,R32,150
4,Results,R33,150
4,Results,R34,100
4,Results,R41,130
4,Results,R42,140
4,Results,R43,140
4,Results,R44,140
4,Results,R45,170
4,Results,R46,80
5,Discussion,D11,140
5,Discussion,D12,110
5,Discussion,D21,150
5,Discussion,D22,130
5,Discussion,D31,130
5,Discussion,D32,90
5,Discussion,D41,150
5,Discussion,D42,160
5,Discussion,D43,90
6,Conclusion,C1,200
